,sentence,lambda,raw_aspect,aspect,sentiment
0,i recently purchased the canon powershot g3 and am extremely satisfied with the purchase . ,"CC(satisfied_VB_P_10(purchase_NN_N_0),purchased_VB_N_0(canon+powershot+g3_NN_Ne_0),i_LS_N_0)",['purchase_NN_N_0'],['purchase'],[0]
1,"the camera is very easy to use , in fact on a recent trip this past week i was asked to take a picture of a vacationing elderly group . ","easy_JJ_P_12(was_VB_N_0(asked_VB_N_0(take_VB_N_0(picture_NN_N_0)),seq(past_JJ_Ne_2,week_NN_N_0,seq(recent_JJ_N_0,trip_NN_N_0)),i_FW_N_0,fact_NN_N_0(\X.use_VB_N_0(X))),camera_NN_N_0)","['picture_NN_N_0', 'week_NN_N_0', 'trip_NN_N_0', 'fact_NN_N_0', 'camera_NN_N_0']","['picture', 'week', 'trip', 'fact', 'camera']","[0, 0, 0, 0, 0]"
2,"after i took their picture with their camera , they offered to take a picture of us . ","camera_NN_N_0(took_VB_N_0(picture_NN_N_0),i_FW_N_0,offered_VB_N_0(take_VB_N_0(picture_NN_N_0),they_PRP_N_0))","['camera_NN_N_0', 'picture_NN_N_0', 'picture_NN_N_0']","['camera', 'picture', 'picture']","[0, 0, 0]"
3,"i just told them , press halfway , wait for the box to turn green and press the rest of the way . ","told_VB_N_0(them_PRP_N_0,wait_VB_N_0(box_NN_N_0(CC(\X.press_VB_N_0(X),rest_NN_Ne_1(\X.turn_VB_N_0(X)))),press_NN_N_0(halfway_RB_N)),i_LS_N_0)","['box_NN_N_0', 'press_NN_N_0']","['box', 'press']","[0, 0]"
4,they fired away and the picture turned out quite nicely . ( as all of my pictures have thusfar ) . ,"CC(have_VB_P_2(\x.x,\x.x,\X.turned_VB_N_0(X),picture_NN_N_0),fired_VB_N_0(they_PRP_N_0))",['picture_NN_N_0'],['picture'],[0]
5,a few of my work constituants owned the g2 and highly recommended the canon for picture quality . ,"CC(recommended_VB_Ne_2(seq(picture+quality_NN_Ne_0,canon_NN_N_0)),owned_VB_N_0(g2_NN_N_0),few_JJ_N_0)","['canon_NN_N_0', 'g2_NN_N_0']","['canon', 'g2']","[0, 0]"
6,i 'm easily enlarging pictures to 8 1/2 x 11 with no visable loss in picture quality and not even using the best possible setting as yet ( super fine ) . ,"am_VB_N_0(CC(using_VB_N_0(seq(x_NN_N_0,x_NN_P_5,setting_NN_N_0))),i_FW_N_0)","['x_NN_N_0', 'x_NN_P_5', 'setting_NN_N_0']","['x', 'x', 'setting']","[0, 1, 0]"
7,"bottom line , well made camera , easy to use , very flexible and powerful features to include the ability to use external flash and lense / filters choices . ","camera_NN_N_0(line_NN_P_6(use_VB_N_0(include_VB_N_0(use_VB_N_0(ability_NN_N_0(CC(lense_NN_N_0(\x.x),flash_NN_N_0))),CC(line_NN_P_2,line_NN_P_8,\x.x)))))","['camera_NN_N_0', 'line_NN_P_6', 'ability_NN_N_0', 'lense_NN_N_0', 'flash_NN_N_0', 'line_NN_P_2', 'line_NN_P_8']","['camera', 'line', 'ability', 'lense', 'flash', 'line', 'line']","[0, 1, 0, 0, 0, 1, 1]"
8,i 'd highly recommend this camera for anyone who is looking for excellent quality pictures and a combination of ease of use and the flexibility to get advanced with many options to adjust if you like . ,"d_FW_N_0(is_VB_N_0(looking_VB_N_0(CC(get_VB_N_0(you_PRP_N_0(\X.adjust_VB_P_1(X),quality_NN_N_0(\x.x),\X.advanced_VB_N_0(X)),flexibility_NN_P_4))),anyone_NN_N_0,recommend_VB_Ne_1(camera_NN_N_0)),i_FW_N_0)","['quality_NN_N_0', 'flexibility_NN_P_4', 'anyone_NN_N_0', 'camera_NN_N_0']","['quality', 'flexibility', 'anyone', 'camera']","[0, 1, 0, 0]"
9,great job canon ! ,"seq(great_JJ_N_0,job+canon_NN_Ne_0)",[],[],[]
