reviewID,sentenceID,review,category,polarity
79,79:1,This computer is absolutely AMAZING!!!,LAPTOP#GENERAL,positive
79,79:2,10 plus hours of battery...,BATTERY#OPERATION_PERFORMANCE,positive
79,79:3,super fast processor and really nice graphics card..,CPU#OPERATION_PERFORMANCE,positive
79,79:4,and plenty of storage with 250 gb(though I will upgrade this and the ram..),HARD_DISC#DESIGN_FEATURES,positive
79,79:5,This computer is really fast and I'm shocked as to how easy it is to get used to...,LAPTOP#OPERATION_PERFORMANCE,positive
79,79:6,I've only had mine a day but I'm already used to it...,LAPTOP#USABILITY,positive
79,79:8,GET THIS COMPUTER FOR PORTABILITY AND FAST PROCESSING!!!,LAPTOP#PORTABILITY,positive
10,10:0,the laptop was really good and it goes really fast just the way i thought it would of run.,LAPTOP#GENERAL,positive
10,10:1,i would really recommend to any person out there to get this laptop cause its really worth it.,LAPTOP#GENERAL,positive
10,10:2,and its really cheap and you wont regret buying it.,LAPTOP#PRICE,positive
264,264:1,"As a computer science student in college, I find that the portability, longevity, and ease of use of this computer make me (shockingly) want to do homework more;",LAPTOP#PORTABILITY,positive
264,264:2,"without a big ol' clunky machine in my backpack, I feel like I can do programming homework anywhere.",LAPTOP#DESIGN_FEATURES,positive
264,264:3,I highly recommend this computer for students looking for a solid machine to get them through college.,LAPTOP#MISCELLANEOUS,positive
264,264:4,"A great feature is the spotlight search: one can search for documents by simply typing a keyword, rather than parsing tens of file folders for a document.",OS#DESIGN_FEATURES,positive
24,24:0,Oh my goodness-I am not a happy camper.,LAPTOP#GENERAL,negative
24,24:1,My HP is very heavy.,LAPTOP#DESIGN_FEATURES,negative
24,24:2,Not easy to carry.,LAPTOP#PORTABILITY,negative
24,24:3,The battery has never worked well.,BATTERY#QUALITY,negative
24,24:4,The battery gets so HOT it is scary.,BATTERY#QUALITY,negative
24,24:5,"Yet, HP won't do anything about the problem.",SUPPORT#QUALITY,negative
24,24:6,I returned the computer to HP and they kept it for 3 months.,SUPPORT#QUALITY,negative
24,24:7,When I got the computer back and realizwed it still was not correct HP told me it was out of warranty and now it was my problem.,SUPPORT#QUALITY,negative
24,24:8,"So, you can imagine how unhappy I am with this item.",LAPTOP#GENERAL,negative
24,24:9,Currently if I use the laptop I can't sit it on my lap because it will burn my legs.,LAPTOP#QUALITY,negative
24,24:11,"Well, they don't care a bunch.",SUPPORT#QUALITY,negative
24,24:12,"But, at the same time they (the company) would not and could not do anything about my problem.",SUPPORT#QUALITY,negative
24,24:13,I would  say if you want to buy one of these machines be careful.,LAPTOP#GENERAL,negative
24,24:14,"And, if you are going to deal with HP be careful.",COMPANY#GENERAL,negative
24,24:15,"In my house, HP is a nasty word.",COMPANY#GENERAL,negative
277,277:0,"Since I purchased my Toshiba netbook, I have been very pleased with it, I have a laptob and a desktop.",LAPTOP#GENERAL,positive
277,277:1,The netbook is easier for me to take to bed and carry around with me.,LAPTOP#PORTABILITY,positive
277,277:2,"The screen takes some getting use to, because it is smaller than the laptop.",DISPLAY#USABILITY,neutral
277,277:3,I have not have any problems.,LAPTOP#GENERAL,positive
178,178:0,"The Notebook PC,Toshiba Qosmio is the best gift my father could have ever gotten me.",LAPTOP#GENERAL,positive
178,178:1,He gave me this PC about 3 years ago and up to this point im still sitting here using it.,LAPTOP#QUALITY,positive
178,178:2,Its still going.,LAPTOP#QUALITY,positive
178,178:3,It is in the best condition and has a really high quality.,LAPTOP#QUALITY,positive
178,178:4,This is something i would deffinately reccomend to someone.,LAPTOP#GENERAL,positive
178,178:5,You will not regret buying such a great thing like this!,LAPTOP#GENERAL,positive
178,178:6,It can't get any better.,LAPTOP#GENERAL,positive
77,77:0,"Waited on getting this computer, but it has been a great change.",LAPTOP#GENERAL,positive
77,77:1,Ease of use is just one of the benefits I love about my Mac.,LAPTOP#USABILITY,positive
342,342:0,This laptop meets every expectation and Windows 7 is great!,LAPTOP#GENERAL,positive
342,342:1,"It's fast, it's easy easy easy to set up, easy to hook to my wireless network.",LAPTOP#OPERATION_PERFORMANCE,positive
342,342:2,It's even easy to hook up to other wireless networks.,LAPTOP#CONNECTIVITY,positive
342,342:3,The battery doesn't last long but I'm sure an upgrade battery would solve that problem.,BATTERY#OPERATION_PERFORMANCE,neutral
342,342:4,I don't use my laptop in a way though that needs a long battery life so it's perfect for me.,BATTERY#OPERATION_PERFORMANCE,positive
348,348:0,"Most everything is fine with this machine: speed, capacity, build.",LAPTOP#GENERAL,positive
348,348:1,"The only thing I don't understand is that the resolution of the screen isn't high enough for some pages, such as Yahoo!Mail.",DISPLAY#QUALITY,negative
347,347:0,I bought it for really cheap also and it's AMAZING.,LAPTOP#PRICE,positive
347,347:2,Recommended to people as their first laptop.,LAPTOP#MISCELLANEOUS,positive
339,339:0,"Plain and simple, it(laptop) runs great and loads fast.",LAPTOP#OPERATION_PERFORMANCE,positive
339,339:1,"Easy to carry, can be taken anywhere, can be hooked up to printers,headsets.",LAPTOP#PORTABILITY,positive
273,273:0,I'm already hooked on the sleek look and dependability that this laptop has shown.,LAPTOP#DESIGN_FEATURES,positive
273,273:1,"Being a PC user my whole life, it's taking a bit of time to adapt to the OS of a Mac but I'm finding my way around.",OS#USABILITY,neutral
273,273:2,The unibody design is edgy and durable.,LAPTOP#DESIGN_FEATURES,positive
273,273:3,The LED backlit display makes my pictures pop so much more.,DISPLAY#DESIGN_FEATURES,positive
273,273:4,I'm learning the finger options for the mousepad that allow for quicker browsing of web pages.,MOUSE#DESIGN_FEATURES,positive
273,273:6,A key contributor that led me to Mac is the art aspect.,LAPTOP#DESIGN_FEATURES,positive
273,273:7,They have developed excellent proprietary software for editing video and pictures and I'm looking forward to utilizing these tools on the regular.,SOFTWARE#MISCELLANEOUS,positive
273,273:8,I'm excited to learn more about what this powerful machine has to offer and encourage others to do the same.,LAPTOP#GENERAL,positive
273,273:9,It's more expensive but well worth it in the long run.,LAPTOP#PRICE,negative
240,240:0,"Great product, very easy to use and great graphics.",LAPTOP#GENERAL,positive
240,240:1,"One drawback, I wish the keys were backlit.",KEYBOARD#DESIGN_FEATURES,negative
240,240:2,"I'm glad I bought this laptop, it was worth the few ($100) extra dollars.",LAPTOP#GENERAL,positive
243,243:0,It had most of the features and all of the power that I wanted to replace my desktop machine.,LAPTOP#DESIGN_FEATURES,positive
243,243:1,I wasn't really as concerned about portability (it's a very large laptop) but it's not hard to move around or take on a trip which was a pleasant surprise.,LAPTOP#DESIGN_FEATURES,neutral
243,243:2,I'm very happy with this machine!,LAPTOP#GENERAL,positive
285,285:0,"I love the size, keyboard, the functions.",LAPTOP#DESIGN_FEATURES,positive
285,285:1,I don't really have a complaint.,LAPTOP#GENERAL,positive
285,285:2,"It is easy to use, good quality and good price.",LAPTOP#USABILITY,positive
285,285:3,Perfect trifecta!,LAPTOP#GENERAL,positive
285,285:4,I would recommend this product.,LAPTOP#GENERAL,positive
212,212:0,The salesman talked us into this computer away from another we were looking at and we have had nothing but problems with software problems and just not happy with it.,SOFTWARE#GENERAL,negative
93,93:0,This is my first Dell I heard their customer service was lacking and that they were working on improving it!,SUPPORT#QUALITY,neutral
93,93:2,The DVD burner broke after burning 3 DVD'd during that time!,OPTICAL_DRIVES#QUALITY,negative
93,93:3,They sent me a replacement part and without informing me are requiring that I return it within 15 days or contact them and let them know the broken part will be returned later.,SUPPORT#QUALITY,negative
93,93:5,If this is an improvement in Customer Service then I would hate too see what it was before!,SUPPORT#QUALITY,negative
93,93:6,I spoke to 4 different people and was told they needed to transfer me to a 5th person!,SUPPORT#QUALITY,negative
93,93:7,Needless to say I told them No and have a nice day and hung up!,SUPPORT#QUALITY,negative
93,93:8,I can guarantee this will be the last Dell I will ever purchase!,LAPTOP#GENERAL,negative
93,93:9,Breaking within 1 year of purchase and speaking to 4+ people to report the damaged part will be returned late!,LAPTOP#QUALITY,negative
93,93:10,I do not recommend this company or their products!!!!,COMPANY#GENERAL,negative
252,252:0,"So far, a great product.",LAPTOP#GENERAL,positive
252,252:1,"High price tag, however.",LAPTOP#PRICE,negative
