,Unnamed: 0,reviewID,sentenceID,review,category,polarity,entity,preprocessed_sentence,type_sentence,preprocessed_sentence_lemma,aspect_prediction,opinion_term_prediction,entity_prediction,opinion_prediction
0,119,,,Great service and food at a good price,"VALUE#PRICES,SERVICE#GENERAL,FOOD#GENERAL","positive,positive,positive","VALUE,SERVICE,FOOD",great service and food at a good price,phrase,great service food good price,"[['service'], ['food', 'price']]","[['great'], ['good']]","['SERVICE', 'VALUE']","['positive', 'positive']"
1,121,,,"Cozy place, great service and an amazing pizza","AMBIENCE#GENERAL,SERVICE#GENERAL,FOOD#GENERAL","positive,positive,positive","AMBIENCE,SERVICE,FOOD","cozy place , great service and an amazing pizza",phrase,cozy place great service amazing pizza,"[['place'], ['service'], ['pizza']]","[['cozy'], ['great'], ['amazing']]","['AMBIENCE', 'SERVICE', 'FOOD']","['positive', 'positive', 'positive']"
2,136,,,"Last but not least, prices for NYC are ridiculously low and the personnel is warm and friendly","VALUE#PRICES,SERVICE#GENERAL","positive,positive","VALUE,SERVICE","last but not least , prices for nyc are ridiculously low and the personnel is warm and friendly",compound_sentence,last least price nyc ridiculously low personnel warm friendly,"[['price', 'nyc'], ['personnel']]","[['ridiculously', 'low'], ['warm', 'friendly']]","['VALUE', 'SERVICE']","['positive', 'negative']"
3,137,1004293,1004293:1,"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.",SERVICE#GENERAL,negative,SERVICE,"we , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude .",compound_complex_sentence,four us arrive noon place empty staff act like impose rude,"[['noon', 'place'], ['noon', 'noon', 'staff']]","[['empty'], ['like', 'impose', 'rude']]","['AMBIENCE', 'SERVICE']","['positive', 'positive']"
4,142,1028246,1028246:1,"Service was divine, oysters where a sensual as they come, and the price can't be beat!!!","SERVICE#GENERAL,FOOD#QUALITY","positive,positive","SERVICE,FOOD","service was divine , oysters where a sensual as they come , and the price ca not be beat",compound_complex_sentence,service divine oyster sensual come price canot beat,[['service']],[['divine']],['SERVICE'],['negative']
5,143,1032695,1032695:1,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.","SERVICE#GENERAL,AMBIENCE#GENERAL","positive,positive","SERVICE,AMBIENCE","everything is always cooked to perfection , the service is excellent , the decor cool and understated .",compound_sentence,everything always cook perfection service excellent decor cool understate,"[['service'], ['decor']]","[['excellent'], ['cool']]","['SERVICE', 'AMBIENCE']","['positive', 'positive']"
6,150,1053543,1053543:4,We went around 9:30 on a Friday and it had died down a bit by then so the service was great!,SERVICE#GENERAL,positive,SERVICE,we went around NUM NUM on a friday and it had died down a bit by then so the service was great,compound_complex_sentence,go around friday die bit service great,"[['num', 'service'], ['num', 'n']]","[['great'], ['die']]","['SERVICE', 'VALUE']","['positive', 'positive']"
7,152,1055910,1055910:3,Service is friendly and attentive.,SERVICE#GENERAL,positive,SERVICE,service is friendly and attentive .,phrase,service friendly attentive,[['service']],"[['friendly', 'attentive']]",['SERVICE'],['positive']
8,155,1058221,1058221:4,"i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.",SERVICE#GENERAL,negative,SERVICE,"i happen to have a policy that goes along with a little bit of self-respect , which includes not letting a waiter intimidate me , i.e . make me feel bad asking for trivialities like water , or the check .",phrase,happen policy go along little bit self respect include let waiter intimidate e make feel bad ask triviality like water check,"[['i.e', 'policy']]","[['little', 'intimidate']]",['SERVICE'],['negative']
9,157,1062641,1062641:3,Service is top notch.,SERVICE#GENERAL,positive,SERVICE,service is top notch .,simple_sentence,service top notch,"[['service', 'notch']]",[['top']],['SERVICE'],['positive']
10,162,1074868,1074868:4,The food was well prepared and the service was impecable.,"FOOD#QUALITY,SERVICE#GENERAL","positive,positive","FOOD,SERVICE",the food was well prepared and the service was impecable .,compound_sentence,food well prepared service impecable,"[['food'], ['service']]","[['well'], ['impecable']]","['FOOD', 'SERVICE']","['positive', 'positive']"
11,185,1126814,1126814:1,"My wife and I always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story.",SERVICE#GENERAL,positive,SERVICE,"my wife and i always enjoy the young , not always well trained but nevertheless friendly , staff , all of whom have a story .",phrase,wife always enjoy young always well trained nevertheless friendly staff story,"[['wife', 'young'], ['wife', 'staff', 'wife', 'staff', 'story', 'neverless']]","[['enjoy'], ['well', 'friendly']]","['SERVICE', 'SERVICE']","['negative', 'positive']"
12,186,1126886,1126886:2,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.","SERVICE#GENERAL,AMBIENCE#GENERAL,FOOD#QUALITY,FOOD#STYLE_OPTIONS","positive,positive,positive,positive","SERVICE,AMBIENCE,FOOD,FOOD","the service is excellent , the decor is great , and the food is delicious and comes in large portions .",compound_sentence,service excellent decor great food delicious come large portion,"[['service'], ['decor'], ['food'], ['portion']]","[['excellent'], ['great'], ['delicious'], ['large']]","['SERVICE', 'AMBIENCE', 'FOOD', 'VALUE']","['positive', 'positive', 'positive', 'positive']"
13,191,1138996,1138996:2,"We were worried we would have trouble getting in, but somehow managed to have a short wait.",SERVICE#GENERAL,positive,SERVICE,"we were worried we would have trouble getting in , but somehow managed to have a short wait .",compound_complex_sentence,worry would trouble get somehow manage short wait,[['wait']],"[['worry', 'trouble']]",['SERVICE'],['negative']
14,192,1138996,1138996:4,"When we sat, we got great and fast service.",SERVICE#GENERAL,positive,SERVICE,"when we sat , we got great and fast service .",complex_sentence,sit get great fast service,[['service']],[['fast']],['SERVICE'],['positive']
15,193,1138996,1138996:5,The people that work there are always so friendly you forget you are in New York sometimes.,SERVICE#GENERAL,positive,SERVICE,the people that work there are always so friendly you forget you are in new york sometimes .,complex_sentence,people work always friendly forget new york sometimes,[['people']],[['new']],['SERVICE'],['positive']
16,199,1147211,1147211:3,"Service was prompt, friendly and great.",SERVICE#GENERAL,positive,SERVICE,"service was prompt , friendly and great .",simple_sentence,service prompt friendly great,[['service']],"[['prompt', 'friendly', 'great']]",['SERVICE'],['positive']
