,id,review,target,category,term,polarity
0,1004293:1,"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.",staff,SERVICE,|place,negative
1,1004293:3,The food was lousy - too sweet or too salty and the portions tiny.,"food,portions","FOOD,FOOD",food|portions,"negative,negative"
2,1014458:0,"I have eaten at Saul, many times, the food is always consistently, outrageously good.",food,FOOD,food,positive
3,1014458:2,The duck confit is always amazing and the foie gras terrine with figs was out of this world.,"foie gras terrine with figs,duck confit","FOOD,FOOD",confit|duck,"positive,positive"
4,1014458:3,The wine list is interesting and has many good values.,"wine list,wine list","FOOD,PRICES",list|wine|values,"positive,positive"
5,1016296:1,Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,cart attendant,SERVICE,cart|attendant|lotus|leaf|rice|rice,negative
6,1016296:4,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. ,"Chow fun,pork shu mai,NULL","FOOD,FOOD",mai|pork|fun|chow|family|shu,"negative,negative,negative"
7,1028246:1,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!","Service,oysters,NULL","SERVICE,FOOD,PRICES",|price,"positive,positive,positive"
8,1032695:1,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.","NULL,service,decor","FOOD,SERVICE,AMBIENCE",service|perfection,"positive,positive,positive"
9,1032695:2,I had the duck breast special on my last visit and it was incredible.,duck breast special,FOOD,|visit,positive
10,1041457:2,"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.","food,Thai fusion stuff,NULL","FOOD,FOOD,FOOD",bit|stuff|food|fusion,"negative,negative,negative"
11,1041457:3,The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.,Grilled Chicken special with Edamame Puree,FOOD,|chicken|puree,positive
12,1041457:4,I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).,"Edamame pureed,Edamame pureed","FOOD,FOOD",|salt|bit,"positive,positive"
13,1041457:6,"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.","place,decor,vent","AMBIENCE,AMBIENCE,AMBIENCE",effort|tho,"negative,positive,negative"
14,1053543:2,"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!","sake list,NULL","FOOD,SERVICE",|list|sake,"positive,positive"
15,1053543:3,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!","spicy tuna roll,rock shrimp tempura","FOOD,FOOD",roll|spicy|tempura|tuna|appetizer|rock|shrimp,"positive,positive"
16,1053543:4,We went around 9:30 on a Friday and it had died down a bit by then so the service was great!,service,SERVICE,bit|service,positive
17,1055910:2,Food-awesome.,Food,FOOD,,positive
18,1055910:3,Service- friendly and attentive.,Service,SERVICE,service,positive
19,1055910:4,Ambiance- relaxed and stylish.,Ambiance,AMBIENCE,ambiance,positive
20,1058221:3,"however, it's the service that leaves a bad taste in my mouth.",service,SERVICE,taste|mouth|service,negative
21,1058221:4,"i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.",waiter,SERVICE,waiter|bit|self-respect,negative
22,1062641:2,Food is great.,Food,FOOD,food,positive
23,1062641:3,Service is top notch.,Service,SERVICE,notch|service,positive
24,1064477:0,"I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.",sea urchin,FOOD,sushi|restaurant|sea|urchin|sushi,positive
25,1064477:2,The sushi seemed pretty fresh and was adequately proportioned.,"sushi,sushi","FOOD,FOOD",sushi,"positive,positive"
26,1064477:3,The rice to fish ration was also good--they didn't try to overpack the rice.,rice to fish ration,FOOD,rice|ration,positive
27,1064477:4,We took advanatage of the half price sushi deal on saturday so it was well worth it.,"half price sushi deal,half price sushi deal","FOOD,PRICES",advanatage|half|price|sushi|deal,"positive,positive"
28,1074868:4,The food was well prepared and the service impecable.,"food,service","FOOD,SERVICE",|food|impecable,"positive,positive"
29,1084394:3,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,"Prix Fixe menu,Prix Fixe menu,Prix Fixe menu","FOOD,FOOD,PRICES",menu|prix|fixe|penny,"positive,positive,positive"
30,1086415:2,"$6 and there is much tasty food, all of it fresh and continually refilled.","food,food,food","FOOD,FOOD,PRICES",food,"positive,positive,positive"
31,1086415:3,"I am not a vegetarian but, almost all the dishes were great.",dishes,FOOD,dishes,positive
32,1086478:0,"The food here is rather good, but only if you like to wait for it.","food,NULL","FOOD,SERVICE",food,"positive,negative"
33,1086478:1,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.","somosas,chai,chole,dhosas,dhal","FOOD,FOOD,FOOD,FOOD,FOOD",somosas|chai|chole|dhosas|dhal,"positive,positive,positive,negative,negative"
34,1086478:2,"The service varys from day to day- sometimes they're very nice, and sometimes not.",service,SERVICE,service|varys,negative
35,1086478:3,"The kitchen however, is almost always slow.",kitchen,SERVICE,kitchen,negative
36,1086478:4,"Also, specify if you like your food spicy- its rather bland if you don't.",food,FOOD,|food,negative
37,1086478:5,"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.","ambience,NULL",AMBIENCE,ambience|lunch|conversation,"positive,positive"
38,1090587:1,If you've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer.,view,AMBIENCE,river|idea|top|view|chart|house,positive
39,1090587:2,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,"service,food,food","SERVICE,FOOD,PRICES",service|food|price|beginning,"positive,positive,positive"
40,1090587:3,The lava cake dessert was incredible and I recommend it.,lava cake dessert,FOOD,dessert|lava|cake,positive
41,1102681:0,"Once you step into Cosette, you're miraculously in a small, off-the-beaten path Parisian bistro.",Cosette,AMBIENCE,|bistro|path,positive
42,1102681:1,"This tiny restaurant is as cozy as it gets, with that certain Parisian flair.",restaurant,AMBIENCE,restaurant,positive
43,1102681:2,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.","food,French Onion soup,French Onion soup,desserts","FOOD,FOOD,FOOD,FOOD",desserts|soup|food|way,"positive,negative,positive,negative"
44,1102681:3,"However, go for the ambience, and consider the food just a companion for a trip across the world!","ambience,food","AMBIENCE,FOOD",ambience|food|companion|trip|world,"positive,neutral"
45,1118167:2,The pizza was delivered cold and the cheese wasn't even fully melted!,"pizza,cheese","FOOD,FOOD",pizza|cheese,"negative,negative"
46,1119578:1,The pizza is overpriced and soggy.,"pizza,pizza","FOOD,PRICES",pizza,"negative,negative"
47,1119578:2,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.","ingredients,pizza,crust","FOOD,FOOD,FOOD",ingredients|pizza,"positive,negative,negative"
48,1123262:0,I think I've had some the best meals of my life at minnow.,meals,FOOD,meals|life|minnow,positive
49,1123262:1,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.","seafood,wine list,menu","FOOD,FOOD,FOOD",seafood|wine|list|menu|surprises,"positive,positive,positive"
50,1123262:2,The combination of super-fresh ingredients in the dishes are unusual but really delicious.,ingredients,FOOD,combination|ingredients|dishes,positive
51,1125006:1,Best Pastrami I ever had and great portion without being ridiculous.,"Pastrami,portion","FOOD,FOOD",portion|pastrami,"positive,positive"
52,1125006:3,My wife had the fried shrimp which are huge and loved it.,"fried shrimp,fried shrimp","FOOD,FOOD",shrimp|wife,"positive,positive"
53,1125284:2,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.","signs,specials menus,food,waitstaff","FOOD,FOOD,SERVICE",|signs|menus|food|waitstaff,"positive,positive,positive,positive"
54,1126814:0,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.","Leon,Leon,specials,atmosphere,French bistro fare","AMBIENCE,FOOD,AMBIENCE,FOOD",leon|fare|bistro|village|specials|gem|atmosphere|hip,"positive,positive,positive,positive,positive"
55,1126814:1,"My wife and I always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story.",staff,SERVICE,wife|staff,positive
56,1126814:3,Decent wine at reasonable prices.,"wine,wine","FOOD,PRICES",wine|prices,"neutral,positive"
57,1126886:2,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.","service,decor,food,portions","SERVICE,AMBIENCE,FOOD,FOOD",service|decor|food|portions,"positive,positive,positive,positive"
58,1131595:2,The hostess is rude to the point of being offensive.,hostess,SERVICE,hostess|point,negative
59,1131595:3,The food was bland oily.,food,FOOD,oily|food,negative
60,1138996:1,"We have been to this place many times, and always have great food, wine, and service.","food,wine,service","FOOD,FOOD,SERVICE",food|wine|place|service,"positive,positive,positive"
61,1138996:2,"We were worried we would have trouble getting in, but somehow managed to have a short wait.",wait,SERVICE,wait|trouble,positive
62,1138996:3,As always we had a great glass of wine while we waited.,glass of wine,FOOD,glass|wine,positive
63,1138996:4,"When we sat, we got great and fast service.",service,SERVICE,service,positive
64,1138996:5,The people that work there are always so friendly you forget you are in New York sometimes.,people,SERVICE,people,positive
65,1145510:1,The pizza is yummy and I like the atmoshpere.,"pizza,atmoshpere","FOOD,AMBIENCE",|pizza,"positive,positive"
66,1145510:2,But the pizza is way to expensive.,pizza,PRICES,pizza|way,negative
67,1145510:3,"A large is $20, and toppings are about $3 each.","NULL,toppings","PRICES,PRICES",toppings,"negative,negative"
68,1147082:0,I went there for lunch and it was not as good as I expected from the reviews I read.,lunch,FOOD,lunch|reviews,negative
69,1147082:1,Sauce was watery and the food didn't have much flavor.,"Sauce,food","FOOD,FOOD",|sauce|flavor|food,"negative,negative"
70,1147211:2,The waitress was very patient with us and the food is phenomenal!,"waitress,food","SERVICE,FOOD",waitress|food,"positive,positive"
71,1147211:3,"Service was prompt, friendly and great.",Service,SERVICE,service,positive
72,1153034:0,Great pizza and fantastic service.,"pizza,service","FOOD,SERVICE",pizza|service,"positive,positive"
73,1153034:1,"There was a small wait, but shorter than I expected.",wait,SERVICE,|wait,positive
74,1153034:2,Located at the end of a magnificent block.,block,AMBIENCE,block|end,positive
75,1154550:0,This is the best sushi in new york city - hands down.,sushi,FOOD,sushi|city|hands,positive
76,1154550:1,The place is small and cramped but the food is fantastic.,"place,food","AMBIENCE,FOOD",food|place,"negative,positive"
77,1154550:2,Get the tuna of gari.,tuna of gari,FOOD,tuna|gari,positive
78,1162037:0,"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .","sushi,thai food,Planet Thailand","FOOD,FOOD",food,"positive,positive,positive"
79,1162037:1,"With the great variety on the menu , I eat here often and never get bored .",menu,FOOD,variety|menu,positive
80,1162037:2,"The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .","atmosphere,NULL","AMBIENCE,PRICES",atmosphere,"neutral,positive"
81,1162037:3,It's all about the food !!,food,FOOD,food,positive
82,1167434:3,"but when we looked at the menu, there weren't a lot of choices, most of them were dumplings in the appetizer section.",menu,FOOD,|dumplings|lot|section,negative
83,1167434:5,"those rolls were big, but not good and sashimi wasn't fresh.","rolls,rolls,sashimi","FOOD,FOOD,FOOD",sashimi|rolls,"neutral,negative,negative"
84,1175958:1,"Try the crunchy tuna, it is to die for.",crunchy tuna,FOOD,|tuna,positive
85,1189674:0,First went here to enjoy their garden terrace.,garden terrace,AMBIENCE,terrace|garden,positive
86,1189674:1,"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.","food,service","FOOD,SERVICE",food|service,"positive,positive"
