,index,sentence,lambda,raw_aspect,sentiment,aspect,target
0,0,i recently purchased the canon powershot g3 and am extremely satisfied with the purchase . ,"CC(satisfied_VB_P_1(purchase_NN_N_0),purchased_VB_N_0(canon+powershot+g3_NN_N_0),i_LS_N_0)",[],[],[],canon powershot g3[+3]
1,1,"the camera is very easy to use , in fact on a recent trip this past week i was asked to take a picture of a vacationing elderly group . ","was_VB_N_0(asked_VB_N_0(take_VB_N_0(vacationing_VB_N_0(elderly+group_NN_P_1,picture_NN_P_1))),CC(past+week_NN_P_1,recent+trip_NN_P_1),i_FW_N_0,fact_NN_P_1(\X.use_VB_N_0(X)),camera_NN_N_0)","['elderly+group_NN_P_1', 'picture_NN_P_1', 'past+week_NN_P_1', 'recent+trip_NN_P_1', 'fact_NN_P_1']","[1, 1, 1, 1, 1]","['elderly group', 'picture', 'past week', 'recent trip', 'fact']",use[+2]
2,2,"after i took their picture with their camera , they offered to take a picture of us . ","camera_NN_N_0(took_VB_N_0(picture_NN_N_0),i_FW_N_0,offered_VB_N_0(take_VB_N_0(seq(us_PRP_N_0,picture_NN_N_0)),they_PRP_N_0))",[],[],[],
3,3,"i just told them , press halfway , wait for the box to turn green and press the rest of the way . ","told_VB_N_0(them_PRP_N_0,wait_VB_N_0(box_NN_N_0(CC(\X.press_VB_N_0(X),rest_NN_N_0(\X.turn_VB_N_0(X)))),press_NN_N_0(halfway_RB_N_N_0)),i_LS_N_0)",[],[],[],
4,4,they fired away and the picture turned out quite nicely . ( as all of my pictures have thusfar ) . ,"NSS(CC(turned_VB_N_0(picture_NN_N_0),fired_VB_N_0(they_PRP_N_0)),have_VB_N_0(pictures_NNS_N_0))",[],[],[],picture[+2]
5,5,a few of my work constituants owned the g2 and highly recommended the canon for picture quality . ,"CC(recommended_VB_P_1(CC(picture+quality_NN_N_0,canon_NN_N_0)),owned_VB_N_0(g2_NN_N_0),CC(work_NN_P_1,constituants_NNS_N_0,few_JJ_N_0))",['work_NN_P_1'],[1],['work'],picture quality[+1]
6,6,i 'm easily enlarging pictures to 8 1/2 x 11 with no visable loss in picture quality and not even using the best possible setting as yet ( super fine ) . ,"am_VB_N_0(CC(super+fine_NN_N_0(using_VB_N_0(CC(setting_NN_P_1,setting_NN_N_0))),CC(picture+quality_NN_N_0,visable+loss_NN_N_0,CC(8+12_NN_N_0,x_NN_N_0,enlarging_VB_N_0(pictures_NNS_N_0)))),i_FW_N_0)",['setting_NN_P_1'],[1],['setting'],picture quality[+1]
7,7,"ensure you get a larger flash , 128 or 256 , some are selling with the larger flash , 32mb will do in a pinch but you 'll quickly want a larger flash card as with any of the 4mp cameras . ","CC(ll_VB_N_0(want_VB_N_0(larger+flash+card_NN_N_0),you_PRP_N_0),ensure_VB_N_0(get_VB_N_0(are_VB_N_0(pinch_NN_Ne_1(\X.do_VB_N_0(X),larger+flash_NN_N_0,\X.X,\X.selling_VB_N_0(X)),larger+flash_NN_N_0,CC(\X.X)),you_PRP_N_0)))",['pinch_NN_Ne_1'],[0],['pinch'],
8,8,"bottom line , well made camera , easy to use , very flexible and powerful features to include the ability to use external flash and lense / filters choices . ","camera_NN_N_0(use_VB_N_0(include_VB_N_0(use_VB_N_0(CC(lense_NN_P_1(CC(filters_NNS_P_1,choices_NNS_P_1)),flash_NN_P_1),ability_NN_P_1),CC(features_NNS_P_1,features_NNS_P_1))),bottom+line_NN_N_0)","['lense_NN_P_1', 'flash_NN_P_1', 'ability_NN_P_1']","[1, 1, 1]","['lense', 'flash', 'ability']","camera[+2], use[+2], feature[+1]"
9,9,i 'd highly recommend this camera for anyone who is looking for excellent quality pictures and a combination of ease of use and the flexibility to get advanced with many options to adjust if you like . ,"d_FW_N_0(is_VB_N_0(looking_VB_N_0(CC(flexibility_NN_N_0,CC(CC(use_NN_N_0,ease_NN_P_1,combination_NN_N_0),CC(quality_NN_P_1,pictures_NNS_P_1)))),anyone_NN_N_0,recommend_VB_P_1(camera_NN_N_0)),i_FW_N_0)","['ease_NN_P_1', 'quality_NN_P_1']","[1, 1]","['ease', 'quality']","picture quality[+3], use[+1], option[+1]"
