,id,review,target,label,predict,term,polarity
0,1004293:1,"we, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.",staff,SERVICE,SERVICE,place|staff,negative
1,1004293:3,the food was lousy - too sweet or too salty and the portions tiny.,"food,portions","FOOD,FOOD",FOOD,food,"negative,negative"
2,1014458:0,"i have eaten at saul, many times, the food is always consistently, outrageously good.",food,FOOD,FOOD,food|always|time,positive
3,1014458:2,the duck confit is always amazing and the foie gras terrine with figs was out of this world.,"foie gras terrine with figs,duck confit","FOOD,FOOD",FOOD,always|gras|foie,"positive,positive"
4,1014458:3,the wine list is interesting and has many good values.,"wine list,wine list","FOOD,PRICES",FOOD,wine,"positive,positive"
5,1014458:4,"for the price, you cannot eat this well in manhattan.","NULL,NULL","PRICES,FOOD",PRICES,rice|well,"positive,positive"
6,1016296:1,ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,cart attendant,SERVICE,SERVICE,rice|rice|back|attendant|replied|walked|cart|asked|away|lotus|wrapped|tend,negative
7,1016296:4,chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family.,"Chow fun,pork shu mai,NULL","FOOD,FOOD",SERVICE,table,"negative,negative,negative"
8,1028246:1,"service was devine, oysters where a sensual as they come, and the price can't be beat!!!","Service,oysters,NULL","SERVICE,FOOD,PRICES",PRICES,rice|service|come,"positive,positive,positive"
9,1032695:1,"everything is always cooked to perfection, the service is excellent, the decor cool and understated.","NULL,service,decor","FOOD,SERVICE,AMBIENCE",SERVICE,service|always|every,"positive,positive,positive"
10,1032695:2,i had the duck breast special on my last visit and it was incredible.,duck breast special,FOOD,,,positive
11,1041457:2,"the food is very average...the thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.","food,Thai fusion stuff,NULL","FOOD,FOOD,FOOD",FOOD,food|every,"negative,negative,negative"
12,1041457:3,the only thing i moderately enjoyed was their grilled chicken special with edamame puree.,Grilled Chicken special with Edamame Puree,FOOD,,,positive
13,1041457:4,i had never had edamame pureed before but i thought it was innovative and tasty (could've used a bit more salt).,"Edamame pureed,Edamame pureed","FOOD,FOOD",FOOD,tasty,"positive,positive"
14,1041457:6,"the decor is night tho...but they really need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.","place,decor,vent","AMBIENCE,AMBIENCE,AMBIENCE",AMBIENCE,place|really|make|real|night,"negative,positive,negative"
15,1053543:2,"their sake list was extensive, but we were looking for purple haze, which wasn't listed but made for us upon request!","sake list,NULL","FOOD,SERVICE",FOOD,sake,"positive,positive"
16,1053543:3,"the spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!","spicy tuna roll,rock shrimp tempura","FOOD,FOOD",AMBIENCE,great,"positive,positive"
17,1053543:4,we went around 9:30 on a friday and it had died down a bit by then so the service was great!,service,SERVICE,SERVICE,great|service,positive
18,1055910:2,food-awesome.,Food,FOOD,,food,positive
19,1055910:3,service- friendly and attentive.,Service,SERVICE,SERVICE,service|friendly,positive
20,1055910:4,ambiance- relaxed and stylish.,Ambiance,AMBIENCE,,,positive
21,1058221:3,"however, it's the service that leaves a bad taste in my mouth.",service,SERVICE,SERVICE,service,negative
22,1058221:4,"i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.",waiter,SERVICE,PRICES,little|date|make,negative
23,1062641:2,food is great.,Food,FOOD,FOOD,food|great,positive
24,1062641:3,service is top notch.,Service,SERVICE,SERVICE,service,positive
25,1064477:0,"i tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.",sea urchin,FOOD,FOOD,restaurant|sushi|sushi|tend|rose|urchin|judge,positive
26,1064477:2,the sushi seemed pretty fresh and was adequately proportioned.,"sushi,sushi","FOOD,FOOD",FOOD,sushi,"positive,positive"
27,1064477:3,the rice to fish ration was also good--they didn't try to overpack the rice.,rice to fish ration,FOOD,FOOD,rice|rice|also,positive
28,1064477:4,we took advanatage of the half price sushi deal on saturday so it was well worth it.,"half price sushi deal,half price sushi deal","FOOD,PRICES",PRICES,rice|sushi|well,"positive,positive"
29,1074868:4,the food was well prepared and the service impecable.,"food,service","FOOD,SERVICE",SERVICE,food|service|well,"positive,positive"
30,1084394:3,the prix fixe menu is worth every penny and you get more than enough (both in quantity and quality).,"Prix Fixe menu,Prix Fixe menu,Prix Fixe menu","FOOD,FOOD,PRICES",SERVICE,fixe|prix|every,"positive,positive,positive"
31,1086415:1,"it is terrific, as is the value.","NULL,NULL","FOOD,PRICES",,,"positive,positive"
32,1086415:2,"$6 and there is much tasty food, all of it fresh and continually refilled.","food,food,food","FOOD,FOOD,PRICES",FOOD,food|tasty|much,"positive,positive,positive"
33,1086415:3,"i am not a vegetarian but, almost all the dishes were great.",dishes,FOOD,FOOD,great|dish,positive
34,1086478:1,"i like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.","somosas,chai,chole,dhosas,dhal","FOOD,FOOD,FOOD,FOOD,FOOD",,,"positive,positive,positive,negative,negative"
35,1086478:2,"the service varys from day to day- sometimes they're very nice, and sometimes not.",service,SERVICE,SERVICE,service|time|time,negative
36,1086478:3,"the kitchen however, is almost always slow.",kitchen,SERVICE,SERVICE,always,negative
37,1086478:4,"also, specify if you like your food spicy- its rather bland if you don't.",food,FOOD,FOOD,food|also,negative
38,1086478:5,"the ambience is pretty and nice for conversation, so a casual lunch here would probably be best.","ambience,NULL",AMBIENCE,AMBIENCE,ambience|would|best,"positive,positive"
39,1090587:1,if you've ever been along the river in weehawken you have an idea of the top of view the chart house has to offer.,view,AMBIENCE,,,positive
40,1090587:2,add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,"service,food,food","SERVICE,FOOD,PRICES",PRICES,food|great|great|great|rice|service|evening,"positive,positive,positive"
41,1090587:3,the lava cake dessert was incredible and i recommend it.,lava cake dessert,FOOD,FOOD,dessert,positive
42,1102681:0,"once you step into cosette, you're miraculously in a small, off-the-beaten path parisian bistro.",Cosette,AMBIENCE,FOOD,small|step|miraculously|cosette|bistro,positive
43,1102681:1,"this tiny restaurant is as cozy as it gets, with that certain parisian flair.",restaurant,AMBIENCE,SERVICE,restaurant,positive
44,1102681:2,"the food was average to above-average; the french onion soup filling yet not overly impressive, and the desserts not brilliant in any way.","food,French Onion soup,French Onion soup,desserts","FOOD,FOOD,FOOD,FOOD",FOOD,food|dessert,"positive,negative,positive,negative"
45,1118167:2,the pizza was delivered cold and the cheese wasn't even fully melted!,"pizza,cheese","FOOD,FOOD",PRICES,full,"negative,negative"
46,1119578:1,the pizza is overpriced and soggy.,"pizza,pizza","FOOD,PRICES",PRICES,rice,"negative,negative"
47,1119578:2,"yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.","ingredients,pizza,crust","FOOD,FOOD,FOOD",PRICES,make|someone,"positive,negative,negative"
48,1123262:0,i think i've had some the best meals of my life at minnow.,meals,FOOD,FOOD,best|meal,positive
49,1123262:1,"the seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.","seafood,wine list,menu","FOOD,FOOD,FOOD",FOOD,food|great|always|wine,"positive,positive,positive"
50,1123262:2,the combination of super-fresh ingredients in the dishes are unusual but really delicious.,ingredients,FOOD,FOOD,really|dish|combination|real|delicious,positive
51,1125006:1,best pastrami i ever had and great portion without being ridiculous.,"Pastrami,portion","FOOD,FOOD",AMBIENCE,great|best,"positive,positive"
52,1125006:3,my wife had the fried shrimp which are huge and loved it.,"fried shrimp,fried shrimp","FOOD,FOOD",,,"positive,positive"
53,1125284:2,"the signs, the specials menus, food, and even all the waitstaff are all totally japanese.","signs,specials menus,food,waitstaff","FOOD,FOOD,SERVICE",FOOD,food|staff|waitstaff,"positive,positive,positive,positive"
54,1126814:0,"leon is an east village gem: casual but hip, with well prepared basic french bistro fare, good specials, a warm and lively atmosphere.","Leon,Leon,specials,atmosphere,French bistro fare","AMBIENCE,FOOD,AMBIENCE,FOOD",AMBIENCE,bistro|atmosphere|well,"positive,positive,positive,positive,positive"
55,1126814:1,"my wife and i always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story.",staff,SERVICE,SERVICE,always|always|staff|friendly|well,positive
56,1126886:2,"the service is excellent, the decor is great, and the food is delicious and comes in large portions.","service,decor,food,portions","SERVICE,AMBIENCE,FOOD,FOOD",FOOD,food|great|service|come|delicious,"positive,positive,positive,positive"
57,1131595:2,the hostess is rude to the point of being offensive.,hostess,SERVICE,,,negative
58,1131595:3,the food was bland oily.,food,FOOD,FOOD,food,negative
59,1138996:1,"we have been to this place many times, and always have great food, wine, and service.","food,wine,service","FOOD,FOOD,SERVICE",SERVICE,place|food|great|service|always|time|wine,"positive,positive,positive"
60,1138996:2,"we were worried we would have trouble getting in, but somehow managed to have a short wait.",wait,SERVICE,PRICES,would,positive
61,1138996:3,as always we had a great glass of wine while we waited.,glass of wine,FOOD,FOOD,great|always|glass|wine,positive
62,1138996:4,"when we sat, we got great and fast service.",service,SERVICE,SERVICE,great|service,positive
