,Unnamed: 0,reviewID,sentenceID,review,category,polarity,entity,preprocessed_sentence,type_sentence,preprocessed_sentence_lemma,aspect_prediction,opinion_term_prediction,entity_prediction,opinion_prediction
0,0,RL#3,RL#3:1,"I am not necessarily fanatical about this place, but it was a fun time for low prices.",VALUE#PRICES,positive,VALUE,"i am not necessarily fanatical about this place , but it was a fun time for low prices .",compound_sentence,necessarily fanatical place fun time low price,"[['time', 'price']]","[['fun', 'low']]",['VALUE'],['positive']
1,2,TR#2,TR#2:2,The high prices you're going to pay is for the view not for the food.,VALUE#PRICES,negative,VALUE,the high prices you 're going to pay is for the view not for the food .,complex_sentence,high price go pay view food,[['price']],[['high']],['VALUE'],['negative']
2,3,TR#2,TR#2:2,The high prices you're going to pay is for the view not for the food.,VALUE#PRICES,negative,VALUE,the high prices you 're going to pay is for the view not for the food .,complex_sentence,high price go pay view food,[['price']],[['high']],['VALUE'],['negative']
3,4,TR#2,TR#2:2,The high prices you're going to pay is for the view not for the food.,VALUE#PRICES,negative,VALUE,the high prices you 're going to pay is for the view not for the food .,complex_sentence,high price go pay view food,[['price']],[['high']],['VALUE'],['negative']
4,5,TR#2,TR#2:2,The high prices you're going to pay is for the view not for the food.,VALUE#PRICES,negative,VALUE,the high prices you 're going to pay is for the view not for the food .,complex_sentence,high price go pay view food,[['price']],[['high']],['VALUE'],['negative']
5,6,TR#2,TR#2:2,The high prices you're going to pay is for the view not for the food.,VALUE#PRICES,negative,VALUE,the high prices you 're going to pay is for the view not for the food .,complex_sentence,high price go pay view food,[['price']],[['high']],['VALUE'],['negative']
6,7,TR#2,TR#2:2,The high prices you're going to pay is for the view not for the food.,VALUE#PRICES,negative,VALUE,the high prices you 're going to pay is for the view not for the food .,complex_sentence,high price go pay view food,[['price']],[['high']],['VALUE'],['negative']
7,8,TR#2,TR#2:2,The high prices you're going to pay is for the view not for the food.,VALUE#PRICES,negative,VALUE,the high prices you 're going to pay is for the view not for the food .,complex_sentence,high price go pay view food,[['price']],[['high']],['VALUE'],['negative']
8,9,TR#2,TR#2:2,The high prices you're going to pay is for the view not for the food.,VALUE#PRICES,negative,VALUE,the high prices you 're going to pay is for the view not for the food .,complex_sentence,high price go pay view food,[['price']],[['high']],['VALUE'],['negative']
9,10,TR#2,TR#2:2,The high prices you're going to pay is for the view not for the food.,VALUE#PRICES,negative,VALUE,the high prices you 're going to pay is for the view not for the food .,complex_sentence,high price go pay view food,[['price']],[['high']],['VALUE'],['negative']
10,11,TR#2,TR#2:2,The high prices you're going to pay is for the view not for the food.,VALUE#PRICES,negative,VALUE,the high prices you 're going to pay is for the view not for the food .,complex_sentence,high price go pay view food,[['price']],[['high']],['VALUE'],['negative']
11,12,TR#2,TR#2:2,The high prices you're going to pay is for the view not for the food.,VALUE#PRICES,negative,VALUE,the high prices you 're going to pay is for the view not for the food .,complex_sentence,high price go pay view food,[['price']],[['high']],['VALUE'],['negative']
12,13,TR#2,TR#2:2,The high prices you're going to pay is for the view not for the food.,VALUE#PRICES,negative,VALUE,the high prices you 're going to pay is for the view not for the food .,complex_sentence,high price go pay view food,[['price']],[['high']],['VALUE'],['negative']
13,14,TR#2,TR#2:2,The high prices you're going to pay is for the view not for the food.,VALUE#PRICES,negative,VALUE,the high prices you 're going to pay is for the view not for the food .,complex_sentence,high price go pay view food,[['price']],[['high']],['VALUE'],['negative']
14,15,TR#2,TR#2:2,The high prices you're going to pay is for the view not for the food.,VALUE#PRICES,negative,VALUE,the high prices you 're going to pay is for the view not for the food .,complex_sentence,high price go pay view food,[['price']],[['high']],['VALUE'],['negative']
15,16,TR#2,TR#2:2,The high prices you're going to pay is for the view not for the food.,VALUE#PRICES,negative,VALUE,the high prices you 're going to pay is for the view not for the food .,complex_sentence,high price go pay view food,[['price']],[['high']],['VALUE'],['negative']
16,17,TR#2,TR#2:2,The high prices you're going to pay is for the view not for the food.,VALUE#PRICES,negative,VALUE,the high prices you 're going to pay is for the view not for the food .,complex_sentence,high price go pay view food,[['price']],[['high']],['VALUE'],['negative']
17,18,TM#7,TM#7:0,Excellent food for great prices,"FOOD#QUALITY,VALUE#PRICES","positive,positive","FOOD,VALUE",excellent food for great prices,phrase,excellent food great price,"[['food'], ['price']]","[['excellent'], ['great']]","['FOOD', 'VALUE']","['positive', 'positive']"
18,18,TM#7,TM#7:0,Excellent food for great prices,"FOOD#QUALITY,VALUE#PRICES","positive,positive","FOOD,VALUE",excellent food for great prices,phrase,excellent food great price,"[['food'], ['price']]","[['excellent'], ['great']]","['FOOD', 'VALUE']","['positive', 'positive']"
19,18,TM#7,TM#7:0,Excellent food for great prices,"FOOD#QUALITY,VALUE#PRICES","positive,positive","FOOD,VALUE",excellent food for great prices,phrase,excellent food great price,"[['food'], ['price']]","[['excellent'], ['great']]","['FOOD', 'VALUE']","['positive', 'positive']"
20,18,TM#7,TM#7:0,Excellent food for great prices,"FOOD#QUALITY,VALUE#PRICES","positive,positive","FOOD,VALUE",excellent food for great prices,phrase,excellent food great price,"[['food'], ['price']]","[['excellent'], ['great']]","['FOOD', 'VALUE']","['positive', 'positive']"
21,18,TM#7,TM#7:0,Excellent food for great prices,"FOOD#QUALITY,VALUE#PRICES","positive,positive","FOOD,VALUE",excellent food for great prices,phrase,excellent food great price,"[['food'], ['price']]","[['excellent'], ['great']]","['FOOD', 'VALUE']","['positive', 'positive']"
22,18,TM#7,TM#7:0,Excellent food for great prices,"FOOD#QUALITY,VALUE#PRICES","positive,positive","FOOD,VALUE",excellent food for great prices,phrase,excellent food great price,"[['food'], ['price']]","[['excellent'], ['great']]","['FOOD', 'VALUE']","['positive', 'positive']"
23,18,TM#7,TM#7:0,Excellent food for great prices,"FOOD#QUALITY,VALUE#PRICES","positive,positive","FOOD,VALUE",excellent food for great prices,phrase,excellent food great price,"[['food'], ['price']]","[['excellent'], ['great']]","['FOOD', 'VALUE']","['positive', 'positive']"
24,18,TM#7,TM#7:0,Excellent food for great prices,"FOOD#QUALITY,VALUE#PRICES","positive,positive","FOOD,VALUE",excellent food for great prices,phrase,excellent food great price,"[['food'], ['price']]","[['excellent'], ['great']]","['FOOD', 'VALUE']","['positive', 'positive']"
25,18,TM#7,TM#7:0,Excellent food for great prices,"FOOD#QUALITY,VALUE#PRICES","positive,positive","FOOD,VALUE",excellent food for great prices,phrase,excellent food great price,"[['food'], ['price']]","[['excellent'], ['great']]","['FOOD', 'VALUE']","['positive', 'positive']"
26,18,TM#7,TM#7:0,Excellent food for great prices,"FOOD#QUALITY,VALUE#PRICES","positive,positive","FOOD,VALUE",excellent food for great prices,phrase,excellent food great price,"[['food'], ['price']]","[['excellent'], ['great']]","['FOOD', 'VALUE']","['positive', 'positive']"
27,18,TM#7,TM#7:0,Excellent food for great prices,"FOOD#QUALITY,VALUE#PRICES","positive,positive","FOOD,VALUE",excellent food for great prices,phrase,excellent food great price,"[['food'], ['price']]","[['excellent'], ['great']]","['FOOD', 'VALUE']","['positive', 'positive']"
28,18,TM#7,TM#7:0,Excellent food for great prices,"FOOD#QUALITY,VALUE#PRICES","positive,positive","FOOD,VALUE",excellent food for great prices,phrase,excellent food great price,"[['food'], ['price']]","[['excellent'], ['great']]","['FOOD', 'VALUE']","['positive', 'positive']"
29,18,TM#7,TM#7:0,Excellent food for great prices,"FOOD#QUALITY,VALUE#PRICES","positive,positive","FOOD,VALUE",excellent food for great prices,phrase,excellent food great price,"[['food'], ['price']]","[['excellent'], ['great']]","['FOOD', 'VALUE']","['positive', 'positive']"
30,18,TM#7,TM#7:0,Excellent food for great prices,"FOOD#QUALITY,VALUE#PRICES","positive,positive","FOOD,VALUE",excellent food for great prices,phrase,excellent food great price,"[['food'], ['price']]","[['excellent'], ['great']]","['FOOD', 'VALUE']","['positive', 'positive']"
31,18,TM#7,TM#7:0,Excellent food for great prices,"FOOD#QUALITY,VALUE#PRICES","positive,positive","FOOD,VALUE",excellent food for great prices,phrase,excellent food great price,"[['food'], ['price']]","[['excellent'], ['great']]","['FOOD', 'VALUE']","['positive', 'positive']"
32,33,NP#3,NP#3:6,Prices are fair across the board for both food and bev.,"VALUE#PRICES,VALUE#PRICES","positive,positive","VALUE,VALUE",prices are fair across the board for both food and bev .,simple_sentence,price fair across board food bev,[['price']],[['fair']],['VALUE'],['negative']
33,34,TR#5,TR#5:6,"Price is high but the food is good, so I would come back again.","FOOD#QUALITY,VALUE#PRICES","positive,negative","FOOD,VALUE","price is high but the food is good , so i would come back again .",compound_sentence,price high food good would come back,"[['price'], ['food']]","[['high'], ['good']]","['VALUE', 'FOOD']","['negative', 'positive']"
34,35,BzG#2,BzG#2:0,"Great place, great value.","AMBIENCE#GENERAL,VALUE#PRICES","positive,positive","AMBIENCE,VALUE","great place , great value .",phrase,great place great value,"[['place'], ['value']]","[['great'], ['great']]","['AMBIENCE', 'VALUE']","['positive', 'positive']"
35,57,BzG#2,BzG#2:1,"The food is flavorful, plentiful and reasonably priced.","FOOD#QUALITY,FOOD#STYLE_OPTIONS,VALUE#PRICES","positive,positive,positive","FOOD,FOOD,VALUE","the food is flavorful , plentiful and reasonably priced .",compound_sentence,food flavorful plentiful reasonably price,"[['food'], ['price']]","[['flavorful'], ['reasonably']]","['FOOD', 'VALUE']","['positive', 'positive']"
36,38,BzG#2,BzG#2:0,"Great place, great value.","AMBIENCE#GENERAL,VALUE#PRICES","positive,positive","AMBIENCE,VALUE","great place , great value .",phrase,great place great value,"[['place'], ['value']]","[['great'], ['great']]","['AMBIENCE', 'VALUE']","['positive', 'positive']"
37,57,BzG#2,BzG#2:1,"The food is flavorful, plentiful and reasonably priced.","FOOD#QUALITY,FOOD#STYLE_OPTIONS,VALUE#PRICES","positive,positive,positive","FOOD,FOOD,VALUE","the food is flavorful , plentiful and reasonably priced .",compound_sentence,food flavorful plentiful reasonably price,"[['food'], ['price']]","[['flavorful'], ['reasonably']]","['FOOD', 'VALUE']","['positive', 'positive']"
38,41,BzG#2,BzG#2:0,"Great place, great value.","AMBIENCE#GENERAL,VALUE#PRICES","positive,positive","AMBIENCE,VALUE","great place , great value .",phrase,great place great value,"[['place'], ['value']]","[['great'], ['great']]","['AMBIENCE', 'VALUE']","['positive', 'positive']"
39,57,BzG#2,BzG#2:1,"The food is flavorful, plentiful and reasonably priced.","FOOD#QUALITY,FOOD#STYLE_OPTIONS,VALUE#PRICES","positive,positive,positive","FOOD,FOOD,VALUE","the food is flavorful , plentiful and reasonably priced .",compound_sentence,food flavorful plentiful reasonably price,"[['food'], ['price']]","[['flavorful'], ['reasonably']]","['FOOD', 'VALUE']","['positive', 'positive']"
40,44,BzG#2,BzG#2:0,"Great place, great value.","AMBIENCE#GENERAL,VALUE#PRICES","positive,positive","AMBIENCE,VALUE","great place , great value .",phrase,great place great value,"[['place'], ['value']]","[['great'], ['great']]","['AMBIENCE', 'VALUE']","['positive', 'positive']"
41,57,BzG#2,BzG#2:1,"The food is flavorful, plentiful and reasonably priced.","FOOD#QUALITY,FOOD#STYLE_OPTIONS,VALUE#PRICES","positive,positive,positive","FOOD,FOOD,VALUE","the food is flavorful , plentiful and reasonably priced .",compound_sentence,food flavorful plentiful reasonably price,"[['food'], ['price']]","[['flavorful'], ['reasonably']]","['FOOD', 'VALUE']","['positive', 'positive']"
42,47,BzG#2,BzG#2:0,"Great place, great value.","AMBIENCE#GENERAL,VALUE#PRICES","positive,positive","AMBIENCE,VALUE","great place , great value .",phrase,great place great value,"[['place'], ['value']]","[['great'], ['great']]","['AMBIENCE', 'VALUE']","['positive', 'positive']"
