,0,1,aspect,prediction
0,i am a business-user who heavily depend on mobile service . ,Phrase,,service
1,there is much,IC,phone|work,box|box|box|box|phone
2,just double check with customer-service to ensure the number provided by amazon is for the city / exchange you wanted . ,Phrase,,city|check|check|check|check|number|number|amazon|city|city|city|city|exchange|exchange|city
3,i am delighted to drop them and look forward to august,IC,at&t customer service,t|t|t-mobile
4,"i have had the phone for 1 week , the signal-quality has been great in the detroit-area ( suburbs ) and in my recent road-trip between detroit and northern kentucky ( cincinnati ) i experienced perfect signal and reception along i-75 , far superior to at &#38; t 's which does not work along several long stretches on that same route . ",Phrase,signal quality,signal-quality|detroit
5,"i have owned motorola , panasonic and nokia phones over the last 8 years and generally prefer nokia , this phone combines many of the best nokia features , the only feature missing for me is the voice-recognition . ",Phrase,,nokia|motorola
6,"my favorite features , although there are many , are the speaker-phone , the radio and the infrared . ",Phrase,speaker phone,speaker-phone
7,"the speaker-phone is very functional and i use it in the car , very audible even with freeway-noise . ",Phrase,speaker phone,speaker-phone
8,the infrared is a blessing if,IC,infrared,phone-book
9,"the combination of the nokia 6610 and t-mobile service ( signal , price , service ) is a winner , i highly recommend it . ",Phrase,,combination|service
10,the day finally arrived,IC,sprint,day
11,after years with that carrier expensive plans and horrible customer-service portability seemed heaven-sent,IC,sprint plan,portability|carrier
12,i gave it a whirl,IC,,t-mobile
13,as if it might break,DC,size|sturdy,phone|kind|synopsis
14,"it has lots of little cute features , my favorite being the games and the pim ( personal information-manager -- i.e. organizer ) , and the radio ! ",Phrase,game,pim
15,though the reception is unpredictable,DC,reception,reception
16,also you need to have the headset and,IC,,headset
17,it hurts the ears,IC,sound volume|ear,sound-volume
18,"the phone comes with okay ringtones , some decent backgrounds / screensavers , but the phone has very little memory ( mine had 230kb as it arrived from amazon , so you do n't have too many options on what you can put on there ) . ",Phrase,ringtone,memory
19,the colors on the screen are not as crisp,IC,color,screen
20,however it serves its purpose,IC,,purpose
21,the backlight on the phone goes off way too quickly dangerous,IC,backlight,way|way|way
22,i checked with nokia,IC,,nokia
23,you get used to them rather quickly,IC,button,phone
24,as you can,IC,menu options,eye|road|road|t
