,review,target,dp,dp_clause
0,"repost from january 13 , 2004 with a better fit-title . ",,fit-title!better,title!better|fit!better
1,"using the remote control , press the i/p button located on the bottom right corner of the remote . ",,corner!right|control!remote|press!i/p|button!i/p,corner!right|control!remote|press!located|button!i/p
2,you need the remote control for this so you better get it from your dog before he burries it in the backyard . ,,|control!remote,control!better
3,press the p/n-button located on the bottom right corner of the remote . ,,corner!right|p/n-button!located|press!located,p/n-button!located|press!located|corner!bottom|corner!p/n-button
4,i have done some research and experimenting with the remote when my apex ad-2500 seemed to have lost its video-signal . ,,,research!remote
5,the button was probably accidentally pushed to cause the black screen in the first place . ,,|screen!black|place!screen,|screen!black|place!first|place!screen
6,"another nice thing is that the unit has both optical and coax digital audio outputs , though the latter was not mentioned in the literature i 'd scanned before buying . ",audio output!+,thing!nice|unit!optical|audio!digital,thing!nice|audio!digital|unit!optical
7,"saved me from having to buy an expensive optical cable , as i already had a coax cable . ",,cable!expensive,|cable!expensive
8,"at double-speed ( 2x forward speed ) , it still plays mp3s with sound -- they are pitch-corrected and smooth , but twice as fast ! ",forward!+,,sound!pitch-corrected
9,"i wish it would do the same for movies , but that 's one rare / cool feature you will have to forgo . ",,feature!cool|wish!same,feature!rare|wish!same|wish!feature
10,"weaknesses are minor : the feel and layout of the remote control are only so-so ; it does n't show the complete filenames of mp3s with really long names ; you must cycle through every zoom-setting ( 2x , 3x , 4x , 1/2x , etc. ) before getting back to normal size [ sorry if i 'm just ignorant of a way to get back to 1x quickly ] . ",remote control!-|mp3 filename!-,|feel!so-so|layout!so-so|cycle!feel|control!remote|control!so-so|size!normal,control!remote|feel!remote|layout!so-so|layout!feel|cycle!feel|size!normal
11,"if you 're a bargain-hunter and you want a great feature set for a rock-bottom price , i highly recommend this model . ",,feature!great|price!rock-bottom|bargain-hunter!feature|model!recommend,feature!great|model!recommend|price!rock-bottom|bargain-hunter!feature
12,player has a problem with dual-layer dvd 's such as alias season 1 and season 2 . ,dual-layer dvd!-,player!problem|dvd!dual-layer|season!dual-layer|problem!player,player!problem|problem!player|dvd!dual-layer|season!dual-layer
13,this player is not worth any price and i recommend that you do n't purchase it . ,player!-,player!worth|price!recommend,price!recommend|player!worth
14,"they play just about everything , but # 2 and # 3 died very shortly after getting them . ",player!-,,everything!died
15,"the only thing i did experience was a problem of the player-freezing while playing , which i was able to clear by opening it up and blowing it out with "" canned air . "" ",freezing!-,thing!problem|experience!problem|problem!only,thing!problem|experience!problem|problem!only|experience!thing
16,"this problem vanished after the first month , so i assume it was a temporary dust-issue . ",,month!problem,month!first|month!problem
17,the two main reasons i had for getting this model were the range of disks types played and the recommendation of a friend . ,,|range!main,model!recommendation|range!main
18,"the fact that this model would play jpeg slideshows was a big plus for me as a visual artist , and i discovered by accident ( it is not mentioned anywhere in the literature ) that it will play mpeg1 files on a regular cd-r data disk without vcd-formatting . ",jpeg slideshow!+,|fact!big|disk!regular,|disk!regular|fact!big
19,"while it is true that it will stand on end , it is also easy to knock over that way . ",,,end!easy
20,"the zoom goes up and down in magnification , which is nice , but there is always a display of the zoom-size about one-quarter of the way down from the top of the screen that interferes with viewing at most settings . ",zoom!-,,zoom!top|magnification!zoom
21,i have not used the progressive scan feature . ,,feature!progressive,|feature!progressive
22,"while it seems like some people have had trouble with theirs , mine has run well , and i would recommend it if you are considering a dvd-player-purchase . ",,,trouble!like
23,"any possible problems should be weighed against the bang-for-the-buck-factor , along with the fact that companies like apex seldom have good after-sale support . ",,fact!support,apex!like|fact!support
24,"while i would like to give it 3.5 stars instead of 4 , i gave it a 4 because it has run well for me during the time i have owned it . ",player!+,,time!well
25,"as i emailed to the the customer-service-department , the only thing this player has done consistantly is use enought electricity to keep the red led burning . ",,burning!led|thing!only,thing!only|use!only|burning!led|electricity!enought
26,tech-support from apex is literally - nonexistent . ,tech support!-,tech-support!nonexistent|apex!nonexistent,|tech-support!nonexistent|apex!nonexistent
27,"amazon , do your customers a big favor , do n't carry this item , and give them refunds ! ",,amazon!favor|favor!amazon,item!favor|amazon!favor|favor!amazon
28,"the player usually plays dvd 's , but has occasional problems such as : 1 ) not recognizing a dvd 2 ) stopping a particular point in a movie every time we played it 3 ) not being able to access certain special features on a rental dvd . ",player!-,|dvd!rental|access!rental|player!dvd,player!able|dvd!rental|access!certain|dvd!player
29,"this has happened with several different dvd 's and occasionally if we keep trying something , it will work when it did not work one time before . ",player!-,|dvd!several,time!work|dvd!several
30,"after we discovered the problems , we tried to contact apex ( fkor 3 months ) , but we never got in touch with them.the customer-support-telephone number is always busy , and they do not answer their web-customer-support . ",customer support!-,|number!them.the|touch!busy|customer-support-telephone!them.the,touch!busy|number!busy|customer-support-telephone!them.the
31,i have several tv shows on dvd so they are divided by episode . ,,|tv!several|dvd!tv,tv!several|dvd!tv
32,we tried it out christmas night and it worked great . ,work!+,,night!worked
33,"we did n't get to use it again for over a month ( sad , i know ) . ",,,month!sad
34,"we 've purchased 3 universal remotes so far-all claiming to work "" apex "" dvd players and none worked . ",remote!-,none!worked|apex!work|dvd!work,apex!work|dvd!worked|none!worked
35,called customer-service and basically was told to either keep buying univ. remotes to try or buy the replacement remote for $ 23 ( which is almost half of what i paid for the whole player ) . ,,|replacement!remote|player!whole,replacement!remote|player!whole
36,i had to return the remote on this product because it appeared to be defective . ,remote!-,,product!remote
37,"it sends discoutinous signals to tv , so the tv has the pictures for one moment and has only the white noise for the other moment . ",picture!-,tv!noise|moment!other|noise!other,tv!noise|moment!other|noise!other|noise!tv
38,the other thing i do n't like about this 2600 is that it makes the color-look over saturated . ,color!-,|thing!other,color-look!other|thing!other
39,"this dvd-player plays raw mpeg2 and mpeg1 videos , jpeg , wma , cdr / cdrw / dvdr / dvdrw , and of course plays dvd movies from uk. i love the aiff , progressive scan feature . ",format!+,|mpeg2!dvd-player|jpeg!mpeg2|dvd-player!mpeg2|dvdr!dvd-player|wma!mpeg2|uk!dvd-player|cdr!raw|course!dvdr|mpeg1!mpeg2,|mpeg2!dvd-player|dvdr!dvd-player|jpeg!mpeg2|dvd-player!mpeg2|uk!dvd-player|wma!mpeg2|uk!dvd-player|cdr!raw|cdr!mpeg2|mpeg1!mpeg2|course!dvdr
40,features and looks this dvd-player is overpriced had it come with sony or one of the other top brand names . ,,brand!top,brand!other
41,i have not even used my new dvd-player and already i am disapointed ! ,player!-,|dvd-player!new,dvd-player!new
42,they will not respond to my emails ( promised turnaround-time is 24 hours ) and the phone-line is constantly busy . ,customer service!-,turnaround-time!promised,turnaround-time!promised|phone-line!busy
43,"i accually did n't buy the apex-ad-2600 from amazon but , the reviews i found here helped me purchase it . ",,,apex-ad-2600!helped|amazon!apex-ad-2600
44,my first player ( model-ad-500a ) went into the trash about 6 months after i bought it . ,,|player!first|model-ad-500a!first|trash!player,model-ad-500a!first|player!first|trash!player
45,same story as everybody else when trying to get service from apex - nothing . ,service!-,|story!same|everybody!same,story!same|everybody!same
46,the aff-feature did a great job converting the letterbox to fill 3/4 of the screen and the image still looked normal . ,aff!+,job!great|image!great,job!great|image!great|image!job
47,this unit was working fine for the 1st month and a half and then the color-signal disappeared . ,color signal!-,unit!fine|month!1st|month!fine|fine!unit|half!fine,unit!fine|month!fine|fine!unit|half!fine|half!unit
48,apex has still not responded to my email describing the problem after almost a week and their customer-service-line is always busy . ,customer service!-,email!problem|apex!busy|customer-service-line!email|week!problem,customer-service-line!busy|email!problem|apex!busy|week!problem
49,"after having bought and been disappointed in another brand of dvd-player , i purchased the apex-ad2600 from amazon and first of all i should say it was delivered much more quickly than i had expected . ",,,apex-ad2600!first|amazon!apex-ad2600
