,id,review,opinion,label
0,1004293:1,"we, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.",like,negative
1,1016296:1,ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,ive,negative
2,1028246:1,"service was devine, oysters where a sensual as they come, and the price can't be beat!!!",sensual,positive
3,1032695:1,"everything is always cooked to perfection, the service is excellent, the decor cool and understated.",perfection,positive
4,1053543:2,"their sake list was extensive, but we were looking for purple haze, which wasn't listed but made for us upon request!",haze,positive
5,1053543:4,we went around 9:30 on a friday and it had died down a bit by then so the service was great!,great,positive
6,1055910:3,service- friendly and attentive.,friendly,positive
7,1058221:3,"however, it's the service that leaves a bad taste in my mouth.",bad,negative
8,1062641:3,service is top notch.,top,positive
9,1074868:4,the food was well prepared and the service impecable.,well,positive
10,1086478:2,"the service varys from day to day- sometimes they're very nice, and sometimes not.",nice,negative
11,1090587:2,add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,great,positive
12,1125284:2,"the signs, the specials menus, food, and even all the waitstaff are all totally japanese.",japanese,positive
13,1126814:1,"my wife and i always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story.",friendly,positive
14,1126886:2,"the service is excellent, the decor is great, and the food is delicious and comes in large portions.",excellent,positive
15,1131595:2,the hostess is rude to the point of being offensive.,rude,negative
16,1138996:1,"we have been to this place many times, and always have great food, wine, and service.",great,positive
17,1138996:2,"we were worried we would have trouble getting in, but somehow managed to have a short wait.",trouble,positive
18,1138996:4,"when we sat, we got great and fast service.",fast,positive
19,1138996:5,the people that work there are always so friendly you forget you are in new york sometimes.,work,positive
20,1147211:3,"service was prompt, friendly and great.",prompt,positive
21,1153034:0,great pizza and fantastic service.,fantastic,positive
22,1153034:1,"there was a small wait, but shorter than i expected.",small,positive
23,1189674:1,"the food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.",prompt,positive
24,1199480:2,i'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,nice,positive
25,1212346:1,"took my mom for mother's day, and the maitre d' was pretty rude.",pretty,negative
26,1225162:3,the staff is incredibly helpful and attentive.,incredibly,positive
27,1227999:1,"the waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet, we were told no...",moved,negative
28,1230993:2,our server was very helpful and friendly.,helpful,positive
29,1232468:3,service was prompt and courteous.,prompt,positive
30,1241906:0,"great service, great food.",great,positive
31,1253117:5,wait staff is blantently unappreciative of your business but its the best pie on the uws!,best,negative
32,1264954:2,"the chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.",warm,positive
33,1269216:1,the staff is no nonsense.,nonsense,positive
34,1280166:1,"service was very good - prompt, attentive and non-intrusive.",good,positive
35,1300636:0,this was my frist time at cafe st. bart's and i must say how delicous the food and the service was.,delicous,positive
36,1300636:4,"i highly recommend cafe st. bart's for their food, the ambience and wonderful service.",wonderful,positive
37,1303888:0,all the staff is absolutely professional!!,professional,positive
38,1308557:0,the service was the only thing good about this restaurant.,good,positive
39,1310217:2,the price is reasonable although the service is poor.,poor,negative
40,1340075:1,"they have it all -- great price, food, and service.",great,positive
41,1340075:2,the atmosphere is noisy and the waiters are literally walking around doing things as fast as they can.,noisy,positive
42,1347423:1,"the staff was accomodating, the food was absolutely delicious and the place is lovely.",delicious,positive
43,1347423:2,we even had a visit from the manager who wanted to make sure we were enjoying ourselves.,enjoying,positive
44,1349391:1,"sometimes i get bad food and bad service, sometimes i get good good and bad service.",good,negative
45,1357554:3,"service was slow, but the people were friendly.",slow,negative
46,1367358:3,"ambience is delightful, service impeccable.",delightful,positive
47,1380450:2,service was also horrible and the ambience is not that great.,horrible,negative
48,1387314:1,this is my first time writing a review for a restaurant because the food and service was excellent.,excellent,positive
49,1395421:1,the pizza and wine were excellent-the service too--but what really made this place was the backyard dining area.,excellentthe,positive
50,1398844:4,service is not what one would expect from a joint in this price category.,expect,negative
51,1398844:6,somehow working the italian charm with constant mille grazie does not constitute proper service.,proper,negative
52,1404042:3,"cute place, nice wait staff but would never go there again.",nice,positive
53,1410878:1,i've never had bad service and the fish is fresh and delicious.,bad,positive
54,1413697:2,the place is so cool and the service is prompt and curtious.,prompt,positive
55,1417496:3,"the service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu, present your meal, and attend to your needs.",impeccable,positive
56,1430994:0,the view is breathtaking the service is top notch... the ambiance is wonderfull.,breathtaking,positive
57,1430994:1,the staff offers impeccable service.,impeccable,positive
58,1439875:1,"the place is small and intimate and you may feel a little crowded, but the service is excellent and it's great for friends out, a romantic date, or a special occassion.",excellent,positive
59,1451107:6,the staff was the friendliest that have seen in new york.,friendliest,positive
60,1459569:1,service was slow had to wait to order and get food although not crowded.,slow,negative
61,1460715:1,service was quick.,quick,positive
62,1476493:2,"the ambience was nice, but service wasn't so great.",nice,negative
63,1490757:2,the prices were cheap compared to the quality of service and food.,cheap,positive
64,1538149:0,"i found the food, service and value exceptional everytime i have been there.",exceptional,positive
65,1538149:3,the service was excellent - friendly and attentive.,excellent,positive
66,1543345:3,great staff.,great,positive
67,1561259:1,but the staff was so horrible to us.,horrible,negative
68,1561259:2,the hostess and the waitress were incredibly rude and did everything they could to rush us out.,incredibly,negative
69,1561259:3,we were planning to get dessert but the waitress basically through the bill at us before we had a chance to order.,get,negative
70,1561259:4,"this place is pricey, and yes, the food is worth it; but the service makes you feel like you should be paying a quater of the price.",worth,negative
71,1572033:1,decor is nice though service can be spotty.,nice,negative
72,1586174:6,the waitstaffs are nice though.,nice,positive
73,1603698:2,"both times i was extremely dissappointed by the service, which was boarderline rude.",dissappointed,negative
74,1606837:2,the service was attentive.,attentive,positive
75,1623276:0,patroon features a nice cigar bar and has great staff.,great,positive
76,1626564:3,waitstaff are very friendly.,friendly,positive
77,1632445:3,the service is good and ambience is good for a date or group outing.,good,positive
78,1632929:4,"when my dessert came, there was a candle in it - not because anyone asked for one - but because the waiter must have seen me opening my birthday card and gift, and said he knew it was a special occassion of some sort.",special,positive
79,1632929:5,truly the mark of an attentive waiter.,attentive,positive
80,1655521:3,"the wait staff is very freindly, they make it feel like you're eating in a freindly little european town.",like,positive
81,1660047:1,"the service was terrible, we had to wait for everything and ask several of different people for the same thing before we were allowed to be served.",terrible,negative
82,1660047:3,"after dinner the manager grabbed my boyfriend, asked him: where are you from...maybe you dont know how things work in america...and in the end stormed away almost teareyed yelling that tips are the only thing they survive on.",work,negative
83,1660047:4,"we did tip, i guess the model/waitress just wanted more and complained to the manager.",complained,negative
84,1660047:5,"the whole set up is truly unprofessional and i wish cafe noir would get some good staff, because despite the current one this is a great place.",good,negative
85,1662726:0,i was here a few weeks back and we had the worst customer service experience at a restaurant ever.,worst,negative
86,1662726:1,"a gentleman, maybe the manager, came to our table, and without so much as a smile or greeting asked for our order.",smile,negative
87,1671113:2,"i have tried to make reservations, but both times, the hostess didn't have my name.",didnt,negative
88,1671113:4,"the staff has been nice, but they seemed really stressed and the unisex bathroom needs to be cleaned more often.",nice,positive
89,1700205:2,"considering we were the last patrons there and it was after the closing time, the waitstaff did not rush us at all and made us feel comfortable and relaxed.",comfortable,positive
90,1702257:3,friendly staff that actually lets you enjoy your meal and the company you're with.,friendly,positive
91,1707201:3,but the service was a bit slow.,slow,negative
92,1707741:3,service was also very good.,good,positive
93,1727363:2,an excellent service,excellent,positive
94,1748839:1,"immediately after we paid, the waiter took the money and said, okay, you guys are outta here.",okay,negative
95,430342:1,"kind, attentive wait staff.",attentive,positive
96,433878:3,the counter service is bad.,bad,negative
97,449802:5,but who says murray's is anything about service.,says,negative
98,454704:1,the service is awful.,awful,negative
99,464342:1,i asked for an open faced cheese sandwich and the manager basically told me to take my business elsewhere!,open,negative
100,475298:0,"good, fast service.",fast,positive
101,483111:0,winnie and her staff are the best crew you can find serving you.,best,positive
102,485767:1,"the service was attentive, yet discreet.",attentive,positive
103,490565:1,"the wait staff is pleasant, fun, and for the most part gorgeous (in the wonderful aesthetic beautification way, not in that she's-way-cuter-than-me-that-b@#$* way).",pleasant,positive
104,493514:0,i cannot imagine a friendlier staff working in a restaurant.,friendlier,positive
105,507844:0,this place would be so much better served by being run by a group that actually understands customer service.,better,negative
106,507937:3,service is fast and friendly.,fast,positive
107,511290:4,this place has the the correct ambience and an excellent staff to make you feel like a guest and a friend at the same time.,excellent,positive
108,512294:0,"great food, great prices, great service.",great,positive
109,512925:2,"also it's great to have dinner in a very romantic and confortable place, the service it's just perfect...they're so frendly that we never want to live the place!",romantic,positive
110,513521:2,drawbacks: service is slow and they don't toast!,drawbacks,negative
111,519425:3,the waiter was attentive.,attentive,positive
112,527109:0,"volare virgins or weekly regulars, everyone gets treated the same and you can't ask for more than that when the service is this friendly.",friendly,positive
113,744478:1,"fabulous decor - makes you feel like you're in a trendy manhattan restaurant, very very good food, cheaply-priced, generally friendly staff, and if you're a manhattanite, or spend most of your time in manhattan, rice avenue will make you feel at home.....very soho/village/upper west side minus the expensive prices and pretentious clientele.....all on roosevelt avenue!",friendly,positive
114,746254:4,"with so many good restaurants on the uws, i don't need overpriced food, absurdly arrogant wait-staff who don't recognize they work at a glorified diner, clumsy service, and management that doesn't care.",work,negative
115,751493:0,i am relatively new to the area and tried pick a bgel on 2nd and was disappointed with the service and i thought the food was overated and on the pricey side.,disappointed,negative
116,TM#5:3,helpful service and average price per dish $10.,helpful,positive
117,TFS#5:30,"service was just ok, it is not what you'd expect for $500.",ok,negative
118,CLF#6:5,"they are extremely rude, not even apologizing for the horrible service we got and handing us a bill well over $500 for some drinks adn their pita bread!",horrible,negative
119,DBG#6:7,"the meat is fresh, the sauces are great, you get kimchi and a salad free with your meal and service is good too.",good,positive
120,BFC#7:11,"considering you will spend at least $60 a head, i expect better service.",better,negative
