,sentence,lambda,raw_aspect,aspect,sentiment
0,i recently purchased the canon powershot g3 and am extremely satisfied with the purchase . ,"CC(satisfied_VB_P_1(purchase_NN_N_0),purchased_VB_N_0(canon+powershot+g3_NN_N_0),i_LS_N_0)","['purchase_NN_N_0', 'powershot+g3_NN_N_0']","['purchase', 'powershot g3']","[0, 0]"
1,"after i took their picture with their camera , they offered to take a picture of us . ","camera_NN_N_0(took_VB_N_0(picture_NN_N_0),i_FW_N_0,offered_VB_N_0(take_VB_N_0(picture_NN_N_0),they_PRP_N_0))","['camera_NN_N_0', 'picture_NN_N_0', 'picture_NN_N_0']","['camera', 'picture', 'picture']","[0, 0, 0]"
2,they fired away and the picture turned out quite nicely . ( as all of my pictures have thusfar ) . ,"CC(have_VB_N_0(\x.x,\x.x,\X.turned_VB_N_0(X),picture_NN_N_0),fired_VB_N_0(they_PRP_N_0))",['picture_NN_N_0'],['picture'],[0]
3,a few of my work constituants owned the g2 and highly recommended the canon for picture quality . ,"CC(recommended_VB_P_1(seq(picture+quality_NN_N_0,canon_NN_N_0)),owned_VB_N_0(g2_NN_N_0),few_JJ_N_0)","['picture+quality_NN_N_0', 'canon_NN_N_0', 'g2_NN_N_0']","['picture quality', 'canon', 'g2']","[0, 0, 0]"
4,i 'm easily enlarging pictures to 8 1/2 x 11 with no visable loss in picture quality and not even using the best possible setting as yet ( super fine ) . ,"am_VB_N_0(CC(using_VB_N_0(seq(setting_NN_N_0)),seq(picture+quality_NN_N_0,loss_NN_Ne_0,x_NN_N_0(\x.x,enlarging_VB_N_0(pictures_NNS_N_0)))),i_FW_N_0)","['setting_NN_N_0', 'picture+quality_NN_N_0', 'x_NN_N_0']","['setting', 'picture quality', 'x']","[0, 0, 0]"
5,great job canon ! ,job+canon_NN_N_1,['job+canon_NN_N_1'],['job canon'],[0]
6,yep . ,yep_NN_N_0,['yep_NN_N_0'],['yep'],[0]
7,"this is my first digital camera , and what a ' toy ' it is ! ","is_VB_N_0(CC(is_VB_N_0(toy_NN_N_0,it_PRP_N_0),camera_NN_N_0),\x.x)","['toy_NN_N_0', 'camera_NN_N_0']","['toy', 'camera']","[0, 0]"
8,"just a little overview , powershot g3 is the flagship of canon 's powershot series and its an slr-like camera , its 4 megapixel and ( alsmost ) full manual control gives the pictures a touch of brilliance . ","CC(gives_VB_N_0(pictures_NNS_N_0,touch_NN_N_0,seq(alsmost_NN_N_0,manual+control_NN_N_0)),is_VB_N_0(CC(seq(megapixel_NN_N_0,camera_NN_N_0),flagship_NN_N_0),\x.x))","['touch_NN_N_0', 'alsmost_NN_N_0', 'manual+control_NN_N_0', 'megapixel_NN_N_0', 'camera_NN_N_0', 'flagship_NN_N_0']","['touch', 'alsmost', 'manual control', 'megapixel', 'camera', 'flagship']","[0, 0, 0, 0, 0, 0]"
9,"whether you are a novice or an expert , its ease of use and functionality goes together . ","are_VB_N_0(CC(expert_NN_N_0,novice_NN_N_0),you_PRP_N_0,\x.x)","['expert_NN_N_0', 'novice_NN_N_0']","['expert', 'novice']","[0, 0]"
10,"+ you can have different kind of lens if you want + flashes , etc. ","etc_FW_N_0(want_VB_N_0(flashes_NNS_N_0),you_PRP_N_0,have_VB_N_0(kind_NN_N_0),you_PRP_N_0)",['kind_NN_N_0'],['kind'],[0]
11,i am using kingston 512mb cf which works great and is very fast . ,"am_VB_N_0(using_VB_N_0(kingston+512mb+cf_NN_N_1),i_FW_N_0)",['512mb+cf_NN_N_1'],['512mb cf'],[0]
12,* main dial is not backlit . ,dial_NN_N_0,['dial_NN_N_0'],['dial'],[0]
13,* lens visible in optical viewfinder . ,viewfinder_NN_N_0(lens_NN_N_0),"['viewfinder_NN_N_0', 'lens_NN_N_0']","['viewfinder', 'lens']","[0, 0]"
14,"following my research , i decided on the g3 . ","g3_NN_N_0(\X.decided_VB_N_0(X),following_VB_N_0(research_NN_N_0),i_FW_N_0)","['g3_NN_N_0', 'research_NN_N_0']","['g3', 'research']","[0, 0]"
15,"in a word , "" awesome "" is how i would describe this camera . ","word_NN_N_0(is_VB_N_0(describe_VB_N_0(camera_NN_N_0,i_FW_N_0),awesome_JJ_P_1))","['word_NN_N_0', 'camera_NN_N_0']","['word', 'camera']","[0, 0]"
16,"with the automatic settings , i really have n't taken a bad picture yet . ","settings_NNS_N_0(taken_VB_N_0(picture_NN_N_1,i_FW_N_0))",['picture_NN_N_1'],['picture'],[0]
17,"i am absolutely in awe of this camera , canon put enormous quality into the g3 . ","am_VB_N_0(\x.x,i_FW_N_0)",[],[],[]
18,"do n't walk , run and buy this camera if you have the budget , i guarantee you will not be disappointed . ","have_VB_N_0(budget_NN_N_0,you_PRP_N_0,CC(buy_VB_N_0(camera_NN_N_0),walk_VB_N_0(run_NN_N_0)),guarantee_VB_P_1(be_VB_N_0(\X.disappointed_VB_Ne_1(X),you_PRP_N_0),i_FW_N_0))","['budget_NN_N_0', 'camera_NN_N_0', 'run_NN_N_0']","['budget', 'camera', 'run']","[0, 0, 0]"
19,i have taken hundreds of photos with it and i continue to be amazed by their quality . ,"CC(continue_VB_N_0(be_VB_N_0(quality_NN_N_0(\X.amazed_VB_P_1(X))),i_FW_N_0),have_VB_N_0(taken_VB_N_0(hundreds_NNS_N_0),i_LS_N_0))",['quality_NN_N_0'],['quality'],[0]
20,flaws ? ,flaws_NNS_Ne_1,[],[],[]
21,"despite this minor disappointment , i highly recommend the canon g3 anyone who is serious about digital photography . ","disappointment_NN_Ne_0(recommend_VB_P_1(seq(photography_NN_N_0,canon+g3+anyone_NN_N_0),i_FW_N_0))","['photography_NN_N_0', 'g3+anyone_NN_N_0']","['photography', 'g3 anyone']","[0, 0]"
