,0,aspect,prediction
0,the manual does a fine job filling in any blanks that remain . ,manual!+,job!fine|manual!job
1,the manual mode is feature rich and i can 't wait to get the hang of it . ,manual mode!+,mode!rich|wait!hang|feature!mode
2,"the camera comes with a lexar 16mb starter card , which stores about 10 images in fine mode at the highest resolution , i intend to buy a bigger card soon . ",,mode!fine|card!16mb|lexar!16mb
3,i had an older camera that was simply a point and shoot camera . ,,
4,"you can use the scene modes , or fine tune the options , i. you can change the iso level , shutter speed , etc. ",,tune!fine|scene!tune
5,"this camera is ideal for people who want more power , but do n't want to spend 1000s dollars on a camera . ",camera!+,camera!ideal
6,"with nikon , although picture qualities are as good as any other 4 mp cameras , i 've had the following headaches ; ",picture quality!+,picture!good|nikon!headaches
7,i used lexar 256 mb and i still use it which means nothing is wrong with lexar . ,,nothing!wrong|lexar!nothing
8,"the other reviewers have clearly pointed all the good things about this camera , which i do agree . ",,camera!good
9,"but there are certain issues might be they are to me here - all of them are minor; not major ones though , ",,
10,so if you use your card reader ; copy images - you got to onceagain open them through their software to put the date ; time . ,,
11,i would rate this is 4.5 stars picture quality ; image size defined above are specific to nikon coolpix . ,,|size!specific|image!specific|quality!size|coolpix!nikon
12,it became stucked which makes it almost impossible to switch between modes . ,,
13,"worse of all , they claim that it 's some kind of internal damage and refuse to cover the cost via warranty ! ",,
14,they would n't repair my camera unless if i pay $ 100 for parts ? and labor ! ,,
15,"it is a good camera in terms of the function and quality , but take your chance with it because nikon absolutely sucks when it comes to customer service . ",camera!+,camera!good|nikon!sucks|chance!camera
16,i am an amateur photographer and here is a piece of advise to all the folks who are thinking about making a move the digital world . ,,|world!digital|move!digital
17,"nikon 4300 , i feel , is the best camera out there for the features and price . ",camera!+,camera!best
18,"nikon got the final nod for its settings auto and manual along with movie modes , medium; compact size , price , brand name , good software that is included and previous reviews . ",,size!compact|price!compact|software!good|nod!nikon|name!size|nikon!nod|auto!final|manual!auto|brand!size
19,i should say i have been very happy with my decision ever since . ,,
20,"all the above , i think , are problems with all the digital cameras out there and so i have no major complaints . ",,
21,"whichever camera you buy , add upto about 200 dollars for an additional memory card i bought a 256 mb card , usb card reader , camera bag and the warranty . ",,|card!additional|upto!additional|reader!card|usb!card|memory!additional|bag!card|camera!card|mb!additional|warranty!card
22,"and finally , get your pictures developed at a kodak picture maker machine even though it costs you a little extra - no one can beat kodak processing in terms of clarity and brightness . ",,
23,"the possibilities with auto , manual , and the very helpful "" scene "" mode , which offers 11 optimized situational settings like portrait , landscape , beach / snow , sunset etc. , are endless . ",auto mode!+|manual mode!+|scene mode!+,scene!helpful|auto!helpful|mode!helpful|manual!auto
24,"the 4300 comes with excellent easy to install software i use it on xp and win98 without problem , battery charger , usb and video cable . ",software!+,
25,"a 64mb flash card camera comes with a 16mb holds 52 pictures on "" normal "" resolution . ",,|camera!64mb|flash!64mb|resolution!normal|card!64mb
26,"the battery life is ok , but can be somewhat short when working a lot with the monitor on . ",battery life!+,|life!ok|battery!ok
27,"over all a fantastic very compact camera , which made us experience photography on a totally new level ! ",camera!+,camera!fantastic
28,i currently own an olympus d-550 which takes wonderful outdoor pictures . ,,
29,"the store clerk concluded that the blurriness may be caused by shaking the camera slightly when i press the button , which is understandable since this camera is lighter than the other two models . ",,camera!lighter
30,i 'm sure that this camera has all the wonderful features that others talk about . ,,
31,after nearly 800 pictures i have found that this nikon takes incredible pictures . ,picture!+,
32,"the digital zoom takes as good of pictures , as the optical zoom does ! ",digital zoom!+,|zoom!digital
33,"the inside pics , can be a bit challenging , but when you can instantly delete pics you dont like , that are not focused perfectly , or need lighting adjustments , make this camera very simple and effective . ",picture!-,|camera!simple
34,the software you get with this camera is perfect . ,software!+,software!perfect
35,"battery life is good , although i recommend two rechargebles , or a alkaline backup , for those emergency pics you have to have . ",battery life!+,life!good|battery!good|backup!recommend
36,"this is my second digital camera , though i also use one at work and have some experience with several nikon and canon models . ",,|camera!second
37,"if something were to happen to my nikon coolpix 4300 , i would order another just like it . ",,|coolpix!nikon
38,"it takes excellent pics and is very easy to use , if you read the manual . ",picture!+,
39,i 'm extremely glad i bought this camera . ,camera!+,
40,"it is n't big and offensive , though you would n't know it by looking at the pics it takes . ",size!+,
41,in the end this is the one that we decided upon and since have never had buyer 's remorse . ,,
42,the software that comes with it is amazing and the online service that comes free is really very neat. clean clear and well focused on over 95 % of all photos taken by a beginner . ,software!+|online service!+,service!neat
43,"if you have to buy a camera on a buget, this has got to be the one . ",camera!+,
44,one downside though is that autofocus does not work well when battery is low . ,autofocus!-,autofocus!work|battery!low
45,"great camera , and for the price you can 't beat it . ",camera!+,camera!great|price!great|t!camera
46,i found the controls very intuitive and learned how to manuver through the menus quickly . ,control!+,
47,"we use older versions 880 , 885 of this model in the office and i find them to produce excellent quality photos . ",,quality!excellent
48,it comes with a 16mb flash card that you will need to upgrade ! ,,|card!16mb|flash!16mb
49,"it comes with a rechargable battery that does not seem to last all that long , especially if you use the flash a lot . ",battery!-,|battery!rechargable
50,"so , it 's a good idea to purchase an extra battery to insure that you are not left hanging . ",,idea!good|battery!extra
51,"it has a 3x optical zoom , which is average for these cameras . ",optical zoom!-,|zoom!optical|3x!optical
52,"for more , you sacrifice weight and size : more optical zoom requires more glass and focal length . ",,|zoom!optical|glass!zoom|length!glass
53,"in reality , these are the only drawbacks this camera has , much less than many other models ! ",,
54,"it is easy to "" focus "" in on the drawbacks , so do n't think i hate this camera . ",,camera!hate
55,it really is an awesome camera that is hard to beat for general-to moderate snapping . ,camera!+,camera!awesome
56,"consider the time you save during picture taking especially not missing a good moment and during download , it 's well worth the little extra money . ",,moment!good|money!extra|picture!money|download!moment
57,"one thing puzzles me is that for "" fine and 2200 + "" quality pictures , one ultra 256mb cf card can only hold 130-140 pics , but the size of the pictures are only around 1.2 mb , the math does not add up . ",,
58,i highly recommend this camera to anyone looking for a good digital camera that takes great pictures yet does n't take weeks to figure out how to operate . ,camera!+,camera!recommend|anyone!camera
59,i am a picture fanatic so i consider myself picky and if your the same way this camera will not let you down.now buy it ! ,camera!+,picture!fanatic
60,"3 the picture editing software it came with is adequate , but not very robust . ",software!-,
61,"- since i wrote the review above in january 2003 , i still love this camera . ",,camera!love|review!camera
62,i 've picked up a few accessories that i found to be useful . ,,
63,i am impressed with how easy this camera is to use . ,use!+,
64,i have not yet figured out how to make it snap quick pictures for action shots . ,,
65,autofocus feels exactly like my film camera while scene and manual mode add a little fun challenge to it all . ,autofocus!+,|challenge!little|fun!little|mode!challenge
66,i wish the camera had a higher optical zoom so that i could take better wildlife photos . ,,wildlife!better|zoom!optical|wish!zoom|camera!zoom
67,"however , its 3x optical setting is acceptable for 70 % of the shots that i take . ",optical setting!+,|setting!optical|3x!optical|%!setting
68,"if you 're looking for a small , compact , super resolution digital camera , you can end your search with the nikon 4300 ! ",camera!+,|resolution!small|camera!small|search!nikon
69,"after using it for about a month , i can state unequivocably that this nikon definitely delivers a huge bang for the buck . ",nikon!+,|bang!nikon|nikon!bang|buck!huge
70,"yes , the picture quality and features which are too numerous to mention are unmatched for any camera in this price range . ",picture quality!+,quality!unmatched|picture!unmatched|camera!quality|range!quality
71,the design and construction are excellent -- as is the legendary quality of the nikon optics . ,design!+,design!excellent|construction!excellent|quality!legendary
72,"if you have windows me you should upgrade to xp anyway , lol . ",,
73,"it 's easy for beginners to use , but has features that more serious photographers will love , so it 's an excellent camera to grow into . ",use!+|camera!+,camera!excellent|camera!easy
74,"it 's light weight enough to take with you everywhere , but powerful enough to get outstanding pix . ",weight!+|picture!+,pix!outstanding|weight!light
75,"i love the continuous shot mode , which allows you to take up to 16 pix in rapid succession -- great for action shots . ",continuous shot mode!+,mode!love|shot!love|succession!rapid
76,"if you do any research into digital cameras , you 'll quickly find that this camera is just about the best value out there . ",,value!best|camera!best
77,these are the reasons i think it 's great : ,,
78,1 it has all the features an amatuer photo-enthusiast would want . ,feature!+,
79,3 it is very compact but the controls are so well designed that they 're still easy to use . ,size!+,
80,"5 for "" digital film "" it uses compact flash cards , which are easy to find , cheap , reliable and supported by many other devices you may have at hoome . ",,flash!compact|film!digital
81,6 the nikon coolpix line is a well-established line so you know support and parts are going to be available even when nikon releases a newer model . ,nikon support!+,line!well-established|line!well-established|nikon!well-established|coolpix!line|model!nikon
82,"2 the camera is so small that when you attach some lenses i have the 19mm wide-angle -- wc-e 68 , the optical viewfinder is partially obscured . ",viewfinder!-,|camera!small|viewfinder!optical
83,"4 an ac adapter for powering the camera while the battery 's out is not included , although one can be purchased separately . ",,
84,"most of these "" annoyances "" , though , are comparable to what you 'll find on other cameras in this price range . ",,
85,it 's size also makes it ideal for travel . ,size!+,size!ideal
86,"in my opinion it 's the best camera for the money if you 're looking for something that 's easy to use , small good for travel , and provides excellent , sharp images . ",camera!+,camera!best|opinion!best|money!best
