,id,review,label,pred_single,pred_multiple,terms
0,0,"i am not necessarily fanatical about this place, but it was a fun time for low prices.",VALUE,VALUE,VALUE|VALUE|VALUE,price|rice|place
1,2,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE,VALUE|FOOD|VALUE|VALUE|VALUE|VALUE,price|food|view|rice|going|high
2,3,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE,VALUE|FOOD|VALUE|VALUE|VALUE|VALUE,price|food|view|rice|going|high
3,4,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE,VALUE|FOOD|VALUE|VALUE|VALUE|VALUE,price|food|view|rice|going|high
4,5,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE,VALUE|FOOD|VALUE|VALUE|VALUE|VALUE,price|food|view|rice|going|high
5,6,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE,VALUE|FOOD|VALUE|VALUE|VALUE|VALUE,price|food|view|rice|going|high
6,7,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE,VALUE|FOOD|VALUE|VALUE|VALUE|VALUE,price|food|view|rice|going|high
7,8,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE,VALUE|FOOD|VALUE|VALUE|VALUE|VALUE,price|food|view|rice|going|high
8,9,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE,VALUE|FOOD|VALUE|VALUE|VALUE|VALUE,price|food|view|rice|going|high
9,10,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE,VALUE|FOOD|VALUE|VALUE|VALUE|VALUE,price|food|view|rice|going|high
10,11,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE,VALUE|FOOD|VALUE|VALUE|VALUE|VALUE,price|food|view|rice|going|high
11,12,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE,VALUE|FOOD|VALUE|VALUE|VALUE|VALUE,price|food|view|rice|going|high
12,13,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE,VALUE|FOOD|VALUE|VALUE|VALUE|VALUE,price|food|view|rice|going|high
13,14,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE,VALUE|FOOD|VALUE|VALUE|VALUE|VALUE,price|food|view|rice|going|high
14,15,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE,VALUE|FOOD|VALUE|VALUE|VALUE|VALUE,price|food|view|rice|going|high
15,16,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE,VALUE|FOOD|VALUE|VALUE|VALUE|VALUE,price|food|view|rice|going|high
16,17,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE,VALUE|FOOD|VALUE|VALUE|VALUE|VALUE,price|food|view|rice|going|high
17,18,bad food and high prices,FOOD|VALUE,VALUE,VALUE|FOOD|VALUE|VALUE,price|food|rice|high
18,19,bad food and high prices,FOOD|VALUE,VALUE,VALUE|FOOD|VALUE|VALUE,price|food|rice|high
19,20,bad food and high prices,FOOD|VALUE,VALUE,VALUE|FOOD|VALUE|VALUE,price|food|rice|high
20,21,bad food and high prices,FOOD|VALUE,VALUE,VALUE|FOOD|VALUE|VALUE,price|food|rice|high
21,22,bad food and high prices,FOOD|VALUE,VALUE,VALUE|FOOD|VALUE|VALUE,price|food|rice|high
22,23,bad food and high prices,FOOD|VALUE,VALUE,VALUE|FOOD|VALUE|VALUE,price|food|rice|high
23,24,bad food and high prices,FOOD|VALUE,VALUE,VALUE|FOOD|VALUE|VALUE,price|food|rice|high
24,25,bad food and high prices,FOOD|VALUE,VALUE,VALUE|FOOD|VALUE|VALUE,price|food|rice|high
25,26,bad food and high prices,FOOD|VALUE,VALUE,VALUE|FOOD|VALUE|VALUE,price|food|rice|high
26,27,bad food and high prices,FOOD|VALUE,VALUE,VALUE|FOOD|VALUE|VALUE,price|food|rice|high
27,28,bad food and high prices,FOOD|VALUE,VALUE,VALUE|FOOD|VALUE|VALUE,price|food|rice|high
28,29,bad food and high prices,FOOD|VALUE,VALUE,VALUE|FOOD|VALUE|VALUE,price|food|rice|high
29,30,bad food and high prices,FOOD|VALUE,VALUE,VALUE|FOOD|VALUE|VALUE,price|food|rice|high
