,id,review,opinion,label,preprocessed
0,1032695:1,"everything is always cooked to perfection, the service is excellent, the decor cool and understated.",excellent|excellent,positive,"['everything', 'always', 'cooked', 'perfection', 'service', 'excellent', 'decor', 'cool', 'understated']"
1,1041457:6,"the decor is night tho...but they really need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.",sleek|sleek|un,negative,"['decor', 'night', 'thobut', 'really', 'need', 'clean', 'vent', 'ceilingits', 'quite', 'unappetizing', 'kill', 'effort', 'make', 'place', 'look', 'sleek', 'modern']"
2,1086478:5,"the ambience is pretty and nice for conversation, so a casual lunch here would probably be best.",nice|casual,positive,"['ambience', 'pretty', 'nice', 'conversation', 'casual', 'lunch', 'would', 'probably', 'best']"
3,1090587:1,if you've ever been along the river in weehawken you have an idea of the top of view the chart house has to offer.,||||||,positive,"['ever', 'along', 'river', 'weehawken', 'idea', 'top', 'view', 'chart', 'house', 'offer']"
4,1102681:0,"once you step into cosette, you're miraculously in a small, off-the-beaten path parisian bistro.",parisian|parisian,positive,"['step', 'cosette', 'miraculously', 'small', 'offthebeaten', 'path', 'parisian', 'bistro']"
5,1102681:1,"this tiny restaurant is as cozy as it gets, with that certain parisian flair.",tiny,positive,"['tiny', 'restaurant', 'cozy', 'get', 'certain', 'parisian', 'flair']"
6,1126814:0,"leon is an east village gem: casual but hip, with well prepared basic french bistro fare, good specials, a warm and lively atmosphere.",lively,positive,"['leon', 'east', 'village', 'gem', 'casual', 'hip', 'well', 'prepared', 'basic', 'french', 'bistro', 'fare', 'good', 'special', 'warm', 'lively', 'atmosphere']"
7,1126886:2,"the service is excellent, the decor is great, and the food is delicious and comes in large portions.",great,positive,"['service', 'excellent', 'decor', 'great', 'food', 'delicious', 'come', 'large', 'portion']"
8,1153034:2,located at the end of a magnificent block.,magnificent|magnificent,positive,"['located', 'end', 'magnificent', 'block']"
9,1154550:1,the place is small and cramped but the food is fantastic.,small,negative,"['place', 'small', 'cramped', 'food', 'fantastic']"
10,1189674:0,first went here to enjoy their garden terrace.,,positive,"['first', 'went', 'enjoy', 'garden', 'terrace']"
11,1199480:0,"not sure where the previous reviewer, lonk, dined, but saul is in a great neighborhood and has great food!",great|great|great|great,positive,"['sure', 'previous', 'reviewer', 'lonk', 'dined', 'saul', 'great', 'neighborhood', 'great', 'food']"
12,1221938:3,downstairs lounge is always a good attraction,good,positive,"['downstairs', 'lounge', 'always', 'good', 'attraction']"
13,1225162:0,"raga's is a romantic, cozy restaurant.",cozy,positive,"['ragas', 'romantic', 'cozy', 'restaurant']"
14,1230993:1,i loved everythig about it-especially the shows and actors.,,positive,"['loved', 'everythig', 'itespecially', 'show', 'actor']"
15,1232468:1,the outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.,outdoor,positive,"['outdoor', 'atmosphere', 'sitting', 'sidewalk', 'watching', 'world', 'go', '', 'foot', 'away', 'th', 'avenue', 'cool', 'evening', 'wonderful']"
16,1280179:5,"the decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date.",great|vibrant,positive,"['decor', 'vibrant', 'eyepleasing', 'several', 'semiprivate', 'boths', 'right', 'side', 'dining', 'hall', 'great', 'date']"
17,1286916:1,"the first time i went, and was completely taken by the live jazz band and atmosphere, i ordered the lobster cobb salad.",live,positive,"['first', 'time', 'went', 'completely', 'taken', 'live', 'jazz', 'band', 'atmosphere', 'ordered', 'lobster', 'cobb', 'salad']"
18,1289424:4,the place's decor and hidden bathrooms made for a good laugh.,hidden|hidden,positive,"['place', 'decor', 'hidden', 'bathroom', 'made', 'good', 'laugh']"
19,1308557:1,"it's boring on the inside, and our sushi was pretty below average... the tuna was soggy and the other rolls had no flavor.",soggy,negative,"['boring', 'inside', 'sushi', 'pretty', 'average', 'tuna', 'soggy', 'roll', 'flavor']"
20,1335154:4,"i didn't complain, i liked the atmosphere so much.",|,positive,"['complain', 'liked', 'atmosphere', 'much']"
21,1335656:2,"ambience is so cute and quaint, good for business although we were there on vacation.",good|good,positive,"['ambience', 'cute', 'quaint', 'good', 'business', 'although', 'vacation']"
22,1340075:2,the atmosphere is noisy and the waiters are literally walking around doing things as fast as they can.,noisy,negative,"['atmosphere', 'noisy', 'waiter', 'literally', 'walking', 'around', 'thing', 'fast']"
23,1347423:1,"the staff was accomodating, the food was absolutely delicious and the place is lovely.",lovely,positive,"['staff', 'accomodating', 'food', 'absolutely', 'delicious', 'place', 'lovely']"
24,1352948:0,the place is a bistro which means: simple dishes and wine served efficiently in a bustling atmosphere.,simple|bustling,positive,"['place', 'bistro', 'mean', 'simple', 'dish', 'wine', 'served', 'efficiently', 'bustling', 'atmosphere']"
25,1353599:0,right off the l in brooklyn this is a nice cozy place with good pizza.,cozy|nice,positive,"['right', 'l', 'brooklyn', 'nice', 'cozy', 'place', 'good', 'pizza']"
26,1357554:4,it's a nice place to relax and have conversation.,nice|nice,positive,"['nice', 'place', 'relax', 'conversation']"
27,1380450:2,service was also horrible and the ambience is not that great.,great,negative,"['service', 'also', 'horrible', 'ambience', 'great']"
28,1387314:4,it's a small cute restaurant.,cute,positive,"['small', 'cute', 'restaurant']"
29,1390357:2,"i like the ambience, it's very dark and original.",dark,positive,"['like', 'ambience', 'dark', 'original']"
30,1394712:4,"however, i think this place is a good hang out spot.",good|good,positive,"['however', 'think', 'place', 'good', 'hang', 'spot']"
31,1395421:1,the pizza and wine were excellent-the service too--but what really made this place was the backyard dining area.,excellent,positive,"['pizza', 'wine', 'excellentthe', 'service', 'toobut', 'really', 'made', 'place', 'backyard', 'dining', 'area']"
32,1398844:0,"first of all, this place is *not* romantic, as claimed by citysearch's editorial review.",romantic,negative,"['first', 'place', 'romantic', 'claimed', 'citysearchs', 'editorial', 'review']"
33,1404042:3,"cute place, nice wait staff but would never go there again.",nice|nice,positive,"['cute', 'place', 'nice', 'wait', 'staff', 'would', 'never', 'go']"
34,1413697:2,the place is so cool and the service is prompt and curtious.,cool,positive,"['place', 'cool', 'service', 'prompt', 'curtious']"
35,1417496:0,a restaurant that doesn't try to do anything except serve great food with great service in a pleasant atmosphere.,pleasant,positive,"['restaurant', 'try', 'anything', 'except', 'serve', 'great', 'food', 'great', 'service', 'pleasant', 'atmosphere']"
36,1417496:2,the dining room is quietly elegant with no music to shout over -- how refreshing!,elegant,positive,"['dining', 'room', 'quietly', 'elegant', 'music', 'shout', 'refreshing']"
37,1439875:1,"the place is small and intimate and you may feel a little crowded, but the service is excellent and it's great for friends out, a romantic date, or a special occassion.",small|great,negative,"['place', 'small', 'intimate', 'may', 'feel', 'little', 'crowded', 'service', 'excellent', 'great', 'friend', 'romantic', 'date', 'special', 'occassion']"
38,1451107:0,this place is so much fun.,much,positive,"['place', 'much', 'fun']"
39,1457607:0,the place is a lot of fun.,,positive,"['place', 'lot', 'fun']"
40,1457607:2,the characters really make for an enjoyable experience.,enjoyable|enjoyable,positive,"['character', 'really', 'make', 'enjoyable', 'experience']"
41,1471273:4,zero ambiance to boot.,|,negative,"['zero', 'ambiance', 'boot']"
42,1476493:2,"the ambience was nice, but service wasn't so great.",great|nice,positive,"['ambience', 'nice', 'service', 'great']"
43,1486041:0,"the atmosphere is nothing special, but it feels like a sushi establishment in tokyo.",special|special|special,positive,"['atmosphere', 'nothing', 'special', 'feel', 'like', 'sushi', 'establishment', 'tokyo']"
44,1486041:1,the owner and staff are all japanese as well and that adds to the entire ambiance.,japanese,positive,"['owner', 'staff', 'japanese', 'well', 'add', 'entire', 'ambiance']"
45,1506491:2,check out the secret back room.,|,positive,"['check', 'secret', 'back', 'room']"
46,1572033:1,decor is nice though service can be spotty.,nice|nice|nice,positive,"['decor', 'nice', 'though', 'service', 'spotty']"
47,1611489:3,"eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.",disappointing,positive,"['eating', 'atmosphere', 'save', 'desk', 'disappointing', 'experience']"
48,1615322:4,the seats are uncomfortable if you are sitting against the wall on wooden benches.,uncomfortable|wooden|wooden,negative,"['seat', 'uncomfortable', 'sitting', 'wall', 'wooden', 'bench']"
49,1655521:1,i almost hesititate to write a review because the atmosphere was so great and i would hate for it too become to crowded.,great|great,positive,"['almost', 'hesititate', 'write', 'review', 'atmosphere', 'great', 'would', 'hate', 'become', 'crowded']"
50,1655521:2,"the food was very good, a great deal, and the place its self was great.",great,positive,"['food', 'good', 'great', 'deal', 'place', 'self', 'great']"
51,1661043:4,decor is charming.,charming,positive,"['decor', 'charming']"
52,1706644:4,"we ate out in the back patio, which is worth it as it's cool and the music is hear well there.",cool|worth,positive,"['ate', 'back', 'patio', 'worth', 'cool', 'music', 'hear', 'well']"
53,1707201:2,the place was nice and calm.,nice|nice,positive,"['place', 'nice', 'calm']"
54,1718513:3,"the back garden sitting area is very pleasant, where you can see their personal herb garden.",back|personal|pleasant|back|personal,positive,"['back', 'garden', 'sitting', 'area', 'pleasant', 'see', 'personal', 'herb', 'garden']"
55,1730127:2,"always a nice crowd, but never loud.",nice|loud,positive,"['always', 'nice', 'crowd', 'never', 'loud']"
56,436868:3,"calling the place hampton chutney co. does warn you that these folks offer more style than substance, but in this unattractive room with unhelpful clerks there was a dearth of the former too.",more,negative,"['calling', 'place', 'hampton', 'chutney', 'co', 'warn', 'folk', 'offer', 'style', 'substance', 'unattractive', 'room', 'unhelpful', 'clerk', 'dearth', 'former']"
57,445960:0,"this is such a lovely, peaceful place to eat outside.",peaceful,positive,"['lovely', 'peaceful', 'place', 'eat', 'outside']"
58,445960:1,the restaurant looks out over beautiful green lawns to the hudson river and the statue of liberty.,beautiful,positive,"['restaurant', 'look', 'beautiful', 'green', 'lawn', 'hudson', 'river', 'statue', 'liberty']"
59,445960:4,"this is a great place to take out-of-towners, and perfect for watching the sunset.",great|great,positive,"['great', 'place', 'take', 'outoftowners', 'perfect', 'watching', 'sunset']"
60,475298:3,the location is perfect.,perfect,positive,"['location', 'perfect']"
61,475512:2,"well, this place is so ghetto its not even funny.",funny|funny|funny,negative,"['well', 'place', 'ghetto', 'even', 'funny']"
62,475512:3,if you like your music blasted and the system isnt that great and if you want to pay at least 100 dollar bottle minimun then you'll love it here.,great|great,negative,"['like', 'music', 'blasted', 'system', 'great', 'want', 'pay', 'least', '', 'dollar', 'bottle', 'minimun', 'love']"
63,485966:1,the place was quiet and delightful.,quiet,positive,"['place', 'quiet', 'delightful']"
64,490565:3,"but the best part about ls is the late night atmosphere, delightfully free of the bts.",free,positive,"['best', 'part', 'l', 'late', 'night', 'atmosphere', 'delightfully', 'free', 'bts']"
65,490565:4,"you can get a completely delish martini in a glass (that's about 2 1/2 drinks) for $8.50 (i recommend the vanilla shanty, mmmm!) in a great homey setting with great music.",delish|delish|delish|delish,positive,"['get', 'completely', 'delish', 'martini', 'glass', 'thats', '', '', 'drink', '', 'recommend', 'vanilla', 'shanty', 'mmmm', 'great', 'homey', 'setting', 'great', 'music']"
66,493013:1,"its location is good and the fact that hutner college is near and their prices are very reasonable, makes students go back to suan again and again.",good|reasonable,positive,"['location', 'good', 'fact', 'hutner', 'college', 'near', 'price', 'reasonable', 'make', 'student', 'go', 'back', 'suan']"
67,493013:6,in summer-eat outside on a terrace (another great feature of suan)!!!,great,positive,"['summereat', 'outside', 'terrace', 'another', 'great', 'feature', 'suan']"
68,496132:1,the setting is casual and romantic.,casual,positive,"['setting', 'casual', 'romantic']"
69,498657:4,"the wait here is long for dim sum, but if you don't like sharing tables or if the typical raucous dim sum atmosphere is not your gig, this is a sleek (for chinatown) alternative.",typical|dim,negative,"['wait', 'long', 'dim', 'sum', 'like', 'sharing', 'table', 'typical', 'raucous', 'dim', 'sum', 'atmosphere', 'gig', 'sleek', 'chinatown', 'alternative']"
70,505535:0,this little place has a cute interior decor and affordable city prices.,little|interior,positive,"['little', 'place', 'cute', 'interior', 'decor', 'affordable', 'city', 'price']"
71,511290:4,this place has the the correct ambience and an excellent staff to make you feel like a guest and a friend at the same time.,correct|excellent|excellent,positive,"['place', 'correct', 'ambience', 'excellent', 'staff', 'make', 'feel', 'like', 'guest', 'friend', 'time']"
72,512925:2,"also it's great to have dinner in a very romantic and confortable place, the service it's just perfect...they're so frendly that we never want to live the place!",confortable|perfecttheyre|confortable|perfecttheyre|great,positive,"['also', 'great', 'dinner', 'romantic', 'confortable', 'place', 'service', 'perfecttheyre', 'frendly', 'never', 'want', 'live', 'place']"
73,519425:4,the place itself is beautiful the bar scene seems to be happening.,beautiful,positive,"['place', 'beautiful', 'bar', 'scene', 'seems', 'happening']"
74,535171:1,not the typical nyc gimmick theme restaurant.,typical,positive,"['typical', 'nyc', 'gimmick', 'theme', 'restaurant']"
75,541532:0,cozy romantic atomosphere with only around 15 tables at most.,romantic,positive,"['cozy', 'romantic', 'atomosphere', 'around', '', 'table']"
76,561054:1,"when you're sitting in their main dining room (which has a spectacular, hand-painted high ceiling) you'd never know there was a world outside.",high,positive,"['sitting', 'main', 'dining', 'room', 'spectacular', 'handpainted', 'high', 'ceiling', 'never', 'know', 'world', 'outside']"
77,626269:2,the design and atmosphere is just as good.,good|good,positive,"['design', 'atmosphere', 'good']"
78,632121:1,the jukebox plays everything from italian opera to the strokes.,italian|italian|italian,positive,"['jukebox', 'play', 'everything', 'italian', 'opera', 'stroke']"
79,680390:0,"toons has recently been redone, so it's now a very attractive space.",attractive|attractive,positive,"['toon', 'recently', 'redone', 'attractive', 'space']"
80,709294:1,"we recently decided to try this location, and to our delight, they have outdoor seating, perfect since i had my yorkie with me.",outdoor|outdoor,positive,"['recently', 'decided', 'try', 'location', 'delight', 'outdoor', 'seating', 'perfect', 'since', 'yorkie']"
81,717570:1,the decor is very simple but comfortable.,simple,positive,"['decor', 'simple', 'comfortable']"
82,735448:1,"whoever the jazz duo was, they were on point.",|,positive,"['whoever', 'jazz', 'duo', 'point']"
83,737999:3,atmosphere is nice and relaxed too...,nice|nice,positive,"['atmosphere', 'nice', 'relaxed']"
84,744478:1,"fabulous decor - makes you feel like you're in a trendy manhattan restaurant, very very good food, cheaply-priced, generally friendly staff, and if you're a manhattanite, or spend most of your time in manhattan, rice avenue will make you feel at home.....very soho/village/upper west side minus the expensive prices and pretentious clientele.....all on roosevelt avenue!",trendy|fabulous|sohovillageupper|fabulous|sohovillageupper|fabulous,positive,"['fabulous', 'decor', 'make', 'feel', 'like', 'trendy', 'manhattan', 'restaurant', 'good', 'food', 'cheaplypriced', 'generally', 'friendly', 'staff', 'manhattanite', 'spend', 'time', 'manhattan', 'rice', 'avenue', 'make', 'feel', 'homevery', 'sohovillageupper', 'west', 'side', 'minus', 'expensive', 'price', 'pretentious', 'clienteleall', 'roosevelt', 'avenue']"
85,757762:0,baluchi's has solid food and a nice decor at reasonable prices.,nice,positive,"['baluchi', 'solid', 'food', 'nice', 'decor', 'reasonable', 'price']"
86,875139:0,"love the scene first off- the place has a character and nice light to it..very fortunate, location wise.",nice|nice,positive,"['love', 'scene', 'first', 'place', 'character', 'nice', 'light', 'itvery', 'fortunate', 'location', 'wise']"
87,955711:2,love the atmosphere - felt like i was in paris.,|,positive,"['love', 'atmosphere', 'felt', 'like', 'paris']"
88,EVPK#10:1,i was visiting new york city with a friend and we discovered this really warm and inviting restaurant.,warm|warm,positive,"['visiting', 'new', 'york', 'city', 'friend', 'discovered', 'really', 'warm', 'inviting', 'restaurant']"
89,Z#3:1,"the space kind of feels like an alice in wonderland setting, without it trying to be that.",,negative,"['space', 'kind', 'feel', 'like', 'alice', 'wonderland', 'setting', 'without', 'trying']"
90,TR#3:0,great place to relax and enjoy your dinner,great|great,positive,"['great', 'place', 'relax', 'enjoy', 'dinner']"
91,TR#3:1,there is something about their atmosphere that makes me come back nearly every week.,|,positive,"['something', 'atmosphere', 'make', 'come', 'back', 'nearly', 'every', 'week']"
92,Y#6:3,"in the summer months, the back garden area is really nice.",nice|nice,positive,"['summer', 'month', 'back', 'garden', 'area', 'really', 'nice']"
93,TM#3:3,"the food was good, the place was clean and affordable.",clean,positive,"['food', 'good', 'place', 'clean', 'affordable']"
94,TR#1:3,i highly recommend this beautiful place.,beautiful,positive,"['highly', 'recommend', 'beautiful', 'place']"
95,TR#8:6,nice view of river and nyc.,nice,positive,"['nice', 'view', 'river', 'nyc']"
