,0,aspect,prediction
0,i bought this camera because it fit my budget and the pre-production and production model reviews were positive . ,,budget!positive|pre-production!positive|production!pre-production|model!pre-production
1,"in that too , there is n't a direct way to add date ; time - you got to say ' print images ' to a different directory in which there is an option to specify the date ; time . ",,|way!direct|directory!way|option!way|time!way
2,you got to have flash ' on ' to get it eventhough your room is well lit ,,
3,the auto setting does a great job most of the time but there are manual settings for those who want them . ,auto setting!+,job!great|setting!job|time!job
4,the only things i have found that i havent liked is that the lcd is hard to read in daylight but everyone elses is too . ,lcd!-,lcd!hard
5,"i only wish you could get high quality tiff images at all resolutions , but does n't seem any of the buget cameras do . ",,
6,one neat thing - i have taken some pictures in what i thought would be impossible lighting conditions pitch black rooms - no problem for the camera - rooms looked like they had ample lighting . ,picture!+,thing!neat|thing!impossible|lighting!ample|lighting!impossible|problem!thing
7,this is my first digital camera and i can say that i am quite impressed with the features that it has . ,camera!+|feature!+,camera!impressed
8,"the 4300 is a very durable , compact package , and i find nikon to be a brand that i can trust . ",nikon 4300!+,package!durable|nikon!package|brand!package
9,it does not have an auto-focus assist light which is nice for taking shots in low-light situations it allows the camera to focus in low light . ,auto-focus assist light!-,
10,"i would say that this is not a major issue , but it can be slightly annoying if you care about these things . ",,
11,the compact digital camera is especially useful if you have little children around and you can always take the camera with you and take many pictures of them . ,size!+,camera!useful
12,we take this camera with us everywhere and are constantly amazed at the quality of the pictures that we get and the number of different ways the camera allows for pictures to be taken . ,picture quality!+,|number!different|camera!number
13,the daylight pictures are brilliant and the indoor shots are very good provided that your subject is no more than about 8 feet away . ,picture!+,daylight!brilliant
14,"the downside is that you might accidentally take pictures with the lens cap on , the camera wo n't fit in the small cases , and 28mm filters are expensive and hard to find . ",,mm!expensive
15,i have one thing to say to the numbskulls who complain that this camera 's controls are confusing and hard to remember : ,,camera!confusing
16,"my room is so dark and when i tried taking pics of it with my old camera , they came out black , but with this , they look the same in the picture as in real life . ",,room!dark|camera!old
17,the picture quality is amazing and you can connect it to your tv and could make silent movies that way if you wanted to . ,picture quality!+,quality!amazing|picture!amazing|way!silent
18,"it does have a lense cap , but it wo n't let you take pics with it on which is real good . ",lense cap!+,
19,the battery recharges ral fast and the recharger thingy that comes with is real nice . ,battery!+,
20,"ooh , and i dropped it and it still works fine : this little camera has so many features i have n't even gotten to all of them yet . ",camera!+,fine!works|camera!little
21,"i did quite a bit of research before buying this camera , and this one had everything i was looking for . ",,
22,the auto-mode is good enough for most shots but the 4300 also boasts 12 versatile scene modes as well as a manual mode though i admit i have n't played with it too much on manual . ,auto mode!+,auto-mode!good|scene!versatile|mode!versatile
