,id,review,target,label,predict,term,polarity
0,1004293:1,"we, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.",staff,SERVICE,SERVICE|AMBIENCE|SERVICE,four|place|like,negative
1,1004293:3,the food was lousy - too sweet or too salty and the portions tiny.,"food,portions","FOOD,FOOD",FOOD,food,"negative,negative"
2,1014458:0,"i have eaten at saul, many times, the food is always consistently, outrageously good.",food,FOOD,AMBIENCE|FOOD|FOOD|FOOD|FOOD,good|always|outrageously|food|time,positive
3,1014458:2,the duck confit is always amazing and the foie gras terrine with figs was out of this world.,"foie gras terrine with figs,duck confit","FOOD,FOOD",FOOD,always,"positive,positive"
4,1014458:3,the wine list is interesting and has many good values.,"wine list,wine list","FOOD,PRICES",FOOD|SERVICE|AMBIENCE|FOOD,good|list|rest|wine,"positive,positive"
5,1016296:1,ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,cart attendant,SERVICE,AMBIENCE|FOOD|FOOD,away|rice|rice,negative
6,1016296:4,chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family.,"Chow fun,pork shu mai,NULL","FOOD,FOOD",FOOD|FOOD,share|family,"negative,negative,negative"
7,1028246:1,"service was devine, oysters where a sensual as they come, and the price can't be beat!!!","Service,oysters,NULL","SERVICE,FOOD,PRICES",SERVICE|PRICES|PRICES|FOOD,service|price|rice|come,"positive,positive,positive"
8,1032695:1,"everything is always cooked to perfection, the service is excellent, the decor cool and understated.","NULL,service,decor","FOOD,SERVICE,AMBIENCE",SERVICE|AMBIENCE|FOOD,service|always|everything,"positive,positive,positive"
9,1032695:2,i had the duck breast special on my last visit and it was incredible.,duck breast special,FOOD,AMBIENCE|FOOD,edible|special,positive
10,1041457:2,"the food is very average...the thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.","food,Thai fusion stuff,NULL","FOOD,FOOD,FOOD",FOOD|PRICES,food|average,"negative,negative,negative"
11,1041457:3,the only thing i moderately enjoyed was their grilled chicken special with edamame puree.,Grilled Chicken special with Edamame Puree,FOOD,FOOD|FOOD,enjoyed|special,positive
12,1041457:4,i had never had edamame pureed before but i thought it was innovative and tasty (could've used a bit more salt).,"Edamame pureed,Edamame pureed","FOOD,FOOD",FOOD|FOOD|FOOD,though|could|tasty,"positive,positive"
13,1041457:6,"the decor is night tho...but they really need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.","place,decor,vent","AMBIENCE,AMBIENCE,AMBIENCE",AMBIENCE|AMBIENCE,night|place,"negative,positive,negative"
14,1053543:2,"their sake list was extensive, but we were looking for purple haze, which wasn't listed but made for us upon request!","sake list,NULL","FOOD,SERVICE",AMBIENCE|FOOD|FOOD|SERVICE|SERVICE|SERVICE|PRICES|AMBIENCE,made|sake|purple|upon|list|list|request|listed,"positive,positive"
15,1053543:3,"the spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!","spicy tuna roll,rock shrimp tempura","FOOD,FOOD",FOOD|FOOD|FOOD|FOOD|FOOD|FOOD|FOOD|FOOD,great|good|tempura|share|spicy|rock|appetizer|roll,"positive,positive"
16,1053543:4,we went around 9:30 on a friday and it had died down a bit by then so the service was great!,service,SERVICE,PRICES|SERVICE,great|service,positive
17,1055910:2,food-awesome.,Food,FOOD,FOOD,food,positive
18,1055910:3,service- friendly and attentive.,Service,SERVICE,SERVICE|SERVICE,service|friendly,positive
19,1055910:4,ambiance- relaxed and stylish.,Ambiance,AMBIENCE,FOOD,ambiance,positive
20,1058221:3,"however, it's the service that leaves a bad taste in my mouth.",service,SERVICE,SERVICE|FOOD,service|taste,negative
21,1058221:4,"i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.",waiter,SERVICE,FOOD,like,negative
22,1062641:2,food is great.,Food,FOOD,FOOD|FOOD,great|food,positive
23,1062641:3,service is top notch.,Service,SERVICE,SERVICE,service,positive
24,1064477:0,"i tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.",sea urchin,FOOD,FOOD|FOOD|FOOD|FOOD,restaurant|rest|sushi|sushi,positive
25,1064477:2,the sushi seemed pretty fresh and was adequately proportioned.,"sushi,sushi","FOOD,FOOD",FOOD|FOOD|AMBIENCE|FOOD|AMBIENCE,fresh|adequately|seemed|sushi|pretty,"positive,positive"
26,1064477:3,the rice to fish ration was also good--they didn't try to overpack the rice.,rice to fish ration,FOOD,FOOD|FOOD|FOOD|FOOD,good|fish|rice|rice,positive
27,1064477:4,we took advanatage of the half price sushi deal on saturday so it was well worth it.,"half price sushi deal,half price sushi deal","FOOD,PRICES",PRICES|PRICES|FOOD|PRICES,price|well|sushi|rice,"positive,positive"
28,1074868:4,the food was well prepared and the service impecable.,"food,service","FOOD,SERVICE",SERVICE|FOOD|FOOD,service|well|food,"positive,positive"
29,1084394:3,the prix fixe menu is worth every penny and you get more than enough (both in quantity and quality).,"Prix Fixe menu,Prix Fixe menu,Prix Fixe menu","FOOD,FOOD,PRICES",FOOD|FOOD|FOOD|PRICES|PRICES|PRICES,prix|fixe|menu|penny|quantity|quality,"positive,positive,positive"
30,1086415:2,"$6 and there is much tasty food, all of it fresh and continually refilled.","food,food,food","FOOD,FOOD,PRICES",FOOD|FOOD|FOOD|FOOD|FOOD|FOOD|FOOD,fresh|food|filled|much|continually|refilled|tasty,"positive,positive,positive"
31,1086415:3,"i am not a vegetarian but, almost all the dishes were great.",dishes,FOOD,FOOD|FOOD,great|dish,positive
32,1086478:0,"the food here is rather good, but only if you like to wait for it.","food,NULL","FOOD,SERVICE",FOOD|FOOD|FOOD,good|food|like,"positive,negative"
33,1086478:1,"i like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.","somosas,chai,chole,dhosas,dhal","FOOD,FOOD,FOOD,FOOD,FOOD",FOOD,like,"positive,positive,positive,negative,negative"
34,1086478:2,"the service varys from day to day- sometimes they're very nice, and sometimes not.",service,SERVICE,SERVICE|AMBIENCE|AMBIENCE|AMBIENCE|AMBIENCE,service|sometimes|sometimes|time|time,negative
35,1086478:3,"the kitchen however, is almost always slow.",kitchen,SERVICE,AMBIENCE,always,negative
36,1086478:4,"also, specify if you like your food spicy- its rather bland if you don't.",food,FOOD,FOOD|FOOD|FOOD|FOOD,bland|spicy|food|like,negative
