review,target,domain,aspect
i recently purchased the canon powershot g3 and am extremely satisfied with the purchase . ,1,Canon_G3.txt,canon powershot g3[+3]
"the camera is very easy to use , in fact on a recent trip this past week i was asked to take a picture of a vacationing elderly group . ",1,Canon_G3.txt,use[+2]
"after i took their picture with their camera , they offered to take a picture of us . ",0,Canon_G3.txt,
"i just told them , press halfway , wait for the box to turn green and press the rest of the way . ",0,Canon_G3.txt,
they fired away and the picture turned out quite nicely . ( as all of my pictures have thusfar ) . ,1,Canon_G3.txt,picture[+2]
a few of my work constituants owned the g2 and highly recommended the canon for picture quality . ,1,Canon_G3.txt,picture quality[+1]
i 'm easily enlarging pictures to 8 1/2 x 11 with no visable loss in picture quality and not even using the best possible setting as yet ( super fine ) . ,1,Canon_G3.txt,picture quality[+1]
"ensure you get a larger flash , 128 or 256 , some are selling with the larger flash , 32mb will do in a pinch but you 'll quickly want a larger flash card as with any of the 4mp cameras . ",0,Canon_G3.txt,
"bottom line , well made camera , easy to use , very flexible and powerful features to include the ability to use external flash and lense / filters choices . ",1,Canon_G3.txt,"camera[+2], use[+2], feature[+1]"
i 'd highly recommend this camera for anyone who is looking for excellent quality pictures and a combination of ease of use and the flexibility to get advanced with many options to adjust if you like . ,1,Canon_G3.txt,"picture quality[+3], use[+1], option[+1]"
great job canon ! ,0,Canon_G3.txt,
yep . ,0,Canon_G3.txt,
"this is my first digital camera , and what a ' toy ' it is ! ",1,Canon_G3.txt,camera[+2]
"i am a software engineer and am very keen into technical details of everything i buy , i spend around 3 months before buying the digital camera ; and i must say , g3 worth every single cent i spent on it . ",0,Canon_G3.txt,
"just a little overview , powershot g3 is the flagship of canon 's powershot series and its an slr-like camera , its 4 megapixel and ( alsmost ) full manual control gives the pictures a touch of brilliance . ",1,Canon_G3.txt,picture[+2]
"whether you are a novice or an expert , its ease of use and functionality goes together . ",1,Canon_G3.txt,use[+1]
"+ you can have different kind of lens if you want + flashes , etc. ",0,Canon_G3.txt,
"as its 4mp , you might need bigger storage to store high quality images and recording movies ( you can record 3 minutes of video ) . ",0,Canon_G3.txt,
i am using kingston 512mb cf which works great and is very fast . ,0,Canon_G3.txt,
"a good choice could be cf type ii , microdrives that can store around 1 gb of images . ",0,Canon_G3.txt,
some things that i did n't like ( but hey . nothing is perfect ). ,0,Canon_G3.txt,
* main dial is not backlit . ,1,Canon_G3.txt,dial[-1]
* lens visible in optical viewfinder . ,1,Canon_G3.txt,viewfinder[-2]
( well thats only for old-school die-hard optical viewfinder fans ) use lcd instead which is brilliant and you can twist around too . ,0,Canon_G3.txt,
overall i 'm happy with my toy . ,1,Canon_G3.txt,camera[+2][p]
i did extensive research comparing different 4 and 5 megapixel cameras . ,0,Canon_G3.txt,
"a couple of online camera review sites were extremely helpful , as they provided complete exhaustive reviews of nearly every camera made , plus provided a great number of high resolution sample images to compare amongst the models . ",0,Canon_G3.txt,
"following my research , i decided on the g3 . ",0,Canon_G3.txt,
"in a word , "" awesome "" is how i would describe this camera . ",1,Canon_G3.txt,camera[+3]
"i won't go into the details here , as the online sites ( stevesdigicams , dpreviews ) go into great depth in their reviews , but i am very pleased with the features , the speed , the picture quality , the flexibility , the automation , and the functional conveniences this camera offers . ",1,Canon_G3.txt,"speed[+2],picture quality[+2],function[+2]"
"with the automatic settings , i really have n't taken a bad picture yet . ",1,Canon_G3.txt,auto setting[+2]
"and with the panoramic "" stitch "" mode , it guides you through stitching together multiple pictures to build a seamless panoramic image . ",0,Canon_G3.txt,
"i am absolutely in awe of this camera , canon put enormous quality into the g3 . ",1,Canon_G3.txt,camera[+3]
"do n't walk , run and buy this camera if you have the budget , i guarantee you will not be disappointed . ",0,Canon_G3.txt,
i bought my canon g3 about a month ago and i have to say i am very satisfied . ,1,Canon_G3.txt,canon g3[+3]
i have taken hundreds of photos with it and i continue to be amazed by their quality . ,1,Canon_G3.txt,photo quality[+2]
"the g3 is loaded with many useful features , and unlike many smaller digital cameras , it is easy to hold steady when using slower shutter speeds . ",1,Canon_G3.txt,feature[+2]
flaws ? ,0,Canon_G3.txt,
"the lens is visible in the viewfinder when the lens is set to the wide angle , but since i use the lcd most of the time , this is not really much of a bother to me . ",1,Canon_G3.txt,viewfinder[-1]
still i am a little suprised that canon did not correct this design flaw before releasing the camera . ,0,Canon_G3.txt,
"despite this minor disappointment , i highly recommend the canon g3 anyone who is serious about digital photography . ",1,Canon_G3.txt,camera[+2]
i have only had this camera for one full day and i have to say that it is wonderful . ,1,Canon_G3.txt,camera[+2]
the photo quality is amazing and i know i 'm going to have fun with all the features . ,1,Canon_G3.txt,photo quality[+3]
"i 've figured out most of its features on my own already ( because i have used digital cameras before , so i know things like symbols ) . ",0,Canon_G3.txt,
"i 'm one of those people that can only concentrate on one screen at a time so i 've been having trouble paying attention to the little display panel on top , but that does n't stop me from loving this camera . ",0,Canon_G3.txt,
"the reason i rated it a four is because of that darn diopter adjustment dial. its very small and hard to turn so you can 't get an accurate adjustment ( for those of you who do n't know what a diopter adjustment is , it is to adjust the focus of the viewfinder to your eyesight . ) ",1,Canon_G3.txt,darn diopter adjustment dial[-1]
i am going to have so much fun with this camera and when i learn more i will post a more accurate review . ,0,Canon_G3.txt,
positives ,0,Canon_G3.txt,
"1 ) slr like programming and exposure control gives you latitude to be creative , yet its progam and auto exposure settings provide excellent photos if you do n't want to bother with the settings . ",1,Canon_G3.txt,"exposure control[+2],auto setting[+2]"
excellent range of metering options as well . ,1,Canon_G3.txt,metering option[+2]
it 's great to switch to spot metering and actually see it working on the lcd screen . ,1,Canon_G3.txt,spot metering[+1]
2 ) 4mp is about right for the target market of this camera ( semi-serious amateur photographer ) ,1,Canon_G3.txt,4mp[+1]
