,id,review,opinion,label,predict,predict2
0,1032695:2,i had the duck breast special on my last visit and it was incredible.,special,positive,positive,negative
1,1041457:2,"the food is very average...the thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",averagethe,negative,positive,negative
2,1041457:3,the only thing i moderately enjoyed was their grilled chicken special with edamame puree.,special,positive,positive,negative
3,1041457:4,i had never had edamame pureed before but i thought it was innovative and tasty (could've used a bit more salt).,innovative|innovative,positive,negative,positive
4,1064477:0,"i tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.",heavenly,positive,negative,positive
5,1074868:4,the food was well prepared and the service impecable.,prepared|prepared,positive,positive,negative
6,1086415:2,"$6 and there is much tasty food, all of it fresh and continually refilled.",tasty,positive,positive,negative
7,1086478:1,"i like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",dissapointing,positive,positive,negative
8,1086478:4,"also, specify if you like your food spicy- its rather bland if you don't.",bland|bland,negative,positive,negative
9,1125006:3,my wife had the fried shrimp which are huge and loved it.,fried|fried,positive,positive,negative
10,1131595:3,the food was bland oily.,bland,negative,positive,negative
11,1145510:1,the pizza is yummy and i like the atmoshpere.,yummy|yummy,positive,positive,negative
12,1147082:1,sauce was watery and the food didn't have much flavor.,much,negative,positive,negative
13,1167434:3,"but when we looked at the menu, there weren't a lot of choices, most of them were dumplings in the appetizer section.",most,negative,positive,negative
14,1205520:2,make sure you have the spicy scallop roll.. .,sure,positive,positive,negative
15,1221938:0,the drinks are always welll made and wine selection is fairly priced.,welll|welll|welll,positive,positive,negative
16,1256373:1,fine dining restaurant quality.,fine,positive,negative,positive
17,1269216:3,when i lived upstate for a while i would buy freeze the bagels and they would still be better than any else.,upstate|better|upstate|better,positive,negative,positive
18,1275154:4,"he served me an uni hand roll, which i never had before, and let me tell you...it was heaven!",uni,positive,positive,negative
19,1275154:8,try the lobster teriyaki and the rose special roll.,special,positive,positive,negative
20,1297844:2,the bagel was huge.,huge,positive,positive,negative
21,1297844:4,the workers there also absolutely load the bagel with cream cheese (gets a little messy).,little|little|little,negative,positive,negative
22,1300636:3,"other guests enjoyed pizza, santa fe chopped salad and fish and chips.",other|other,positive,positive,negative
23,1303984:1,my chow fun and chow see was really bland and oily.,bland,negative,positive,negative
24,1308557:1,"it's boring on the inside, and our sushi was pretty below average... the tuna was soggy and the other rolls had no flavor.",boring|boring|soggy|other|other,negative,positive,negative
25,1328078:4,we had pam's special fried fish and it was amazing.,special,positive,positive,negative
26,1352948:0,the place is a bistro which means: simple dishes and wine served efficiently in a bustling atmosphere.,simple|simple,positive,positive,negative
27,1357554:0,i started out with a bombay beer which was big enough for two.,big|big,positive,positive,negative
28,1367358:1,the food is authentic italian - delicious!,authentic|delicious,positive,negative,positive
29,1387314:2,the filet mignon dish was superb!,superb,positive,negative,positive
30,1394712:1,we ordered some beef and noodle soup dishes from the thai section of the menu but nothing we got was thai.,thai|thai,negative,positive,negative
31,1398844:3,slightly above average wines start at $70+ with only one selection listed at $30+.,average,negative,positive,negative
32,1398844:7,"to be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of teodora.",above|above,positive,positive,negative
33,1410878:1,i've never had bad service and the fish is fresh and delicious.,bad|delicious,positive,negative,positive
34,1490757:2,the prices were cheap compared to the quality of service and food.,cheap,positive,positive,negative
35,1538149:0,"i found the food, service and value exceptional everytime i have been there.",exceptional,positive,negative,positive
36,404464:3,i expected quite a bit more from such an expensive menu.,expensive,negative,positive,negative
37,426930:0,authentic taiwanese food that's cheap... what more could you ask for?,taiwanese,positive,positive,negative
38,565344:1,this little place definitely exceeded my expectations and you sure get a lot of food for your money.,little,positive,positive,negative
39,626269:3,bottles of wine are cheap and good.,cheap,positive,positive,negative
40,751493:0,i am relatively new to the area and tried pick a bgel on 2nd and was disappointed with the service and i thought the food was overated and on the pricey side.,pricey|pricey,negative,positive,negative
41,P#10:3,and $11 for a plate of bland guacamole?,bland|bland,negative,positive,negative
42,BzG#2:1,"the food is flavorful, plentiful and reasonably priced.",flavorful,positive,positive,negative
43,BG#5:7,"but if you're prepared to spend some $ and remember to ask if something they offer is complimentary, then this is the place to go for indian food",indian,positive,positive,negative
44,Z#6:5,"my party had the bbe $29 fixe prix menu, which was such a wonderful deal since it also came with a flight of sake!",such,positive,positive,negative
