,reviewID,sentenceID,review,target,category,polarity
0,1004293,1004293:1,"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.",staff,SERVICE,negative
1,1004293,1004293:2,"They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.",,SERVICE,negative
2,1004293,1004293:3,The food was lousy - too sweet or too salty and the portions tiny.,"food,portions","FOOD,FOOD","negative,negative"
3,1004293,1004293:4,"After all that, they complained to me about the small tip.",,SERVICE,negative
4,1014458,1014458:0,"I have eaten at Saul, many times, the food is always consistently, outrageously good.",food,FOOD,positive
5,1014458,1014458:2,The duck confit is always amazing and the foie gras terrine with figs was out of this world.,"foie gras terrine with figs,duck confit","FOOD,FOOD","positive,positive"
6,1014458,1014458:3,The wine list is interesting and has many good values.,"wine list,wine list","FOOD,PRICES","positive,positive"
7,1014458,1014458:4,"For the price, you cannot eat this well in Manhattan.","NULL,NULL","PRICES,FOOD","positive,positive"
8,1016296,1016296:1,Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,cart attendant,SERVICE,negative
9,1016296,1016296:2,I had to ask her three times before she finally came back with the dish Ive requested.,,SERVICE,negative
10,1016296,1016296:3,"Food was okay, nothing great.",Food,FOOD,neutral
11,1016296,1016296:4,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. ,"Chow fun,pork shu mai,NULL","FOOD,FOOD","negative,negative,negative"
12,1028246,1028246:1,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!","Service,oysters,NULL","SERVICE,FOOD,PRICES","positive,positive,positive"
13,1032695,1032695:1,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.","NULL,service,decor","FOOD,SERVICE,AMBIENCE","positive,positive,positive"
14,1032695,1032695:2,I had the duck breast special on my last visit and it was incredible.,duck breast special,FOOD,positive
15,1041457,1041457:2,"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.","food,Thai fusion stuff,NULL","FOOD,FOOD,FOOD","negative,negative,negative"
16,1041457,1041457:3,The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.,Grilled Chicken special with Edamame Puree,FOOD,positive
17,1041457,1041457:4,I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).,"Edamame pureed,Edamame pureed","FOOD,FOOD","positive,positive"
18,1041457,1041457:6,"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.","place,decor,vent","AMBIENCE,AMBIENCE,AMBIENCE","negative,positive,negative"
19,1053543,1053543:2,"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!","sake list,NULL","FOOD,SERVICE","positive,positive"
20,1053543,1053543:3,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!","spicy tuna roll,rock shrimp tempura","FOOD,FOOD","positive,positive"
21,1053543,1053543:4,We went around 9:30 on a Friday and it had died down a bit by then so the service was great!,service,SERVICE,positive
22,1055910,1055910:2,Food-awesome.,Food,FOOD,positive
23,1055910,1055910:3,Service- friendly and attentive.,Service,SERVICE,positive
24,1055910,1055910:4,Ambiance- relaxed and stylish.,Ambiance,AMBIENCE,positive
25,1058221,1058221:2,the food is decent.,food,FOOD,neutral
26,1058221,1058221:3,"however, it's the service that leaves a bad taste in my mouth.",service,SERVICE,negative
27,1058221,1058221:4,"i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.",waiter,SERVICE,negative
28,1058221,1058221:5,"i know, you were too busy showing off your vintage tee shirt and looking bored, but my agenda is i'm here to eat and enjoy the company of friends, seeking a pleasant experience.",,SERVICE,negative
29,1062641,1062641:2,Food is great.,Food,FOOD,positive
30,1062641,1062641:3,Service is top notch.,Service,SERVICE,positive
31,1064477,1064477:0,"I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.",sea urchin,FOOD,positive
32,1064477,1064477:1,"It melted in my little mouth and the perfect consistency-not too fishy, creamy, and slightly buttery.",,FOOD,positive
