,id,review,opinion,label,predict,score
0,1032695:1,"everything is always cooked to perfection, the service is excellent, the decor cool and understated.",excellent|excellent,positive,positive,2.0
1,1041457:6,"the decor is night tho...but they really need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.",sleek|sleek|un,negative,positive,0.5
2,1086478:5,"the ambience is pretty and nice for conversation, so a casual lunch here would probably be best.",nice|casual,positive,negative,-0.625
3,1090587:1,if you've ever been along the river in weehawken you have an idea of the top of view the chart house has to offer.,||||||,positive,negative,0.0
4,1102681:0,"once you step into cosette, you're miraculously in a small, off-the-beaten path parisian bistro.",parisian|parisian,positive,negative,0.0
5,1102681:1,"this tiny restaurant is as cozy as it gets, with that certain parisian flair.",tiny,positive,negative,0.0
6,1126814:0,"leon is an east village gem: casual but hip, with well prepared basic french bistro fare, good specials, a warm and lively atmosphere.",lively,positive,positive,0.5
7,1126886:2,"the service is excellent, the decor is great, and the food is delicious and comes in large portions.",great,positive,negative,0.0
8,1153034:2,located at the end of a magnificent block.,magnificent|magnificent,positive,positive,1.0
9,1154550:1,the place is small and cramped but the food is fantastic.,small,negative,negative,0.0
10,1189674:0,first went here to enjoy their garden terrace.,,positive,negative,0.0
11,1199480:0,"not sure where the previous reviewer, lonk, dined, but saul is in a great neighborhood and has great food!",great|great|great|great,positive,positive,1.0
12,1221938:3,downstairs lounge is always a good attraction,good,positive,positive,0.75
13,1225162:0,"raga's is a romantic, cozy restaurant.",cozy,positive,negative,-0.25
14,1230993:1,i loved everythig about it-especially the shows and actors.,,positive,negative,0.0
15,1232468:1,the outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.,outdoor,positive,negative,0.0
16,1280179:5,"the decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date.",great|vibrant,positive,positive,0.875
17,1286916:1,"the first time i went, and was completely taken by the live jazz band and atmosphere, i ordered the lobster cobb salad.",live,positive,negative,0.0
18,1289424:4,the place's decor and hidden bathrooms made for a good laugh.,hidden|hidden,positive,positive,0.5
19,1308557:1,"it's boring on the inside, and our sushi was pretty below average... the tuna was soggy and the other rolls had no flavor.",soggy,negative,positive,0.25
20,1335154:4,"i didn't complain, i liked the atmosphere so much.",|,positive,negative,0.0
21,1335656:2,"ambience is so cute and quaint, good for business although we were there on vacation.",good|good,positive,positive,1.5
22,1340075:2,the atmosphere is noisy and the waiters are literally walking around doing things as fast as they can.,noisy,negative,negative,-0.375
23,1347423:1,"the staff was accomodating, the food was absolutely delicious and the place is lovely.",lovely,positive,positive,0.625
24,1352948:0,the place is a bistro which means: simple dishes and wine served efficiently in a bustling atmosphere.,simple|bustling,positive,negative,-0.125
25,1353599:0,right off the l in brooklyn this is a nice cozy place with good pizza.,cozy|nice,positive,positive,0.625
26,1357554:4,it's a nice place to relax and have conversation.,nice|nice,positive,positive,1.5
27,1380450:2,service was also horrible and the ambience is not that great.,great,negative,positive,0.25
28,1387314:4,it's a small cute restaurant.,cute,positive,positive,0.625
29,1390357:2,"i like the ambience, it's very dark and original.",dark,positive,negative,0.0
30,1394712:4,"however, i think this place is a good hang out spot.",good|good,positive,positive,1.5
31,1395421:1,the pizza and wine were excellent-the service too--but what really made this place was the backyard dining area.,excellent,positive,positive,1.0
32,1398844:0,"first of all, this place is *not* romantic, as claimed by citysearch's editorial review.",romantic,negative,negative,0.0
33,1404042:3,"cute place, nice wait staff but would never go there again.",nice|nice,positive,negative,-0.75
34,1413697:2,the place is so cool and the service is prompt and curtious.,cool,positive,positive,0.375
35,1417496:0,a restaurant that doesn't try to do anything except serve great food with great service in a pleasant atmosphere.,pleasant,positive,positive,0.75
36,1417496:2,the dining room is quietly elegant with no music to shout over -- how refreshing!,elegant,positive,positive,0.5
37,1439875:1,"the place is small and intimate and you may feel a little crowded, but the service is excellent and it's great for friends out, a romantic date, or a special occassion.",small|great,negative,negative,0.0
38,1451107:0,this place is so much fun.,much,positive,negative,0.0
39,1457607:0,the place is a lot of fun.,,positive,negative,0.0
40,1457607:2,the characters really make for an enjoyable experience.,enjoyable|enjoyable,positive,positive,1.0
41,1471273:4,zero ambiance to boot.,|,negative,negative,0.0
42,1476493:2,"the ambience was nice, but service wasn't so great.",great|nice,positive,positive,1.0
43,1486041:0,"the atmosphere is nothing special, but it feels like a sushi establishment in tokyo.",special|special|special,positive,positive,0.375
44,1486041:1,the owner and staff are all japanese as well and that adds to the entire ambiance.,japanese,positive,negative,0.0
45,1506491:2,check out the secret back room.,|,positive,negative,0.0
46,1572033:1,decor is nice though service can be spotty.,nice|nice|nice,positive,positive,2.25
47,1611489:3,"eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.",disappointing,positive,negative,-0.25
48,1615322:4,the seats are uncomfortable if you are sitting against the wall on wooden benches.,uncomfortable|wooden|wooden,negative,negative,-1.125
49,1655521:1,i almost hesititate to write a review because the atmosphere was so great and i would hate for it too become to crowded.,great|great,positive,positive,0.5
50,1655521:2,"the food was very good, a great deal, and the place its self was great.",great,positive,positive,0.875
51,1661043:4,decor is charming.,charming,positive,negative,0.0
52,1706644:4,"we ate out in the back patio, which is worth it as it's cool and the music is hear well there.",cool|worth,positive,positive,0.375
53,1707201:2,the place was nice and calm.,nice|nice,positive,positive,1.5
54,1718513:3,"the back garden sitting area is very pleasant, where you can see their personal herb garden.",back|personal|pleasant|back|personal,positive,positive,0.5
55,1730127:2,"always a nice crowd, but never loud.",nice|loud,positive,positive,1.125
