,label,prediction
0,1,2
1,1,1
2,1,2
3,1,2
4,1,1
5,1,1
6,1,1
7,1,2
8,1,1
9,2,1
10,2,1
11,1,1
12,1,1
13,1,1
14,1,2
15,1,1
16,2,2
17,1,1
18,2,2
19,1,1
20,1,2
21,1,2
22,1,1
23,1,1
24,1,1
25,1,1
26,1,1
27,1,1
28,2,2
29,2,1
30,2,1
31,1,1
32,1,1
33,1,1
34,1,1
35,1,1
36,1,1
37,1,2
38,1,1
39,1,1
40,1,1
41,1,1
42,1,1
43,2,1
44,1,1
45,1,1
46,2,2
47,1,1
48,1,1
49,1,1
50,1,1
51,2,1
52,2,1
53,2,1
54,2,1
55,2,1
56,2,1
57,2,2
58,2,2
59,1,1
60,1,2
61,2,2
62,2,1
63,2,1
64,2,1
65,1,1
66,2,1
67,1,1
68,1,1
69,1,1
70,2,1
71,1,2
72,2,2
73,1,1
74,1,2
75,1,1
76,1,2
77,1,1
78,1,1
79,1,1
80,1,1
81,1,1
82,1,1
83,1,1
84,1,1
85,1,1
86,1,1
87,1,2
88,1,1
89,1,1
90,1,1
91,1,1
92,1,1
93,1,1
94,1,1
95,2,1
96,2,1
97,1,1
98,1,1
99,1,1
100,1,1
101,1,1
102,1,1
103,1,1
104,1,1
105,1,2
106,2,1
107,2,1
108,2,2
109,2,1
110,2,1
111,1,1
112,1,1
113,2,1
114,1,1
115,1,1
116,1,1
117,2,1
118,1,1
119,1,2
120,2,1
121,2,1
122,1,1
123,1,1
124,1,1
125,1,1
126,1,1
127,1,1
128,1,1
129,1,2
130,1,1
131,2,1
132,2,1
133,1,1
134,1,1
135,2,1
136,1,1
137,1,1
138,2,1
139,2,1
140,1,1
141,1,1
142,2,2
143,2,1
144,2,2
145,1,1
146,1,1
147,1,1
148,2,1
149,1,1
150,1,1
151,2,2
152,1,1
153,1,1
154,1,1
155,1,2
156,1,1
157,1,1
158,1,1
159,1,1
160,1,1
161,1,1
162,1,1
163,1,2
164,1,1
165,1,1
166,2,2
167,2,1
168,2,1
169,2,1
170,2,2
171,1,1
172,1,1
173,1,1
174,2,1
175,2,1
176,2,1
177,1,1
178,1,1
179,2,1
180,1,2
181,2,2
182,2,2
183,2,1
184,1,1
185,1,1
186,1,1
187,1,1
188,2,1
189,2,1
190,2,1
191,2,1
192,2,1
193,2,1
194,2,1
195,2,1
196,1,1
197,2,2
198,2,1
199,2,2
200,1,1
201,2,1
202,2,1
203,1,1
204,1,1
205,1,1
206,1,1
207,1,1
208,1,1
209,2,1
210,1,1
211,1,1
212,1,1
213,2,1
214,2,1
215,2,1
216,1,1
217,1,1
218,1,1
219,1,2
220,2,1
221,2,1
222,1,1
223,1,1
224,1,2
225,1,1
226,1,1
227,2,2
228,2,1
229,1,2
230,1,1
231,1,1
232,2,1
233,2,1
234,2,1
235,2,1
236,2,1
237,1,1
238,1,1
239,1,1
240,1,1
241,1,1
242,1,2
243,2,1
244,2,2
245,2,1
246,2,2
247,2,1
248,2,2
249,2,1
250,2,1
251,2,1
252,2,1
253,1,1
254,2,1
255,2,1
256,1,1
257,1,1
258,1,1
259,1,1
260,1,1
261,1,1
262,1,1
263,1,1
264,1,2
265,1,2
266,1,1
267,1,1
268,1,1
269,1,2
270,1,1
271,1,1
272,1,2
273,1,1
274,2,1
275,1,1
276,1,1
277,1,1
278,1,2
279,2,2
280,2,1
281,1,1
282,1,2
283,1,1
284,1,1
285,1,1
286,1,1
287,1,2
288,1,1
289,1,2
290,2,2
291,1,2
292,1,2
293,1,2
294,1,1
295,1,1
296,2,1
297,1,1
298,1,1
299,1,1
300,1,1
301,1,1
302,1,1
303,2,1
304,2,1
305,2,1
306,1,1
307,1,1
308,1,1
309,1,1
310,1,1
311,1,1
312,1,1
313,2,1
314,2,1
315,2,2
316,2,2
317,2,1
318,2,1
319,2,2
320,1,1
321,2,1
322,2,1
323,2,1
324,2,1
325,2,1
326,2,1
327,2,1
328,2,1
329,2,1
330,2,2
331,2,1
332,2,1
333,2,2
334,2,1
335,2,1
336,1,1
337,1,1
338,1,1
339,1,2
340,1,1
341,2,1
342,2,1
343,2,1
344,2,1
345,1,1
346,1,1
347,1,1
348,1,1
349,2,1
350,1,2
351,1,2
352,1,1
353,1,2
354,1,1
355,1,1
356,1,2
357,1,2
358,1,1
359,1,2
360,1,1
361,1,1
362,1,1
363,1,1
364,1,1
365,1,1
366,2,1
367,2,1
368,2,1
369,2,2
370,1,1
371,1,1
372,2,1
373,1,2
374,1,2
375,2,1
376,1,1
377,2,1
378,1,1
379,1,1
380,1,1
381,1,2
382,1,1
383,1,1
384,1,1
385,2,1
386,2,1
387,2,1
388,1,1
389,1,1
390,1,1
391,2,1
392,2,2
393,2,1
394,2,1
395,2,1
396,1,1
397,1,1
398,1,1
399,2,1
400,2,1
401,2,1
402,2,1
403,2,1
404,2,1
405,1,1
406,1,2
407,1,1
408,1,2
409,1,1
410,1,1
411,1,1
412,2,1
413,1,1
414,1,1
415,1,1
416,1,1
417,1,1
418,1,1
419,2,1
420,1,2
421,2,1
422,1,1
423,1,1
424,1,2
425,1,1
426,2,2
427,1,1
428,1,1
429,1,2
430,2,1
431,2,1
432,1,1
433,2,1
434,1,2
435,2,1
436,1,1
437,1,1
438,2,1
439,2,1
440,2,1
441,2,1
442,1,1
443,1,1
444,1,1
445,2,2
446,2,1
447,2,1
448,2,2
449,2,2
450,2,1
451,2,1
452,2,2
453,2,1
454,2,2
455,1,1
456,1,1
457,1,1
458,2,2
459,1,1
460,1,1
461,2,1
462,1,1
463,1,1
464,1,1
465,1,1
466,1,1
467,2,2
468,1,1
469,1,1
470,1,1
471,1,1
472,1,1
473,1,2
474,1,1
475,1,1
476,1,2
477,1,2
478,1,1
479,1,1
480,1,1
481,2,1
482,2,1
483,2,2
484,1,1
485,1,2
486,2,1
487,2,1
488,2,1
489,2,1
490,2,1
491,2,1
492,2,2
493,2,1
494,2,1
495,2,1
496,2,1
497,1,2
498,1,2
499,1,1
500,1,1
501,1,1
502,1,1
503,1,1
504,2,1
505,1,1
506,2,1
507,2,1
508,1,1
509,1,1
510,1,1
511,1,1
512,2,1
513,2,1
514,2,1
515,2,1
516,2,2
517,2,1
518,1,1
519,1,1
520,1,2
521,1,1
522,1,1
523,2,2
524,2,1
525,1,1
526,2,1
527,2,2
528,2,2
529,2,1
530,2,2
531,2,2
532,2,1
533,2,1
534,1,2
535,2,2
536,2,2
537,2,2
538,1,1
539,1,2
540,1,1
541,1,2
542,1,2
543,1,1
544,1,2
545,1,1
546,1,1
547,1,1
548,1,1
549,1,2
550,1,2
551,1,2
552,1,1
553,1,1
554,1,1
555,1,1
556,1,1
557,2,2
558,2,2
559,2,1
560,2,1
561,2,1
562,2,1
563,1,1
564,1,1
565,2,1
566,1,1
567,1,1
568,2,1
569,2,1
570,1,1
571,1,1
572,2,2
573,2,1
574,2,1
575,2,1
576,2,1
577,2,1
578,2,2
579,2,1
580,2,1
581,2,1
582,1,2
583,2,1
584,2,2
585,2,1
586,1,1
587,1,1
588,1,1
589,1,1
590,1,1
591,1,1
592,1,1
593,1,2
594,2,1
595,2,1
596,2,1
597,2,1
598,2,1
599,1,1
600,2,1
601,2,1
602,2,1
603,2,2
604,2,2
605,1,1
606,1,1
607,2,2
608,2,1
609,2,1
610,2,1
611,2,1
612,1,2
613,2,2
614,2,2
615,2,1
616,2,1
617,2,1
618,2,2
619,2,2
620,2,2
621,1,2
622,1,1
623,2,1
624,1,1
625,2,2
626,2,1
627,1,1
628,1,1
629,1,1
630,1,1
631,1,1
632,1,1
633,2,2
634,2,1
635,1,1
636,1,1
637,1,1
638,1,1
639,1,1
640,1,1
641,1,1
642,1,1
643,1,1
644,1,1
645,1,1
646,1,1
647,1,1
648,1,1
649,1,1
650,2,1
651,2,1
652,2,1
653,2,1
654,2,1
655,1,1
656,1,1
657,1,1
658,1,1
659,1,1
660,1,2
661,1,1
662,1,2
663,1,1
664,1,2
665,1,1
666,1,2
667,2,1
668,1,1
669,1,2
670,2,2
671,2,1
672,1,1
673,1,1
674,2,1
675,1,2
676,1,1
677,1,1
678,1,1
679,1,1
680,1,1
681,1,1
682,2,1
683,1,1
684,1,1
685,1,1
686,1,1
687,2,1
688,1,2
689,1,1
690,1,1
691,1,1
692,1,1
693,1,1
694,2,1
695,2,1
696,2,1
697,2,1
698,2,1
699,2,2
700,1,1
701,1,1
702,2,2
703,1,1
704,2,1
705,2,1
706,1,1
707,2,1
708,1,1
709,2,1
710,2,1
711,2,1
712,2,1
713,2,1
714,2,1
715,2,2
