,id,review,target,label,predict,terms
0,1004293:1,"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.",staff,SERVICE,SERVICE|AMBIENCE|SERVICE,noon|place|staff
1,1004293:3,The food was lousy - too sweet or too salty and the portions tiny.,"food,portions","FOOD,FOOD",FOOD|FOOD,food|portions
2,1014458:0,"I have eaten at Saul, many times, the food is always consistently, outrageously good.",food,FOOD,FOOD|FOOD|FOOD,saul|times|food
3,1014458:2,The duck confit is always amazing and the foie gras terrine with figs was out of this world.,"foie gras terrine with figs,duck confit","FOOD,FOOD",FOOD|FOOD|FOOD|FOOD|FOOD|FOOD,duck|confit|foie|terrine|figs|world
4,1014458:3,The wine list is interesting and has many good values.,"wine list,wine list","FOOD,PRICES",FOOD|FOOD|PRICES,wine|list|values
5,1014458:4,"For the price, you cannot eat this well in Manhattan.","NULL,NULL","PRICES,FOOD",PRICES|AMBIENCE,price|manhattan
6,1016296:1,Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,cart attendant,SERVICE,SERVICE|SERVICE|FOOD|FOOD|FOOD|FOOD,cart|attendant|lotus|leaf|rice|rice
7,1016296:3,"Food was okay, nothing great.",Food,FOOD,FOOD,food
8,1016296:4,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. ,"Chow fun,pork shu mai,NULL","FOOD,FOOD",FOOD|FOOD|SERVICE|FOOD,chow|pork|table|family
9,1028246:1,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!","Service,oysters,NULL","SERVICE,FOOD,PRICES",SERVICE|FOOD|FOOD|PRICES,service|devine|oysters|price
10,1032695:1,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.","NULL,service,decor","FOOD,SERVICE,AMBIENCE",FOOD|SERVICE|AMBIENCE|AMBIENCE,perfection|service|decor|cool
11,1032695:2,I had the duck breast special on my last visit and it was incredible.,duck breast special,FOOD,FOOD|FOOD|SERVICE,duck|breast|visit
12,1041457:2,"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.","food,Thai fusion stuff,NULL","FOOD,FOOD,FOOD",FOOD|FOOD|FOOD|FOOD,food|thai|fusion|stuff
13,1041457:3,The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.,Grilled Chicken special with Edamame Puree,FOOD,FOOD|FOOD|FOOD|FOOD,grilled|chicken|edamame|puree
14,1041457:4,I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).,"Edamame pureed,Edamame pureed","FOOD,FOOD",FOOD|FOOD|FOOD,edamame|pureed|salt
15,1041457:6,"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.","place,decor,vent","AMBIENCE,AMBIENCE,AMBIENCE",AMBIENCE|AMBIENCE|AMBIENCE|AMBIENCE|AMBIENCE|AMBIENCE,decor|night|ceiling|effort|place|look
16,1053543:2,"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!","sake list,NULL","FOOD,SERVICE",FOOD|SERVICE|FOOD|FOOD|PRICES,sake|list|purple|haze|request
17,1053543:3,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!","spicy tuna roll,rock shrimp tempura","FOOD,FOOD",FOOD|FOOD|FOOD|FOOD|FOOD|FOOD,tuna|roll|rock|shrimp|tempura|appetizer
18,1053543:4,We went around 9:30 on a Friday and it had died down a bit by then so the service was great!,service,SERVICE,AMBIENCE|SERVICE,friday|service
19,1055910:2,Food-awesome.,Food,FOOD,,
20,1055910:3,Service- friendly and attentive.,Service,SERVICE,SERVICE,service
21,1055910:4,Ambiance- relaxed and stylish.,Ambiance,AMBIENCE,FOOD,ambiance
22,1058221:2,the food is decent.,food,FOOD,FOOD,food
23,1058221:3,"however, it's the service that leaves a bad taste in my mouth.",service,SERVICE,SERVICE|FOOD|FOOD,service|taste|mouth
24,1058221:4,"i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.",waiter,SERVICE,PRICES|FOOD|SERVICE|FOOD|FOOD|PRICES,policy|self-respect|waiter|trivialities|water|check
25,1062641:2,Food is great.,Food,FOOD,FOOD,food
26,1062641:3,Service is top notch.,Service,SERVICE,SERVICE|AMBIENCE,service|notch
27,1064477:0,"I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.",sea urchin,FOOD,FOOD|AMBIENCE|FOOD|FOOD,sushi|restaurant|urchin|sushi
28,1064477:2,The sushi seemed pretty fresh and was adequately proportioned.,"sushi,sushi","FOOD,FOOD",FOOD,sushi
29,1064477:3,The rice to fish ration was also good--they didn't try to overpack the rice.,rice to fish ration,FOOD,FOOD|FOOD|FOOD|FOOD,rice|fish|ration|rice
30,1064477:4,We took advanatage of the half price sushi deal on saturday so it was well worth it.,"half price sushi deal,half price sushi deal","FOOD,PRICES",FOOD|FOOD|PRICES|FOOD|PRICES|FOOD,advanatage|half|price|sushi|deal|saturday
31,1074868:4,The food was well prepared and the service impecable.,"food,service","FOOD,SERVICE",FOOD|SERVICE|AMBIENCE,food|service|impecable
32,1084394:3,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,"Prix Fixe menu,Prix Fixe menu,Prix Fixe menu","FOOD,FOOD,PRICES",FOOD|FOOD|FOOD|PRICES|PRICES|PRICES,prix|fixe|menu|penny|quantity|quality
33,1086415:1,"It is terrific, as is the value.","NULL,NULL","FOOD,PRICES",PRICES,value
34,1086415:2,"$6 and there is much tasty food, all of it fresh and continually refilled.","food,food,food","FOOD,FOOD,PRICES",FOOD,food
35,1086415:3,"I am not a vegetarian but, almost all the dishes were great.",dishes,FOOD,FOOD,dishes
36,1086478:0,"The food here is rather good, but only if you like to wait for it.","food,NULL","FOOD,SERVICE",FOOD,food
37,1086478:1,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.","somosas,chai,chole,dhosas,dhal","FOOD,FOOD,FOOD,FOOD,FOOD",FOOD|FOOD|FOOD|FOOD|FOOD,somosas|chai|chole|dhosas|dhal
38,1086478:2,"The service varys from day to day- sometimes they're very nice, and sometimes not.",service,SERVICE,SERVICE|PRICES,service|varys
39,1086478:3,"The kitchen however, is almost always slow.",kitchen,SERVICE,FOOD,kitchen
40,1086478:4,"Also, specify if you like your food spicy- its rather bland if you don't.",food,FOOD,FOOD,food
41,1086478:5,"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.","ambience,NULL",AMBIENCE,AMBIENCE|FOOD|FOOD,ambience|conversation|lunch
42,1090587:1,If you've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer.,view,AMBIENCE,AMBIENCE|AMBIENCE|AMBIENCE|AMBIENCE|AMBIENCE|AMBIENCE,river|weehawken|idea|view|chart|house
43,1090587:2,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,"service,food,food","SERVICE,FOOD,PRICES",SERVICE|FOOD|PRICES|AMBIENCE|AMBIENCE,service|food|price|beginning|evening
44,1090587:3,The lava cake dessert was incredible and I recommend it.,lava cake dessert,FOOD,FOOD|FOOD|FOOD,lava|cake|dessert
45,1102681:0,"Once you step into Cosette, you're miraculously in a small, off-the-beaten path Parisian bistro.",Cosette,AMBIENCE,FOOD|AMBIENCE|AMBIENCE,cosette|path|bistro
46,1102681:1,"This tiny restaurant is as cozy as it gets, with that certain Parisian flair.",restaurant,AMBIENCE,AMBIENCE|AMBIENCE,restaurant|flair
47,1102681:2,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.","food,French Onion soup,French Onion soup,desserts","FOOD,FOOD,FOOD,FOOD",FOOD|FOOD|FOOD|FOOD,food|onion|soup|desserts
48,1102681:3,"However, go for the ambience, and consider the food just a companion for a trip across the world!","ambience,food","AMBIENCE,FOOD",FOOD|FOOD|FOOD|FOOD|AMBIENCE,ambience|food|companion|trip|world
49,1118167:2,The pizza was delivered cold and the cheese wasn't even fully melted!,"pizza,cheese","FOOD,FOOD",FOOD|FOOD,pizza|cheese
50,1119578:1,The pizza is overpriced and soggy.,"pizza,pizza","FOOD,PRICES",FOOD,pizza
51,1119578:2,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.","ingredients,pizza,crust","FOOD,FOOD,FOOD",FOOD|FOOD|FOOD|SERVICE|FOOD|AMBIENCE,ingredients|ingredients|pizza|someone|crust|right
52,1123262:0,I think I've had some the best meals of my life at minnow.,meals,FOOD,FOOD|FOOD|FOOD,meals|life|minnow
53,1123262:1,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.","seafood,wine list,menu","FOOD,FOOD,FOOD",FOOD|FOOD|FOOD|FOOD|AMBIENCE,seafood|wine|list|menu|surprises
54,1123262:2,The combination of super-fresh ingredients in the dishes are unusual but really delicious.,ingredients,FOOD,FOOD|FOOD|FOOD,combination|ingredients|dishes
55,1125006:1,Best Pastrami I ever had and great portion without being ridiculous.,"Pastrami,portion","FOOD,FOOD",FOOD|FOOD,pastrami|portion
56,1125006:3,My wife had the fried shrimp which are huge and loved it.,"fried shrimp,fried shrimp","FOOD,FOOD",FOOD|FOOD,wife|shrimp
57,1125284:2,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.","signs,specials menus,food,waitstaff","FOOD,FOOD,SERVICE",AMBIENCE|FOOD|FOOD|FOOD|SERVICE,signs|specials|menus|food|waitstaff
58,1126814:0,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.","Leon,Leon,specials,atmosphere,French bistro fare","AMBIENCE,FOOD,AMBIENCE,FOOD",FOOD|AMBIENCE|AMBIENCE|FOOD|FOOD|FOOD|AMBIENCE,leon|east|village|bistro|fare|specials|atmosphere
59,1126814:1,"My wife and I always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story.",staff,SERVICE,SERVICE|SERVICE|AMBIENCE,wife|staff|story
60,1126814:3,Decent wine at reasonable prices.,"wine,wine","FOOD,PRICES",FOOD|PRICES,wine|prices
61,1126886:2,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.","service,decor,food,portions","SERVICE,AMBIENCE,FOOD,FOOD",SERVICE|AMBIENCE|FOOD|FOOD,service|decor|food|portions
62,1131595:2,The hostess is rude to the point of being offensive.,hostess,SERVICE,SERVICE|AMBIENCE,hostess|point
63,1131595:3,The food was bland oily.,food,FOOD,FOOD|FOOD,food|oily
64,1138996:1,"We have been to this place many times, and always have great food, wine, and service.","food,wine,service","FOOD,FOOD,SERVICE",AMBIENCE|FOOD|FOOD|FOOD|SERVICE,place|times|food|wine|service
65,1138996:2,"We were worried we would have trouble getting in, but somehow managed to have a short wait.",wait,SERVICE,FOOD|SERVICE,trouble|wait
66,1138996:3,As always we had a great glass of wine while we waited.,glass of wine,FOOD,FOOD|FOOD,glass|wine
67,1138996:4,"When we sat, we got great and fast service.",service,SERVICE,SERVICE,service
68,1138996:5,The people that work there are always so friendly you forget you are in New York sometimes.,people,SERVICE,SERVICE|AMBIENCE,people|york
69,1145510:1,The pizza is yummy and I like the atmoshpere.,"pizza,atmoshpere","FOOD,AMBIENCE",FOOD|FOOD,pizza|atmoshpere
70,1145510:2,But the pizza is way to expensive.,pizza,PRICES,FOOD,pizza
71,1145510:3,"A large is $20, and toppings are about $3 each.","NULL,toppings","PRICES,PRICES",FOOD,toppings
72,1147082:0,I went there for lunch and it was not as good as I expected from the reviews I read.,lunch,FOOD,FOOD|SERVICE,lunch|reviews
73,1147082:1,Sauce was watery and the food didn't have much flavor.,"Sauce,food","FOOD,FOOD",FOOD|FOOD|FOOD,sauce|food|flavor
