,0,aspect,prediction
0,i am a business-user who heavily depend on mobile service . ,,service!mobile
1,"there is much which has been said in other reviews about the features of this phone , it is a great phone , mine worked without any problems right out of the box . ",phone!+|work!+,box!right|phone!great|mine!worked
2,just double check with customer-service to ensure the number provided by amazon is for the city / exchange you wanted . ,,|check!double|city!double
3,"after several years of torture in the hands of at&t-customer-service i am delighted to drop them , and look forward to august 2004 when i will convert our other 3 family-phones from at&t to t-mobile ! ",at&t customer service!-,|t-mobile!delighted|t!delighted
4,"i have had the phone for 1 week , the signal-quality has been great in the detroit-area ( suburbs ) and in my recent road-trip between detroit and northern kentucky ( cincinnati ) i experienced perfect signal and reception along i-75 , far superior to at &#38; t 's which does not work along several long stretches on that same route . ",signal quality!+,signal-quality!great|detroit!recent|road-trip!recent|cincinnati!northern|kentucky!detroit|road-trip!signal-quality|signal!great|reception!great|signal!signal-quality|i-75!superior|t!superior|i-75!signal-quality|route!same|route!several
5,"i have owned motorola , panasonic and nokia phones over the last 8 years and generally prefer nokia , this phone combines many of the best nokia features , the only feature missing for me is the voice-recognition . ",,nokia!prefer|motorola!prefer|feature!only|phone!many|panasonic!motorola|voice-recognition!many|voice-recognition!phone
6,"my favorite features , although there are many , are the speaker-phone , the radio and the infrared . ",speaker phone!+,speaker-phone!favorite|radio!speaker-phone
7,"the speaker-phone is very functional and i use it in the car , very audible even with freeway-noise . ",speaker phone!+,car!audible|speaker-phone!functional
8,"the infrared is a blessing if you have a previous nokia and want to transfer your old phone-book to this phone , saved me hours of re-entering my numbers . ",infrared!+,phone-book!old|blessing!nokia|phone!phone-book
9,"the combination of the nokia 6610 and t-mobile service ( signal , price , service ) is a winner , i highly recommend it . ",,|combination!winner|service!winner|signal!nokia|price!service
10,the day finally arrived when i was sure i 'd leave sprint . ,sprint!-,
11,"after years with that carrier 's expensive plans and horrible customer-service , portability seemed heaven-sent . ",sprint plan!-,portability!horrible|carrier!expensive
12,"i 'd always eyed the nokia phones and had heard decent things about t-mobile , so i gave it a whirl . ",,t-mobile!decent
13,"here 's the brief synopsis : the phone is tiny , cute , feels kind of "" plastic-like "" ( as if it might break ) , but seems pretty sturdy . ",size!+|sturdy!+,phone!tiny|kind!tiny|synopsis!brief
14,"it has lots of little cute features , my favorite being the games and the pim ( personal information-manager -- i.e. organizer ) , and the radio ! ",game!+,information-manager!personal|information-manager!favorite|pim!favorite|radio!favorite|radio!pim|organizer!personal
15,"i spent hours setting up the stations ( accepts about 13-14 , i believe ) , though the reception is unpredictable . ",reception!-,reception!unpredictable
16,"also , you need to have the headset plugged in all the time to have the radio-work and that can get tedious . ",,
17,the headset that comes with the phone has good sound-volume but it hurts the ears like you cannot imagine ! ,sound volume!+|ear!-,sound-volume!good|headset!sound-volume
18,"the phone comes with okay ringtones , some decent backgrounds / screensavers , but the phone has very little memory ( mine had 230kb as it arrived from amazon , so you do n't have too many options on what you can put on there ) . ",ringtone!+,memory!little|phone!memory
19,the colors on the screen are not as crisp as i 'd have liked them to be . ,color!-,screen!crisp
20,"however , it serves its purpose . ",,
