,id,review,opinion,label,predict
0,1655521:2,"The food was very good, a great deal, and the place its self was great.",food,positive,negative
1,1661757:2,"The ambience was so fun, and the prices were great, on top of the fact that the food was really tasty.",fun|food,positive,positive
2,490565:4,"You can get a completely delish martini in a glass (that's about 2 1/2 drinks) for $8.50 (I recommend the Vanilla Shanty, mmmm!) in a great homey setting with great music.",recommend,positive,positive
3,493013:1,"Its location is good and the fact that Hutner College is near and their prices are very reasonable, makes students go back to Suan again and again.",good|location,positive,positive
4,505535:0,this little place has a cute interior decor and affordable city prices.,cute|little|affordable,positive,positive
5,744478:1,"Fabulous decor - makes you feel like you're in a trendy Manhattan restaurant, very very good food, cheaply-priced, generally friendly staff, and if you're a Manhattanite, or spend most of your time in Manhattan, Rice Avenue will make you feel at home.....very Soho/Village/Upper West Side minus the expensive prices and pretentious clientele.....all on Roosevelt Avenue!",fabulous|soho/village/upper|soho/village/upper,positive,positive
6,757762:0,Baluchi's has solid food and a nice decor at reasonable prices.,solid,positive,positive
7,TM#3:3,"The food was good, the place was clean and affordable.",clean,positive,positive
8,TFS#5:8,"Yes, the place is classy and beautiful, but they most certainly target the uber whealthy Not the common joe that wants to go all out every once in a while.",classy,positive,positive
9,BG#5:4,"I have it a 4 instead of 5 because of the price (just chicken tikka masala - no bread of rice - is $25), which I would expect at a upscale Indian restaurant but this place doesn't have an upscale feel.",upscale|feel,negative,positive
10,1041457:6,"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.",kills,negative,negative
11,1055910:4,Ambiance- relaxed and stylish.,relaxed,positive,positive
12,1086478:5,"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.",nice,positive,positive
13,1090587:1,If you've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer.,top,positive,positive
14,1102681:0,"Once you step into Cosette, you're miraculously in a small, off-the-beaten path Parisian bistro.",small,positive,negative
15,1126814:0,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",fare|warm|fare,positive,positive
16,1126886:2,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",great,positive,positive
17,1153034:2,Located at the end of a magnificent block.,magnificent,positive,positive
18,1189674:0,First went here to enjoy their garden terrace.,enjoy,positive,positive
19,1199480:2,I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,intimate,positive,positive
20,1221938:3,Downstairs lounge is always a good attraction,attraction,positive,positive
21,1232468:1,The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.,wonderful|6th,positive,positive
22,1280179:5,"The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date.",vibrant|right|several|right,positive,positive
23,1286916:1,"The first time I went, and was completely taken by the live jazz band and atmosphere, I ordered the Lobster Cobb Salad.",time|band,positive,negative
24,1289424:4,The place's decor and hidden bathrooms made for a good laugh.,hidden,positive,negative
25,1335154:1,"Great vibe, lots of people.",great|great,positive,positive
26,1335154:4,"I didn't complain, I liked the atmosphere so much.",liked,positive,positive
27,1335656:2,"Ambience is so cute and quaint, good for business although we were there on vacation.",cute,positive,positive
28,1340075:2,The atmosphere is noisy and the waiters are literally walking around doing things as fast as they can.,noisy,negative,negative
29,1357554:4,It's a nice place to relax and have conversation.,nice,positive,positive
30,1367358:3,"Ambience is delightful, service impeccable.",delightful,positive,positive
31,1380450:2,Service was also horrible and the ambience is not that great.,great,negative,positive
32,1390357:2,"I like the ambience, it's very dark and original.",like,positive,positive
33,1394712:4,"However, I think this place is a good hang out spot.",good|hang,positive,negative
34,1398844:0,"First of all, this place is *not* romantic, as claimed by Citysearch's editorial review.",romantic,negative,positive
35,1404042:3,"Cute place, nice wait staff but would never go there again.",cute,positive,positive
36,1413697:2,The place is so cool and the service is prompt and curtious.,cool,positive,positive
37,1417496:2,The dining room is quietly elegant with no music to shout over -- how refreshing!,elegant,positive,positive
38,1430994:0,The view is breathtaking the service is top notch... the ambiance is wonderfull.,breathtaking,positive,positive
39,1439875:1,"The place is small and intimate and you may feel a little crowded, but the service is excellent and it's great for friends out, a romantic date, or a special occassion.",small,negative,negative
40,1451107:0,This place is so much fun.,fun,positive,positive
41,1457607:0,The place is a lot of fun.,fun,positive,positive
42,1471273:4,Zero ambiance to boot.,,negative,negative
43,1476493:2,"The ambience was nice, but service wasn't so great.",nice,positive,positive
44,1486041:0,"The atmosphere is nothing special, but it feels like a Sushi establishment in Tokyo.",special|special|nothing,positive,negative
45,1486041:1,The owner and staff are all Japanese as well and that adds to the entire ambiance.,japanese,positive,negative
46,1506491:2,Check out the secret back room.,back,positive,negative
47,1572033:1,Decor is nice though service can be spotty.,nice,positive,positive
48,1611489:3,"Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.",experience,positive,negative
49,1615322:4,The seats are uncomfortable if you are sitting against the wall on wooden benches.,uncomfortable,negative,negative
50,1632445:3,The service is good and ambience is good for a date or group outing.,good,positive,positive
51,1655521:1,I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,great,positive,positive
52,1661043:4,Decor is charming.,charming,positive,positive
53,1707201:2,The place was nice and calm.,nice,positive,positive
54,1718513:3,"THe back garden sitting area is very pleasant, where you can see their personal herb garden.",pleasant,positive,positive
55,1730127:2,"Always a nice crowd, but never loud.",nice,positive,positive
56,436868:3,"Calling the place Hampton Chutney Co. does warn you that these folks offer more style than substance, but in this unattractive room with unhelpful clerks there was a dearth of the former too.",unattractive|more,negative,negative
57,445960:0,"This is such a lovely, peaceful place to eat outside.",lovely,positive,positive
58,445960:4,"This is a great place to take out-of-towners, and perfect for watching the sunset.",great,positive,positive
59,475298:3,The location is perfect.,perfect,positive,positive
60,475512:2,"Well, this place is so Ghetto its not even funny.",ghetto,negative,negative
61,476473:2,Great atmoshere and worth every bit.,great,positive,positive
62,485966:1,The place was quiet and delightful.,quiet,positive,positive
63,490565:3,"But the best part about LS is the late night atmosphere, delightfully free of the BTs.",best|best,positive,positive
64,493013:6,In summer-eat outside on a terrace (another great feature of Suan)!!!,great|great,positive,positive
65,496132:1,The setting is casual and romantic.,casual,positive,negative
66,498657:4,"The wait here is long for dim sum, but if you don't like sharing tables or if the typical raucous dim sum atmosphere is not your gig, this is a sleek (for Chinatown) alternative.",dim,negative,negative
67,519425:4,The place itself is beautiful the bar scene seems to be happening.,beautiful,positive,positive
68,535171:1,Not the typical NYC gimmick theme restaurant.,typical|typical,positive,negative
69,541532:0,Cozy romantic atomosphere with only around 15 tables at most.,cozy,positive,positive
70,561054:1,"When you're sitting in their main dining room (which has a spectacular, hand-painted high ceiling) you'd never know there was a world outside.",spectacular|main,positive,positive
71,584025:1,Warm and friendly in the winter and terrific outdoor seating in the warmer months.,warmer,positive,positive
72,626269:2,The design and atmosphere is just as good.,good|good,positive,positive
73,632121:1,The jukebox plays everything from Italian Opera to The Strokes.,italian,positive,negative
74,680390:0,"Toons has recently been redone, so it's now a very attractive space.",attractive|attractive,positive,positive
75,709294:1,"We recently decided to try this location, and to our delight, they have outdoor seating, perfect since I had my yorkie with me.",perfect,positive,positive
76,709294:2,Indoor was very cozy and cute.,cozy,positive,positive
77,717570:1,The decor is very simple but comfortable.,simple,positive,negative
78,735448:1,"whoever the jazz duo was, they were on POINT.",,positive,negative
79,737999:3,Atmosphere is nice and relaxed too...,nice,positive,positive
80,875139:0,"Love the scene first off- the place has a character and nice light to it..very fortunate, location wise.",love|nice|nice|character,positive,positive
81,955711:2,LOVE the atmosphere - felt like I was in Paris.,love,positive,positive
82,Z#3:1,"The space kind of feels like an Alice in Wonderland setting, without it trying to be that.",like,negative,positive
83,TR#3:0,Great place to relax and enjoy your dinner,great,positive,positive
84,TR#3:1,There is something about their atmosphere that makes me come back nearly every week.,,positive,negative
85,Y#6:3,"In the summer months, the back garden area is really nice.",nice,positive,positive
86,TR#1:3,I highly recommend this beautiful place.,recommend,positive,positive
87,TR#8:6,Nice view of river and NYC.,nice,positive,positive
88,Z#9:0,"short and sweet – seating is great:it's romantic,cozy and private.",great,positive,positive
89,CLF#5:5,We were drawn into the belly dancing show that captivated the crowd.,,positive,negative
90,BzG#2:2,The atmosphere is relaxed and casual.,relaxed,positive,positive
