,id,review,target,label,predict,term,polarity
0,1014458:3,The wine list is interesting and has many good values.,"wine list,wine list","FOOD,PRICES",SERVICE|FOOD|PRICES,list!interesting|wine!interesting|values!many,"positive,positive"
1,1028246:1,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!","Service,oysters,NULL","SERVICE,FOOD,PRICES",PRICES,|price!beat,"positive,positive,positive"
2,1064477:4,We took advanatage of the half price sushi deal on saturday so it was well worth it.,"half price sushi deal,half price sushi deal","FOOD,PRICES",PRICES|PRICES|PRICES|FOOD|PRICES|FOOD,advanatage!-|half!-|price!-|sushi!-|deal!-|saturday!-,"positive,positive"
3,1084394:3,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,"Prix Fixe menu,Prix Fixe menu,Prix Fixe menu","FOOD,FOOD,PRICES",FOOD|PRICES|FOOD|PRICES,menu!worth|prix!worth|fixe!worth|penny!more,"positive,positive,positive"
4,1086415:2,"$6 and there is much tasty food, all of it fresh and continually refilled.","food,food,food","FOOD,FOOD,PRICES",FOOD,food!fresh,"positive,positive,positive"
5,1090587:2,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,"service,food,food","SERVICE,FOOD,PRICES",SERVICE|FOOD|PRICES|PRICES|FOOD,service!great|food!great|price!reasonable|beginning!great|evening!service,"positive,positive,positive"
6,1119578:1,The pizza is overpriced and soggy.,"pizza,pizza","FOOD,PRICES",FOOD,pizza!-,"negative,negative"
7,1126814:3,Decent wine at reasonable prices.,"wine,wine","FOOD,PRICES",FOOD|PRICES,wine!decent|prices!decent,"neutral,positive"
8,1145510:2,But the pizza is way to expensive.,pizza,PRICES,FOOD|AMBIENCE,pizza!-|way!-,negative
9,1145510:3,"A large is $20, and toppings are about $3 each.","NULL,toppings","PRICES,PRICES",FOOD,toppings!-,"negative,negative"
10,1162037:2,"The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .","atmosphere,NULL","AMBIENCE,PRICES",AMBIENCE,atmosphere!greatest,"neutral,positive"
11,1189674:4,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.","wine selection,Gigondas,house champagne","FOOD,FOOD,PRICES",PRICES|FOOD|PRICES|PRICES|FOOD|AMBIENCE,selection!great|wine!great|value!great|price!great|champagne!price|house!value,"positive,positive,positive"
12,1212346:4,Tiny dessert was $8.00...just plain overpriced for what it is.,"dessert,dessert","FOOD,PRICES",FOOD,|dessert!tiny,"negative,negative"
13,1221938:0,The drinks are always welll made and wine selection is fairly priced.,"drinks,wine selection","FOOD,PRICES",FOOD,|drinks!welll,"positive,positive"
14,1225162:4,The bar is very well stocked with interesting beers and well priced wines.,"bar,beers,wines","FOOD,FOOD,PRICES",FOOD|FOOD,beers!interesting|wines!interesting,"positive,positive,positive"
15,1310217:2,The price is reasonable although the service is poor.,"NULL,service","PRICES,SERVICE",PRICES|SERVICE,price!reasonable|service!poor,"positive,negative"
16,1338124:0,"This is some really good, inexpensive sushi.","sushi,sushi","FOOD,PRICES",FOOD,sushi!good,"positive,positive"
17,1338124:2,The spicy Tuna roll is huge and probably the best that I've had at this price range.,"spicy Tuna roll,spicy Tuna roll,spicy Tuna roll","FOOD,FOOD,PRICES",PRICES|FOOD|FOOD,|roll!huge|spicy!huge|tuna!huge,"positive,positive,positive"
18,1338124:4,"I have reservations about the all you can eat deal, however -- the choices are fairly limited and you can probably order more food than you can eat for less than $18 by just going off the menu.","all you can eat deal,all you can eat deal","FOOD,PRICES",FOOD|FOOD,choices!limited|food!more,"negative,negative"
19,1340075:1,"They have it all -- great price, food, and service.","NULL,NULL,food,service","PRICES,FOOD,SERVICE",PRICES|FOOD|SERVICE,price!great|food!great|service!great,"positive,positive,positive,positive"
20,1340075:4,"And it all comes at a very reasonable price (congee, noodles, and rice dishes are no more than $3-6 each).","NULL,congee,noodles,rice dishes","PRICES,PRICES,PRICES,PRICES",PRICES,price!reasonable,"positive,positive,positive,positive"
21,1394712:0,Very affordable and excellent ambient!,"ambient,NULL","AMBIENCE,PRICES",,,"positive,positive"
22,1398844:2,"The tables are crammed way too close, the menu is typical of any Italian restaurant, and the wine list is simply overpriced.","tables,menu,wine list","AMBIENCE,FOOD,PRICES",FOOD|FOOD,|menu!typical|restaurant!menu,"negative,neutral,negative"
23,1398844:3,Slightly above average wines start at $70+ with only one selection listed at $30+.,"wines,wines","FOOD,PRICES",FOOD,|wines!average,"negative,negative"
24,1439875:3,The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like.,"food,prixe fixe tasting menu,prixe fixe tasting menu,NULL","PRICES,FOOD,PRICES,SERVICE",FOOD|FOOD|PRICES|PRICES|FOOD||FOOD|FOOD,food!greatest|menu!greatest|price!good|price!greatest|allergies!food|prixe!food|fixe!food|tasting!food,"negative,positive,positive,positive"
25,1459569:2,Drinks way over priced.,Drinks,PRICES,FOOD|AMBIENCE,drinks!-|way!-,negative
26,1471273:3,Prices too high for this cramped and unappealing resturant.,"resturant,resturant","PRICES,AMBIENCE",FOOD|PRICES,resturant!cramped|prices!high,"negative,negative"
27,1490757:2,The prices were CHEAP compared to the quality of service and food.,"NULL,service,food","PRICES,SERVICE,FOOD",PRICES|PRICES,prices!cheap|quality!prices,"positive,positive,positive"
28,1506491:0,"I have known about this secret for the last 13 years, Emilio(the Godfather) has continued to serve food and wine for the gods at mortal prices.","food,wine,food,wine","FOOD,FOOD,PRICES,PRICES",PRICES|FOOD|SERVICE|FOOD,|prices!mortal|gods!mortal|years!last|secret!last,"positive,positive,positive,positive"
