,id,review,target,label,predict,term,polarity
0,1004293:1,"we, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.",staff,SERVICE,AMBIENCE|AMBIENCE,place|like,negative
1,1004293:3,the food was lousy - too sweet or too salty and the portions tiny.,"food,portions","FOOD,FOOD",FOOD|FOOD,food|salty,"negative,negative"
2,1014458:0,"i have eaten at saul, many times, the food is always consistently, outrageously good.",food,FOOD,AMBIENCE|FOOD|FOOD|FOOD,good|food|outrageously|many,positive
3,1014458:2,the duck confit is always amazing and the foie gras terrine with figs was out of this world.,"foie gras terrine with figs,duck confit","FOOD,FOOD",FOOD|FOOD|FOOD|FOOD|FOOD|AMBIENCE,duck|confit|foie|terrine|figs|world,"positive,positive"
4,1014458:3,the wine list is interesting and has many good values.,"wine list,wine list","FOOD,PRICES",FOOD|PRICES|FOOD|AMBIENCE|FOOD|PRICES,wine|good|list|value|many|interesting,"positive,positive"
5,1016296:1,ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,cart attendant,SERVICE,SERVICE|FOOD|AMBIENCE|FOOD|FOOD|FOOD|SERVICE|SERVICE|FOOD|SERVICE,replied|walked|away|lotus|wrapped|back|attendant|asked|leaf|tend,negative
6,1016296:3,"food was okay, nothing great.",Food,FOOD,FOOD|AMBIENCE|FOOD,food|great|thing,neutral
7,1016296:4,chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family.,"Chow fun,pork shu mai,NULL","FOOD,FOOD",AMBIENCE|FOOD,table|share,"negative,negative,negative"
8,1028246:1,"service was devine, oysters where a sensual as they come, and the price can't be beat!!!","Service,oysters,NULL","SERVICE,FOOD,PRICES",SERVICE|PRICES,service|price,"positive,positive,positive"
9,1032695:1,"everything is always cooked to perfection, the service is excellent, the decor cool and understated.","NULL,service,decor","FOOD,SERVICE,AMBIENCE",SERVICE|AMBIENCE|FOOD|AMBIENCE|FOOD|AMBIENCE|FOOD,service|cool|everything|excellent|cooked|perfection|thing,"positive,positive,positive"
10,1032695:2,i had the duck breast special on my last visit and it was incredible.,duck breast special,FOOD,FOOD,special,positive
11,1041457:2,"the food is very average...the thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.","food,Thai fusion stuff,NULL","FOOD,FOOD,FOOD",FOOD|FOOD,food|thing,"negative,negative,negative"
12,1041457:3,the only thing i moderately enjoyed was their grilled chicken special with edamame puree.,Grilled Chicken special with Edamame Puree,FOOD,FOOD|AMBIENCE,special|thing,positive
13,1041457:4,i had never had edamame pureed before but i thought it was innovative and tasty (could've used a bit more salt).,"Edamame pureed,Edamame pureed","FOOD,FOOD",FOOD|FOOD|FOOD,edamame|pureed|salt,"positive,positive"
14,1041457:6,"the decor is night tho...but they really need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.","place,decor,vent","AMBIENCE,AMBIENCE,AMBIENCE",AMBIENCE,place,"negative,positive,negative"
15,1053543:2,"their sake list was extensive, but we were looking for purple haze, which wasn't listed but made for us upon request!","sake list,NULL","FOOD,SERVICE",FOOD|SERVICE|SERVICE,made|list|list,"positive,positive"
