,0,aspect,prediction
0,"i bought a 256 mb cf and a second battery , so it 's good to go on a long vacation . ",,|battery!second|cf!second
1,"in the auto mode it functions basically as a point and click , the scene modes are very easy to use and produce good results . ",auto mode!+,scene!easy
2,"the macro mode is exceptional , the pictures are very clear and you can take the pictures with the lens unbelievably close the subject . ",macro mode!+,mode!exceptional|macro!exceptional
3,"i needed something with more power , so i bought a nikon coolpix 4300 . ",,
4,"i fell in love with this camera , it combines ease of use , with an immense amount of options and power . ",camera!+|use!+,amount!immense|amount!ease
5,i bought coolpix 4300 two months after i had bought canon powershot s400 . ,,
6,"otherwise , it takes very good pictures ; shutter delay is n't so bad either . ",picture!+,delay!bad|shutter!bad
7,the pictures are absolutely amazing - the camera captures the minutest of details . ,picture!+,
8,"i experimented with online print ordering with the two major us brick and mortar retailers , and they both delivered great results . ",print!+,
9,i find myself emailing pics to everyone i know . ,,
10,"i expected the 12x digital zoom to be grainy , but onfull size high to fine quality , the zoomed images are quite impressive . ",zoomed image!+,quality!fine|size!high|zoom!size|12x!digital
11,the memory card fit nicely since i also have a pocket pc and it automatically installed a picture software on my pda wolla . ,memory card!+,
12,"great camera , i have been using this for several months and got excellent results , simple friendly usage , in many scenes indoor , outdoor , snow , close up macro etc. ",camera!+,camera!great|usage!simple
13,it is easy enough to use for a beginner like me but it has plenty of features for me to grow into . ,use!+,
14,my friends were impressed with the quality of the pictures i took ! ,picture quality!+,
15,"it does have a digital zoom on top of the optical zoom , but you sacrifice quality . ",,|zoom!digital|top!digital
16,"in manual , you can set it to "" single af "" where it will focus by depressing the shudder button prior to taking the pic ; this is not really a hinderance , you just have to be familiar with its menus and features . ",,button!depressing|shudder!depressing
17,"for work , we use them in the field often , and they hold up really well . ",,
18,"the menus and features are easy to manipulate and access , and it takes silent movies . ",menu!+,
19,"an extra rechargeable en-el 1 battery is also handy , so you will seldom run into "" out of battery "" situation . ",,battery!handy|en-el!handy|situation!handy
20,"i have it for a week now , and this camera has exceeded my expectations . ",camera!+,camera!exceeded
21,"just for the heck of it , i took it into my dark kitchen with only indirect light coming in though the door , and the focusing was just fine . ",,kitchen!dark|heck!fine|door!fine
22,"i do n't use a bracket , i just hold it above my head and aim the flash with my left hand . ",,
23,this also allows you to turn on the camera on without having to remove the lens cap . ,,
24,"the manual is easy to understand , and it is mostly idiot proof . ",manual!+,manual!easy|proof!idiot
25,"it is small , unlike my canon slr , so it easily fits in my pocket . ",size!+,
26,"i was considering buying the minolta f-100 and the sony dsc-p 9 , but at the camera shop , realized this one went above and beyond . ",,
27,you need the storage to hold a decent amount of shots at 4 megapixel resolution . ,,amount!decent|resolution!amount
28,"i can 't connect it to my computer though , but that 's a problem with windows me , not the camera . ",,
29,i 'm amazed at the photo quality -- prints are indistinguishable from 35mm prints . ,photo quality!+,mm!indistinguishable|quality!photo
30,"i only have one complaint , and that is the 8mb card included . ",8mb card!-,card!complaint|complaint!card
