,0,aspect,prediction
0,i am a business user who heavily depend on mobile service . ,,
1,"there is much which has been said in other reviews about the features of this phone , it is a great phone , mine worked without any problems right out of the box . ",phone|work,phone|mine
2,just double check with customer service to ensure the number provided by amazon is for the city / exchange you wanted . ,,|check
3,"after several years of torture in the hands of at&t customer service i am delighted to drop them , and look forward to august 2004 when i will convert our other 3 family-phones from at&t to t-mobile ! ",at&t customer service,t
4,"i have had the phone for 1 week , the signal quality has been great in the detroit area ( suburbs ) and in my recent road trip between detroit and northern kentucky ( cincinnati ) i experienced perfect signal and reception along i-75 , far superior to at &#38; t 's which does not work along several long stretches on that same route . ",signal quality,quality|signal|area|route|i-75
5,"i have owned motorola , panasonic and nokia phones over the last 8 years and generally prefer nokia , this phone combines many of the best nokia features , the only feature missing for me is the voice recognition . ",,nokia|motorola|panasonic|recognition
6,"my favorite features , although there are many , are the speaker phone , the radio and the infrared . ",speaker phone,phone
7,"the speaker phone is very functional and i use it in the car , very audible even with freeway noise . ",speaker phone,phone
8,"the infrared is a blessing if you have a previous nokia and want to transfer your old phone book to this phone , saved me hours of re-entering my numbers . ",infrared,|blessing
9,"the combination of the nokia 6610 and t-mobile service ( signal , price , service ) is a winner , i highly recommend it . ",,combination
10,the day finally arrived when i was sure i 'd leave sprint . ,sprint,
11,"after years with that carrier 's expensive plans and horrible customer service , portability seemed heaven-sent . ",sprint plan,portability|carrier
12,"i 'd always eyed the nokia phones and had heard decent things about t-mobile , so i gave it a whirl . ",,t-mobile
13,"here 's the brief synopsis : the phone is tiny , cute , feels kind of "" plastic-like "" ( as if it might break ) , but seems pretty sturdy . ",size|sturdy,kind
14,"it has lots of little cute features , my favorite being the games and the pim ( personal information manager -- i.e. organizer ) , and the radio ! ",game,organizer|pim
15,"i spent hours setting up the stations ( accepts about 13-14 , i believe ) , though the reception is unpredictable . ",reception,reception|reception
16,"also , you need to have the headset plugged in all the time to have the radio work and that can get tedious . ",,|time
17,the headset that comes with the phone has good sound volume but it hurts the ears like you cannot imagine ! ,sound volume|ear,volume|sound
18,"the phone comes with okay ringtones , some decent backgrounds / screensavers , but the phone has very little memory ( mine had 230kb as it arrived from amazon , so you do n't have too many options on what you can put on there ) . ",ringtone,|memory
19,the colors on the screen are not as crisp as i 'd have liked them to be . ,color,screen
20,"however , it serves its purpose . ",,
21,"the backlight on the phone goes off way too quickly ( dangerous when you 're driving at night ) , and there 's no way to change this -- ",backlight,
22,i checked with nokia . ,,
23,"the buttons on the phone are small , even for my small fingertips , but you get used to them rather quickly . ",button,
24,"the menu options are uncreative , as you can 't see a full screen of menu items to pick from ; you have to scroll up and down to find what you 're looking for ( yes , this is minor , but not when you 're trying to keep your eye on the road ! ) . ",menu options,menu
25,more downside to this phone ? ,,
26,the volume . ,volume,
27,oh my goodness -- ,,
28,i have excellent hearing but the volume level on this phone is especially quiet . ,volume,level|volume|hearing
29,forget talking on it in public -- you just can 't hear the other person ! ,,|person
30,"on the up-side , the phone has amazing battery life . ",battery life,life|battery|up-side
31,"i do like this phone overall ( would give it a 3.5 ) , but unforutnately , i am returning it . ",phone,
32,i was surprised by t-mobile 's service . ,,
33,"i assumed they had exceptional service , but their reception in my area ( los angeles ) is horrendous . ",t-mobile reception,reception|service
34,reason ? ,,
35,they piggy-back on cingular 's service . ,,
36,"also , their t-zones , although cheap ( $ 4.99 / mo. ) never works . ",t-zone,mo.
37,"since i received the phone , i spent countless hours on the phone with customer service reps who promised t-zones would work "" in 24 hours "" . ",customer service,
38,"i must have heard this about a dozen times over the span of 2 weeks , when t-zones never worked . ",t-zone,dozen
39,24 hours ? ,,
40,by what time standards -- martian ? ,,
41,"apparently , t-mobile is heavily back-logged and can 't keep up with demands . ",t-mobile,t-mobile
42,"also , they 'd forgotten to add "" wap "" capability to my service ( duh ) , so that took another 4-5 days of figuring out . ",,service
43,"in all fairness , customer reps are very nice , and they ( most of them ) try hard to answer your questions . ",customer rep,customer
44,"but they do have this annoying habit of asking you if they 've answered all your questions , even if they did n't , to which they always seem to expect a "" yes "" answer from you . ",,habit
45,"i realize this is for quality assurance purposes , but i should have the right to say when my questions have not been answered ( i.e. me : ",,right
46,""" when will my t-zones work ? "" , csr : ",,
47,""" i 'm not sure "" . ) . ",,
48,"umm , well , thanks for nothing . ",,
49,"this one csr insisted on trying to get me to say that he 'd answered all my questions ( same interaction as i just described ) , and well .. . ",,csr|interaction
50,that was annoying . ,,
51,"t-mobile is trying very hard , and again -- they do have pretty good csr 's . ",csr,csr
52,"however , the calls constantly drop in my area and i experince mega-static , to the point where i 'd have to dial numbers 6-7 times to get a clear line . ",call,line
53,and no t-zones . ,,
54,so what 's the point ? ,,
55,"i 'm staying with sprint , and though i fear that their csr is n't nearly as good as t-mobile 's , the clarity of their reception is exceptional . ",sprint,csr|clarity|reception
56,i 've bought the very expensive sanyo 5500/vm4500 -- which i love -- and i 'm okay with my services . ,,sanyo|love
57,guess all that glitters is not gold . ,,
58,it was worth a shot -- too bad it did n't work out . ,,shot
59,hope someone else has better luck ! ,,hope|someone|luck
60,i bought one of these phones in kuwait to use with the mtc prepaid telephone service ez because i would be able to use it when i return to the states with t-mobile . ,,|return|kuwait
61,recently i accidently washed my telephone with my laundry through two complete 18 minute wash cycles of a washing machine . ,,|laundry
62,"disgusted with myself after i found the phone in the bottom of the washing machine , i was about to throw it away when one of my fellow soldiers asked if he could dry it out for me in an effort to revive the phone . ",,phone|phone|effort|bottom
63,two days later the phone was returned to me in complete working order . ,,
64,"while i like the performance of the phone in every regard , i would buy another one solely upon the apparent indestructibility of it . ",phone performance,|indestructibility
65,i highly recommend a nokia 6610 . ,nokia,nokia
66,"i 've had an assortment of cell phones over the years ( motorola , sony ericsson , nokia etc. ) and in my opinion , nokia has the best menus and promps hands down . ",,assortment|ericsson|sony
67,no other color phone has the combination of features that the 6610 offers . ,feature,
68,"from the speakerphone that can be used up to 15 feet away with clarity , to the downloadable poly-graphic megatones that adds a personal touch to this nifty phone . ",speakerphone,phone
69,"whether you 're taking a brisk jog , waiting for a bus or just having lunch at the park , you 'll be glad you had the fm radio . ",radio,jog
70,"wish it were a flip phone , but thats not a deal breaker ! ",,|breaker|wish
71,i have had this phone for about 5 months . ,,
72,i treat the battery well and it has lasted . ,battery,
73,"at my heaviest usage , i must recharge after 3 days . ",,
74,it lasts about 5 days otherwise and has lasted up to 10 when i was making very few calls . ,,
75,signal strength will affect the battery life . ,,
76,frequent signal searches eat up battery power . ,,
