,0,id,review,category,target,term,polarity
0,the wine list is interesting and has many good values.,1014458:3,The wine list is interesting and has many good values.,"FOOD,PRICES","wine list,wine list",list!interesting|wine!interesting|values!many,"positive,positive"
1,"service was devine, oysters where a sensual as they come, and the price can't be beat!!!",1028246:1,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!","SERVICE,FOOD,PRICES","Service,oysters,NULL",|price!beat,"positive,positive,positive"
2,we took advanatage of the half price sushi deal on saturday so it was well worth it.,1064477:4,We took advanatage of the half price sushi deal on saturday so it was well worth it.,"FOOD,PRICES","half price sushi deal,half price sushi deal",,"positive,positive"
3,the prix fixe menu is worth every penny and you get more than enough (both in quantity and quality).,1084394:3,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,"FOOD,FOOD,PRICES","Prix Fixe menu,Prix Fixe menu,Prix Fixe menu",menu!worth|prix!worth|fixe!worth|penny!more,"positive,positive,positive"
4,"$6 and there is much tasty food, all of it fresh and continually refilled.",1086415:2,"$6 and there is much tasty food, all of it fresh and continually refilled.","FOOD,FOOD,PRICES","food,food,food",food!fresh,"positive,positive,positive"
5,add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,1090587:2,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,"SERVICE,FOOD,PRICES","service,food,food",service!great|food!great|price!reasonable|beginning!great|evening!service,"positive,positive,positive"
6,the pizza is overpriced and soggy.,1119578:1,The pizza is overpriced and soggy.,"FOOD,PRICES","pizza,pizza",,"negative,negative"
7,decent wine at reasonable prices.,1126814:3,Decent wine at reasonable prices.,"FOOD,PRICES","wine,wine",wine!decent|prices!decent,"neutral,positive"
8,but the pizza is way to expensive.,1145510:2,But the pizza is way to expensive.,PRICES,pizza,,negative
9,"a large is $20, and toppings are about $3 each.",1145510:3,"A large is $20, and toppings are about $3 each.","PRICES,PRICES","NULL,toppings",,"negative,negative"
10,"the atmosphere isn't the greatest , but i suppose that's how they keep the prices down .",1162037:2,"The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .","AMBIENCE,PRICES","atmosphere,NULL",atmosphere!greatest,"neutral,positive"
11,"great wine selection, gigondas is worth the price, and the house champagne is a great value.",1189674:4,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.","FOOD,FOOD,PRICES","wine selection,Gigondas,house champagne",selection!great|wine!great|value!great|price!great|champagne!price|house!value,"positive,positive,positive"
12,tiny dessert was $8.00...just plain overpriced for what it is.,1212346:4,Tiny dessert was $8.00...just plain overpriced for what it is.,"FOOD,PRICES","dessert,dessert",|dessert!tiny,"negative,negative"
13,the drinks are always welll made and wine selection is fairly priced.,1221938:0,The drinks are always welll made and wine selection is fairly priced.,"FOOD,PRICES","drinks,wine selection",|drinks!welll,"positive,positive"
14,the bar is very well stocked with interesting beers and well priced wines.,1225162:4,The bar is very well stocked with interesting beers and well priced wines.,"FOOD,FOOD,PRICES","bar,beers,wines",beers!interesting|wines!interesting,"positive,positive,positive"
15,the price is reasonable although the service is poor.,1310217:2,The price is reasonable although the service is poor.,"PRICES,SERVICE","NULL,service",price!reasonable|service!poor,"positive,negative"
16,"this is some really good, inexpensive sushi.",1338124:0,"This is some really good, inexpensive sushi.","FOOD,PRICES","sushi,sushi",sushi!good,"positive,positive"
17,the spicy tuna roll is huge and probably the best that i've had at this price range.,1338124:2,The spicy Tuna roll is huge and probably the best that I've had at this price range.,"FOOD,FOOD,PRICES","spicy Tuna roll,spicy Tuna roll,spicy Tuna roll",|roll!huge|spicy!huge|tuna!huge,"positive,positive,positive"
18,"i have reservations about the all you can eat deal, however -- the choices are fairly limited and you can probably order more food than you can eat for less than $18 by just going off the menu.",1338124:4,"I have reservations about the all you can eat deal, however -- the choices are fairly limited and you can probably order more food than you can eat for less than $18 by just going off the menu.","FOOD,PRICES","all you can eat deal,all you can eat deal",choices!limited|food!more,"negative,negative"
19,"they have it all -- great price, food, and service.",1340075:1,"They have it all -- great price, food, and service.","PRICES,FOOD,SERVICE","NULL,NULL,food,service",price!great|food!great|service!great,"positive,positive,positive,positive"
20,"and it all comes at a very reasonable price (congee, noodles, and rice dishes are no more than $3-6 each).",1340075:4,"And it all comes at a very reasonable price (congee, noodles, and rice dishes are no more than $3-6 each).","PRICES,PRICES,PRICES,PRICES","NULL,congee,noodles,rice dishes",price!reasonable,"positive,positive,positive,positive"
21,very affordable and excellent ambient!,1394712:0,Very affordable and excellent ambient!,"AMBIENCE,PRICES","ambient,NULL",,"positive,positive"
