,review,type,aspect,clauses
0,this camera is perfect for an enthusiastic amateur photographer . ,simple_sentence,camera[+2],"[('this camera is perfect for an enthusiastic amateur photographer', 'IC')]"
1,"the pictures are razor-sharp , even in macro . ",simple_sentence,"picture[+3], macro[+3]","[('the pictures are razor-sharp even in macro', 'IC')]"
2,it is small enough to fit easily in a coat pocket or purse . ,simple_sentence,size[+2][u],"[('it is small enough to fit easily in a coat pocket or purse', 'IC')]"
3,it is light enough to carry around all day without bother . ,simple_sentence,weight[+1][u],"[('it is light enough to carry around all day without bother', 'IC')]"
4,"operating its many features is easy and often obvious - i 'm no annie lebovitz , but i was able to figure out most of its abilities just messing around with it at a camera store . ",phrase,feature[+2][u],"[(""operating its many features is easy and often obvious - i 'm no annie lebovitz , but i was able to figure out most of its abilities just messing around with it at a camera store . "", 'Phrase')]"
5,the manual does a fine job filling in any blanks that remain . ,complex_sentence,manual[+2],"[('the manual does a fine job filling in any blanks', 'IC'), ('that remain', 'DC')]"
6,"the auto-focus performs well , but i love having the 12 optional scene modes - they are dummy-proof , and correspond to many situations in which i would actually seek to use the camera . ",phrase,"auto focus[+2],scene mode[+2]","[('the auto-focus performs well , but i love having the 12 optional scene modes - they are dummy-proof , and correspond to many situations in which i would actually seek to use the camera . ', 'Phrase')]"
7,"comes with a 16 mb compact flash and one rechargable battery the charging unit , included , is fast and small . ",simple_sentence,rechargable battery[+2],"[('a mb compact flash and one rechargable battery the charging unit', 'IC')]"
8,"i bought a 256 mb cf and a second battery , so it 's good to go on a long vacation . ",compound_sentence,,"[('i bought a mb cf and a second battery', 'IC'), ('it good to go on a long vacation', 'IC')]"
9,i enthusiastically recommend this camera . ,simple_sentence,camera[+2],"[('i enthusiastically recommend this camera', 'IC')]"
10,"i got my camera three days back , and although i had some experience with digital cameras prior to purchasing this one , i still rate myself as a beginner . ",phrase,,"[('although i had some experience with digital cameras prior to purchasing this one i still rate myself as a beginner', 'DC')]"
11,i bought this camera because it fit my budget and the pre-production and production model reviews were positive . ,compound_complex_sentence,,"[('i bought this camera', 'IC'), ('because it fit my budget', 'DC'), ('the pre-production and production model reviews were positive', 'IC')]"
