,id,review,term,label,pred_1,pred_2,pred_3,pred_4,pred_5
0,1004293:1,"we, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.",place|rude|staff|like,SERVICE,AMBIENCE|AMBIENCE|SERVICE|SERVICE,AMBIENCE|SERVICE|SERVICE|AMBIENCE,AMBIENCE|SERVICE|SERVICE|AMBIENCE,AMBIENCE|SERVICE|SERVICE|AMBIENCE,AMBIENCE|SERVICE|SERVICE|AMBIENCE
1,1014458:0,"i have eaten at saul, many times, the food is always consistently, outrageously good.",good|food|always,FOOD,AMBIENCE|FOOD|FOOD,PRICES|FOOD|SERVICE,FOOD|FOOD|AMBIENCE,FOOD|FOOD|SERVICE,AMBIENCE|FOOD|AMBIENCE
2,1014458:2,the duck confit is always amazing and the foie gras terrine with figs was out of this world.,always,"FOOD,FOOD",FOOD,SERVICE,AMBIENCE,SERVICE,AMBIENCE
3,1014458:3,the wine list is interesting and has many good values.,good|wine,"FOOD,PRICES",FOOD|FOOD,PRICES|FOOD,FOOD|FOOD,FOOD|FOOD,AMBIENCE|FOOD
4,1016296:1,ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,cart|attendant|lotus|leaf|rice|rice,SERVICE,SERVICE|SERVICE|FOOD|FOOD|FOOD|FOOD,FOOD|SERVICE|PRICES|FOOD|FOOD|FOOD,FOOD|SERVICE|FOOD|FOOD|FOOD|FOOD,FOOD|PRICES|FOOD|FOOD|FOOD|FOOD,FOOD|SERVICE|FOOD|FOOD|FOOD|FOOD
5,1016296:4,chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family.,rude,"FOOD,FOOD",FOOD,SERVICE,SERVICE,SERVICE,SERVICE
6,1032695:1,"everything is always cooked to perfection, the service is excellent, the decor cool and understated.",service|always|decor,"FOOD,SERVICE,AMBIENCE",SERVICE|AMBIENCE|AMBIENCE,SERVICE|SERVICE|AMBIENCE,SERVICE|AMBIENCE|AMBIENCE,SERVICE|SERVICE|AMBIENCE,SERVICE|AMBIENCE|AMBIENCE
7,1032695:2,i had the duck breast special on my last visit and it was incredible.,special,FOOD,FOOD,SERVICE,FOOD,FOOD,PRICES
8,1041457:3,the only thing i moderately enjoyed was their grilled chicken special with edamame puree.,special,FOOD,FOOD,SERVICE,FOOD,FOOD,PRICES
9,1041457:4,i had never had edamame pureed before but i thought it was innovative and tasty (could've used a bit more salt).,though|never,"FOOD,FOOD",FOOD|FOOD,AMBIENCE|SERVICE,AMBIENCE|FOOD,AMBIENCE|AMBIENCE,AMBIENCE|AMBIENCE
