,Unnamed: 0,reviewID,sentenceID,review,category,polarity,entity,preprocessed_sentence,type_sentence,preprocessed_sentence_lemma,aspect_prediction,opinion_term_prediction,entity_prediction
0,0,RL#3,RL#3:1,"I am not necessarily fanatical about this place, but it was a fun time for low prices.",VALUE#PRICES,positive,VALUE,"i am not necessarily fanatical about this place , but it was a fun time for low prices .",compound_sentence,necessarily fanatical place fun time low price,"[['time', 'price']]","[['fun', 'low']]",['VALUE']
1,2,TR#2,TR#2:2,The high prices you're going to pay is for the view not for the food.,VALUE#PRICES,negative,VALUE,the high prices you 're going to pay is for the view not for the food .,complex_sentence,high price go pay view food,[['price']],[['high']],['VALUE']
2,3,TR#2,TR#2:2,The high prices you're going to pay is for the view not for the food.,VALUE#PRICES,negative,VALUE,the high prices you 're going to pay is for the view not for the food .,complex_sentence,high price go pay view food,[['price']],[['high']],['VALUE']
3,4,TR#2,TR#2:2,The high prices you're going to pay is for the view not for the food.,VALUE#PRICES,negative,VALUE,the high prices you 're going to pay is for the view not for the food .,complex_sentence,high price go pay view food,[['price']],[['high']],['VALUE']
4,5,TR#2,TR#2:2,The high prices you're going to pay is for the view not for the food.,VALUE#PRICES,negative,VALUE,the high prices you 're going to pay is for the view not for the food .,complex_sentence,high price go pay view food,[['price']],[['high']],['VALUE']
5,6,TR#2,TR#2:2,The high prices you're going to pay is for the view not for the food.,VALUE#PRICES,negative,VALUE,the high prices you 're going to pay is for the view not for the food .,complex_sentence,high price go pay view food,[['price']],[['high']],['VALUE']
6,7,TR#2,TR#2:2,The high prices you're going to pay is for the view not for the food.,VALUE#PRICES,negative,VALUE,the high prices you 're going to pay is for the view not for the food .,complex_sentence,high price go pay view food,[['price']],[['high']],['VALUE']
7,8,TR#2,TR#2:2,The high prices you're going to pay is for the view not for the food.,VALUE#PRICES,negative,VALUE,the high prices you 're going to pay is for the view not for the food .,complex_sentence,high price go pay view food,[['price']],[['high']],['VALUE']
8,9,TR#2,TR#2:2,The high prices you're going to pay is for the view not for the food.,VALUE#PRICES,negative,VALUE,the high prices you 're going to pay is for the view not for the food .,complex_sentence,high price go pay view food,[['price']],[['high']],['VALUE']
9,10,TR#2,TR#2:2,The high prices you're going to pay is for the view not for the food.,VALUE#PRICES,negative,VALUE,the high prices you 're going to pay is for the view not for the food .,complex_sentence,high price go pay view food,[['price']],[['high']],['VALUE']
10,11,TR#2,TR#2:2,The high prices you're going to pay is for the view not for the food.,VALUE#PRICES,negative,VALUE,the high prices you 're going to pay is for the view not for the food .,complex_sentence,high price go pay view food,[['price']],[['high']],['VALUE']
11,12,TR#2,TR#2:2,The high prices you're going to pay is for the view not for the food.,VALUE#PRICES,negative,VALUE,the high prices you 're going to pay is for the view not for the food .,complex_sentence,high price go pay view food,[['price']],[['high']],['VALUE']
