,index,sentence,lambda,raw_aspect,aspect,sentiment
0,0,i recently purchased the canon powershot g3 and am extremely satisfied with the purchase . ,"CC(satisfied_VB_P_1(purchase_NN_N_0),purchased_VB_N_0(canon+powershot+g3_NN_N_0),i_LS_N_0)",[],[],[]
1,1,"the camera is very easy to use , in fact on a recent trip this past week i was asked to take a picture of a vacationing elderly group . ","was_VB_N_0(asked_VB_N_0(take_VB_N_0(picture_NN_P_1)),seq(week_NN_N_0,trip_NN_N_0),i_FW_N_0,fact_NN_N_0(\X.use_VB_N_0(X)),camera_NN_N_0)",['picture_NN_P_1'],['picture'],[1]
2,2,"after i took their picture with their camera , they offered to take a picture of us . ","camera_NN_N_0(took_VB_N_0(picture_NN_N_0),i_FW_N_0,offered_VB_N_0(take_VB_N_0(picture_NN_N_0),they_PRP_N_0))",[],[],[]
3,4,they fired away and the picture turned out quite nicely . ( as all of my pictures have thusfar ) . ,"CC(have_VB_N_0(\x.x,\x.x,\X.turned_VB_N_0(X),picture_NN_N_0),fired_VB_N_0(they_PRP_N_0))",[],[],[]
4,5,a few of my work constituants owned the g2 and highly recommended the canon for picture quality . ,"CC(recommended_VB_P_1(seq(picture+quality_NN_N_0,canon_NN_N_0)),owned_VB_N_0(g2_NN_N_0),few_JJ_N_0)",[],[],[]
5,6,i 'm easily enlarging pictures to 8 1/2 x 11 with no visable loss in picture quality and not even using the best possible setting as yet ( super fine ) . ,"am_VB_N_0(CC(using_VB_N_0(setting_NN_P_1),seq(picture+quality_NN_N_0,loss_NN_N_0,x_NN_N_0(\x.x,enlarging_VB_N_0(pictures_NNS_N_0)))),i_FW_N_0)",['setting_NN_P_1'],['setting'],[1]
6,7,"ensure you get a larger flash , 128 or 256 , some are selling with the larger flash , 32mb will do in a pinch but you 'll quickly want a larger flash card as with any of the 4mp cameras . ","CC(ll_VB_N_0(want_VB_N_0(flash+card_NN_N_0),you_PRP_N_0),ensure_VB_N_0(get_VB_N_0(are_VB_N_0(pinch_NN_Ne_1(\X.do_VB_N_0(X),flash_NN_N_0,\x.x,\X.selling_VB_N_0(X)),flash_NN_N_0,CC(\x.x,\x.x)),you_PRP_N_0)))",['pinch_NN_Ne_1'],['pinch'],[0]
7,9,i 'd highly recommend this camera for anyone who is looking for excellent quality pictures and a combination of ease of use and the flexibility to get advanced with many options to adjust if you like . ,"d_FW_N_0(is_VB_N_0(looking_VB_N_0(CC(get_VB_N_0(you_PRP_N_0(\X.adjust_VB_N_0(X),options_NNS_N_0,\X.advanced_VB_P_1(X)),flexibility_NN_P_1),CC(combination_NN_N_0,seq(quality_NN_P_1,pictures_NNS_N_0)))),anyone_NN_N_0,recommend_VB_P_1(camera_NN_N_0)),i_FW_N_0)","['flexibility_NN_P_1', 'quality_NN_P_1']","['flexibility', 'quality']","[1, 1]"
8,10,great job canon ! ,job+canon_NN_P_1,['job+canon_NN_P_1'],['job canon'],[1]
9,11,yep . ,yep_NN_N_0,[],[],[]
