,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,reviewID,sentenceID,review,category,polarity,entity,preprocessed_sentence,type_sentence,preprocessed_sentence_lemma,aspect_prediction,opinion_term_prediction,entity_prediction,opinion_prediction
0,0,0,18,TM#7,TM#7:0,Bad food and high prices,"FOOD#QUALITY,VALUE#PRICES","negative,negative","FOOD,VALUE",bad food and high prices,phrase,bad food high price,"[['food'], ['price']]","[['bad'], ['high']]","['FOOD', 'VALUE']","['positive', 'negative']"
15,15,15,34,TR#5,TR#5:6,"Price is high but the food is good, so I would come back again.","FOOD#QUALITY,VALUE#PRICES","positive,negative","FOOD,VALUE","price is high but the food is good , so i would come back again .",compound_sentence,price high food good would come back,"[['price'], ['food']]","[['high'], ['good']]","['VALUE', 'FOOD']","['negative', 'positive']"
16,16,16,36,BzG#2,BzG#2:1,"The food is flavorful, plentiful and reasonably price.","FOOD#QUALITY,FOOD#STYLE_OPTIONS,VALUE#PRICES","positive,positive,positive","FOOD,FOOD,VALUE","the food is flavorful , plentiful and reasonably price .",compound_sentence,food flavorful plentiful reasonably price,"[['food'], ['price']]","[['flavorful', 'plentiful'], ['reasonably']]","['FOOD', 'VALUE']","['negative', 'positive']"
17,17,17,39,BzG#2,BzG#2:1,"The food is flavorful, plentiful and reasonably price.","FOOD#QUALITY,FOOD#STYLE_OPTIONS,VALUE#PRICES","positive,positive,positive","FOOD,FOOD,VALUE","the food is flavorful , plentiful and reasonably price .",compound_sentence,food flavorful plentiful reasonably price,"[['food'], ['price']]","[['flavorful', 'plentiful'], ['reasonably']]","['FOOD', 'VALUE']","['negative', 'positive']"
18,18,18,42,BzG#2,BzG#2:1,"The food is flavorful, plentiful and reasonably price.","FOOD#QUALITY,FOOD#STYLE_OPTIONS,VALUE#PRICES","positive,positive,positive","FOOD,FOOD,VALUE","the food is flavorful , plentiful and reasonably price .",compound_sentence,food flavorful plentiful reasonably price,"[['food'], ['price']]","[['flavorful', 'plentiful'], ['reasonably']]","['FOOD', 'VALUE']","['negative', 'positive']"
19,19,19,45,BzG#2,BzG#2:1,"The food is flavorful, plentiful and reasonably price.","FOOD#QUALITY,FOOD#STYLE_OPTIONS,VALUE#PRICES","positive,positive,positive","FOOD,FOOD,VALUE","the food is flavorful , plentiful and reasonably price .",compound_sentence,food flavorful plentiful reasonably price,"[['food'], ['price']]","[['flavorful', 'plentiful'], ['reasonably']]","['FOOD', 'VALUE']","['negative', 'positive']"
20,20,20,48,BzG#2,BzG#2:1,"The food is flavorful, plentiful and reasonably price.","FOOD#QUALITY,FOOD#STYLE_OPTIONS,VALUE#PRICES","positive,positive,positive","FOOD,FOOD,VALUE","the food is flavorful , plentiful and reasonably price .",compound_sentence,food flavorful plentiful reasonably price,"[['food'], ['price']]","[['flavorful', 'plentiful'], ['reasonably']]","['FOOD', 'VALUE']","['negative', 'positive']"
21,21,21,51,BzG#2,BzG#2:1,"The food is flavorful, plentiful and reasonably price.","FOOD#QUALITY,FOOD#STYLE_OPTIONS,VALUE#PRICES","positive,positive,positive","FOOD,FOOD,VALUE","the food is flavorful , plentiful and reasonably price .",compound_sentence,food flavorful plentiful reasonably price,"[['food'], ['price']]","[['flavorful', 'plentiful'], ['reasonably']]","['FOOD', 'VALUE']","['negative', 'positive']"
22,22,22,54,BzG#2,BzG#2:1,"The food is flavorful, plentiful and reasonably price.","FOOD#QUALITY,FOOD#STYLE_OPTIONS,VALUE#PRICES","positive,positive,positive","FOOD,FOOD,VALUE","the food is flavorful , plentiful and reasonably price .",compound_sentence,food flavorful plentiful reasonably price,"[['food'], ['price']]","[['flavorful', 'plentiful'], ['reasonably']]","['FOOD', 'VALUE']","['negative', 'positive']"
23,23,23,57,BzG#2,BzG#2:1,"The food is flavorful, plentiful and reasonably price.","FOOD#QUALITY,FOOD#STYLE_OPTIONS,VALUE#PRICES","positive,positive,positive","FOOD,FOOD,VALUE","the food is flavorful , plentiful and reasonably price .",compound_sentence,food flavorful plentiful reasonably price,"[['food'], ['price']]","[['flavorful', 'plentiful'], ['reasonably']]","['FOOD', 'VALUE']","['negative', 'positive']"
