,id,review,opinion,label,predict,predict2
0,1074868:4,the food was well prepared and the service impecable.,prepared,positive,positive,negative
1,1153034:1,"there was a small wait, but shorter than i expected.",small,positive,positive,negative
2,1253117:5,wait staff is blantently unappreciative of your business but its the best pie on the uws!,unappreciative|unappreciative,negative,positive,negative
3,1264954:2,"the chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.",professional,positive,positive,negative
4,1303888:0,all the staff is absolutely professional!!,professional,positive,positive,negative
5,1308557:0,the service was the only thing good about this restaurant.,only,positive,positive,negative
6,1460715:1,service was quick.,quick,positive,positive,negative
7,1632929:4,"when my dessert came, there was a candle in it - not because anyone asked for one - but because the waiter must have seen me opening my birthday card and gift, and said he knew it was a special occassion of some sort.",special,positive,positive,negative
8,1655521:3,"the wait staff is very freindly, they make it feel like you're eating in a freindly little european town.",little|little|little,positive,positive,negative
9,1662726:1,"a gentleman, maybe the manager, came to our table, and without so much as a smile or greeting asked for our order.",much|much|much,negative,positive,negative
10,493514:0,i cannot imagine a friendlier staff working in a restaurant.,friendlier,positive,positive,negative
11,498657:4,"the wait here is long for dim sum, but if you don't like sharing tables or if the typical raucous dim sum atmosphere is not your gig, this is a sleek (for chinatown) alternative.",long,negative,positive,negative
12,512925:2,"also it's great to have dinner in a very romantic and confortable place, the service it's just perfect...they're so frendly that we never want to live the place!",perfecttheyre,positive,positive,negative
13,536919:1,the only thing the waiters don't do for you is wipe your chin when you leave.,only,positive,positive,negative
