,0,id,review,category,target,term,polarity
0,"we, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.",1004293:1,"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.",SERVICE,staff,|place,negative
1,the food was lousy - too sweet or too salty and the portions tiny.,1004293:3,The food was lousy - too sweet or too salty and the portions tiny.,"FOOD,FOOD","food,portions",food|portions,"negative,negative"
2,"i have eaten at saul, many times, the food is always consistently, outrageously good.",1014458:0,"I have eaten at Saul, many times, the food is always consistently, outrageously good.",FOOD,food,food|times,positive
3,the duck confit is always amazing and the foie gras terrine with figs was out of this world.,1014458:2,The duck confit is always amazing and the foie gras terrine with figs was out of this world.,"FOOD,FOOD","foie gras terrine with figs,duck confit",confit|duck,"positive,positive"
4,the wine list is interesting and has many good values.,1014458:3,The wine list is interesting and has many good values.,"FOOD,PRICES","wine list,wine list",list|wine|values,"positive,positive"
5,ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,1016296:1,Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,SERVICE,cart attendant,,negative
6,chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. ,1016296:4,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. ,"FOOD,FOOD","Chow fun,pork shu mai,NULL",mai|pork|fun|chow|family|shu,"negative,negative,negative"
7,"service was devine, oysters where a sensual as they come, and the price can't be beat!!!",1028246:1,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!","SERVICE,FOOD,PRICES","Service,oysters,NULL",|price,"positive,positive,positive"
8,"everything is always cooked to perfection, the service is excellent, the decor cool and understated.",1032695:1,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.","FOOD,SERVICE,AMBIENCE","NULL,service,decor",service|perfection,"positive,positive,positive"
9,i had the duck breast special on my last visit and it was incredible.,1032695:2,I had the duck breast special on my last visit and it was incredible.,FOOD,duck breast special,|visit,positive
10,"the food is very average...the thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",1041457:2,"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.","FOOD,FOOD,FOOD","food,Thai fusion stuff,NULL",bit|stuff|food|fusion|thing,"negative,negative,negative"
11,the only thing i moderately enjoyed was their grilled chicken special with edamame puree.,1041457:3,The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.,FOOD,Grilled Chicken special with Edamame Puree,|thing|chicken|puree,positive
12,i had never had edamame pureed before but i thought it was innovative and tasty (could've used a bit more salt).,1041457:4,I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).,"FOOD,FOOD","Edamame pureed,Edamame pureed",|salt|bit,"positive,positive"
13,"the decor is night tho...but they really need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.",1041457:6,"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.","AMBIENCE,AMBIENCE,AMBIENCE","place,decor,vent",effort|tho,"negative,positive,negative"
14,"their sake list was extensive, but we were looking for purple haze, which wasn't listed but made for us upon request!",1053543:2,"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!","FOOD,SERVICE","sake list,NULL",|list|sake,"positive,positive"
15,"the spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!",1053543:3,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!","FOOD,FOOD","spicy tuna roll,rock shrimp tempura",roll|spicy|tempura|tuna|appetizer|rock|shrimp,"positive,positive"
16,we went around 9:30 on a friday and it had died down a bit by then so the service was great!,1053543:4,We went around 9:30 on a Friday and it had died down a bit by then so the service was great!,SERVICE,service,bit|service,positive
17,food-awesome.,1055910:2,Food-awesome.,FOOD,Food,,positive
18,service- friendly and attentive.,1055910:3,Service- friendly and attentive.,SERVICE,Service,,positive
19,ambiance- relaxed and stylish.,1055910:4,Ambiance- relaxed and stylish.,AMBIENCE,Ambiance,,positive
20,"however, it's the service that leaves a bad taste in my mouth.",1058221:3,"however, it's the service that leaves a bad taste in my mouth.",SERVICE,service,taste|mouth|service,negative
21,"i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.",1058221:4,"i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.",SERVICE,waiter,waiter|bit|self-respect,negative
22,food is great.,1062641:2,Food is great.,FOOD,Food,food,positive
23,service is top notch.,1062641:3,Service is top notch.,SERVICE,Service,notch|service,positive
24,"i tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.",1064477:0,"I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.",FOOD,sea urchin,,positive
25,the sushi seemed pretty fresh and was adequately proportioned.,1064477:2,The sushi seemed pretty fresh and was adequately proportioned.,"FOOD,FOOD","sushi,sushi",,"positive,positive"
26,the rice to fish ration was also good--they didn't try to overpack the rice.,1064477:3,The rice to fish ration was also good--they didn't try to overpack the rice.,FOOD,rice to fish ration,rice|ration,positive
27,we took advanatage of the half price sushi deal on saturday so it was well worth it.,1064477:4,We took advanatage of the half price sushi deal on saturday so it was well worth it.,"FOOD,PRICES","half price sushi deal,half price sushi deal",,"positive,positive"
28,the food was well prepared and the service impecable.,1074868:4,The food was well prepared and the service impecable.,"FOOD,SERVICE","food,service",|food|impecable,"positive,positive"
29,the prix fixe menu is worth every penny and you get more than enough (both in quantity and quality).,1084394:3,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,"FOOD,FOOD,PRICES","Prix Fixe menu,Prix Fixe menu,Prix Fixe menu",menu|prix|fixe|penny,"positive,positive,positive"
30,"$6 and there is much tasty food, all of it fresh and continually refilled.",1086415:2,"$6 and there is much tasty food, all of it fresh and continually refilled.","FOOD,FOOD,PRICES","food,food,food",food,"positive,positive,positive"
31,"i am not a vegetarian but, almost all the dishes were great.",1086415:3,"I am not a vegetarian but, almost all the dishes were great.",FOOD,dishes,dishes,positive
32,"the food here is rather good, but only if you like to wait for it.",1086478:0,"The food here is rather good, but only if you like to wait for it.","FOOD,SERVICE","food,NULL",food,"positive,negative"
33,"i like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",1086478:1,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.","FOOD,FOOD,FOOD,FOOD,FOOD","somosas,chai,chole,dhosas,dhal",,"positive,positive,positive,negative,negative"
34,"the service varys from day to day- sometimes they're very nice, and sometimes not.",1086478:2,"The service varys from day to day- sometimes they're very nice, and sometimes not.",SERVICE,service,,negative
35,"the kitchen however, is almost always slow.",1086478:3,"The kitchen however, is almost always slow.",SERVICE,kitchen,kitchen,negative
