,id,review,target,label,predict,terms
0,1004293:1,"we, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.",,SERVICE,AMBIENCE|SERVICE,place|staff
1,1004293:3,the food was lousy - too sweet or too salty and the portions tiny.,,"FOOD,FOOD",FOOD,food
2,1014458:0,"i have eaten at saul, many times, the food is always consistently, outrageously good.",,FOOD,FOOD|FOOD|FOOD,food|time|always
3,1014458:2,the duck confit is always amazing and the foie gras terrine with figs was out of this world.,,"FOOD,FOOD",FOOD,always
4,1014458:3,the wine list is interesting and has many good values.,,"FOOD,PRICES",FOOD,wine
5,1014458:4,"for the price, you cannot eat this well in manhattan.",,"PRICES,FOOD",PRICES,price
6,1016296:1,ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,,SERVICE,,
7,1016296:3,"food was okay, nothing great.",,FOOD,FOOD,food
8,1016296:4,chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family.,,"FOOD,FOOD",,
9,1028246:1,"service was devine, oysters where a sensual as they come, and the price can't be beat!!!",,"SERVICE,FOOD,PRICES",PRICES|SERVICE,price|service
10,1032695:1,"everything is always cooked to perfection, the service is excellent, the decor cool and understated.",,"FOOD,SERVICE,AMBIENCE",FOOD|SERVICE,always|service
11,1032695:2,i had the duck breast special on my last visit and it was incredible.,,FOOD,,
12,1041457:2,"the food is very average...the thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",,"FOOD,FOOD,FOOD",FOOD,food
13,1041457:3,the only thing i moderately enjoyed was their grilled chicken special with edamame puree.,,FOOD,,
14,1041457:4,i had never had edamame pureed before but i thought it was innovative and tasty (could've used a bit more salt).,,"FOOD,FOOD",,
15,1041457:6,"the decor is night tho...but they really need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.",,"AMBIENCE,AMBIENCE,AMBIENCE",AMBIENCE|FOOD,place|really
16,1053543:2,"their sake list was extensive, but we were looking for purple haze, which wasn't listed but made for us upon request!",,"FOOD,SERVICE",,
17,1053543:3,"the spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!",,"FOOD,FOOD",,
18,1053543:4,we went around 9:30 on a friday and it had died down a bit by then so the service was great!,,SERVICE,SERVICE,service
19,1055910:2,food-awesome.,,FOOD,FOOD,food
20,1055910:3,service- friendly and attentive.,,SERVICE,SERVICE,service
21,1055910:4,ambiance- relaxed and stylish.,,AMBIENCE,,
22,1058221:2,the food is decent.,,FOOD,FOOD,food
23,1058221:3,"however, it's the service that leaves a bad taste in my mouth.",,SERVICE,SERVICE,service
24,1058221:4,"i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.",,SERVICE,,
25,1062641:2,food is great.,,FOOD,FOOD,food
26,1062641:3,service is top notch.,,SERVICE,SERVICE,service
27,1064477:0,"i tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.",,FOOD,FOOD|FOOD|AMBIENCE,sushi|sushi|restaurant
28,1064477:2,the sushi seemed pretty fresh and was adequately proportioned.,,"FOOD,FOOD",FOOD,sushi
29,1064477:3,the rice to fish ration was also good--they didn't try to overpack the rice.,,FOOD,,
30,1064477:4,we took advanatage of the half price sushi deal on saturday so it was well worth it.,,"FOOD,PRICES",PRICES|FOOD,price|sushi
31,1074868:4,the food was well prepared and the service impecable.,,"FOOD,SERVICE",FOOD|SERVICE,food|service
32,1084394:3,the prix fixe menu is worth every penny and you get more than enough (both in quantity and quality).,,"FOOD,FOOD,PRICES",FOOD,menu
33,1086415:1,"it is terrific, as is the value.",,"FOOD,PRICES",,
34,1086415:2,"$6 and there is much tasty food, all of it fresh and continually refilled.",,"FOOD,FOOD,PRICES",FOOD,food
35,1086415:3,"i am not a vegetarian but, almost all the dishes were great.",,FOOD,FOOD,dish
36,1086478:0,"the food here is rather good, but only if you like to wait for it.",,"FOOD,SERVICE",FOOD,food
37,1086478:1,"i like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",,"FOOD,FOOD,FOOD,FOOD,FOOD",,
38,1086478:2,"the service varys from day to day- sometimes they're very nice, and sometimes not.",,SERVICE,FOOD|FOOD|SERVICE,time|time|service
39,1086478:3,"the kitchen however, is almost always slow.",,SERVICE,AMBIENCE,always
40,1086478:4,"also, specify if you like your food spicy- its rather bland if you don't.",,FOOD,FOOD,food
41,1086478:5,"the ambience is pretty and nice for conversation, so a casual lunch here would probably be best.",,AMBIENCE,FOOD,would
