,Review,Kategori,Polarity,Restaurant,preprocessed_sentence_lemma,preprocessed_sentence,aspect_prediction,opinion_term_prediction,entity_prediction
0,"Still, most authentic food, most authentic Japanese environment","Food, Ambience","positive, positive",Sakana Midplaza,still authentic food authentic japanese environment,"still , most authentic food , most authentic japanese environment","[['food', 'environment']]","[['authentic', 'authentic', 'japanese']]",['FOOD']
1,"Price was totally worth with the overall food quality, quantity & taste",Price,positive,Sakana Midplaza,price totally worth overall food quality quantity taste,"price was totally worth with the overall food quality , quantity taste",[['price']],[['worth']],['PRICE']
2,This resto is good for teriyaki,Food,positive,Sakana Midplaza,resto good teriyaki,this resto is good for teriyaki,[['resto']],[['good']],['FOOD']
3,The price is worthy for your taste,Price,positive,Sakana Midplaza,price worthy taste,the price is worthy for your taste,[['price']],[['worthy']],['PRICE']
4,The foods is very good and very comfortable place,"Food, Ambience","positive, positive",Sakana Midplaza,food good comfortable place,the foods is very good and very comfortable place,"[['food', 'place']]","[['good', 'comfortable']]",['AMBIENCE']
5,Quite authentic and the place is great,Ambience,positive,Sakana Midplaza,quite authentic place great,quite authentic and the place is great,[['place']],"[['authentic', 'great']]",['AMBIENCE']
6,Service is excellent,Service,positive,Sakana Midplaza,service excellent,service is excellent,[['service']],[['excellent']],['SERVICE']
7,Food is great,Food,positive,Sakana Midplaza,food great,food is great,[['food']],[['great']],['FOOD']
8,Ambience is great,Ambience,positive,Sakana Midplaza,ambience great,ambience is great,[['ambience']],[['great']],['AMBIENCE']
9,Great food and ambiance and really worth the price,"Food, Ambience, Price","positive, positive,  positive",Sakana Midplaza,great food ambiance really worth price,great food and ambiance and really worth the price,"[['food', 'ambiance', 'price']]","[['great', 'worth']]",['FOOD']
10,my daughter love the shoyu ramen and keep asking for more,Food,positive,Sakana Midplaza,daughter love shoyu ramen keep ask,my daughter love the shoyu ramen and keep asking for more,"[['daughter', 'shoyu', 'ramen']]","[['love', 'more']]",['FOOD']
11,Great food and nice place to hangout with family and friends,"Food, Ambience","positive, positive",Sakana Midplaza,great food nice place hangout family friend,great food and nice place to hangout with family and friends,"[['food', 'place', 'hangout', 'family', 'friend']]","[['great', 'nice']]",['AMBIENCE']
12,We really love the food and ambience,"Food, Ambience","positive, positive",Sakana Midplaza,really love food ambience,we really love the food and ambience,"[['food', 'ambience']]",[['love']],['FOOD']
13,The service is always great,Service,positive,Sakana Midplaza,service always great,the service is always great,[['service']],[['great']],['SERVICE']
14,The sashimi is fresh,Food,positive,Sakana Midplaza,sashimi fresh,the sashimi is fresh,[['sashimi']],[['fresh']],['FOOD']
15,"saba fish is the best so far, the pork katsu also one of my favourite dish",Food,positive,Sakana Midplaza,saba fish best far pork katsu also one favourite dish,"saba fish is the best so far , the pork katsu also one of my favourite dish","[['saba', 'fish', 'pork', 'katsu', 'dish']]","[['best', 'favourite']]",['FOOD']
16,"clean place, good services","Ambience, Service","positive, positive",Sakana Midplaza,clean place good service,"clean place , good services","[['place'], ['service']]","[['clean'], ['good']]","['AMBIENCE', 'SERVICE']"
17,The foods is very good and very comfortable place,"Food, Ambience","positive, positive",Sakana Midplaza,food good comfortable place,the foods is very good and very comfortable place,"[['food', 'place']]","[['good', 'comfortable']]",['AMBIENCE']
