,id,review,opinion,label,predict
0,1004293:3,the food was lousy - too sweet or too salty and the portions tiny.,lousy,negative,positive
1,1014458:0,"i have eaten at saul, many times, the food is always consistently, outrageously good.",many|good,positive,positive
2,1014458:2,the duck confit is always amazing and the foie gras terrine with figs was out of this world.,amazing,positive,positive
3,1014458:3,the wine list is interesting and has many good values.,good|interesting,positive,positive
4,1016296:4,chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family.,rude,negative,positive
5,1032695:2,i had the duck breast special on my last visit and it was incredible.,special,positive,positive
6,1041457:2,"the food is very average...the thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",averagethe,negative,negative
7,1041457:3,the only thing i moderately enjoyed was their grilled chicken special with edamame puree.,special,positive,positive
8,1041457:4,i had never had edamame pureed before but i thought it was innovative and tasty (could've used a bit more salt).,innovative|innovative,positive,negative
9,1053543:2,"their sake list was extensive, but we were looking for purple haze, which wasn't listed but made for us upon request!",extensive|purple,positive,negative
10,1053543:3,"the spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!",great|good,positive,positive
11,1055910:2,food-awesome.,awesome,positive,negative
12,1062641:2,food is great.,great|great,positive,positive
13,1064477:0,"i tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.",heavenly,positive,negative
14,1064477:2,the sushi seemed pretty fresh and was adequately proportioned.,fresh,positive,positive
15,1064477:3,the rice to fish ration was also good--they didn't try to overpack the rice.,good,positive,positive
16,1074868:4,the food was well prepared and the service impecable.,prepared|prepared,positive,positive
17,1084394:3,the prix fixe menu is worth every penny and you get more than enough (both in quantity and quality).,worth,positive,positive
18,1086415:2,"$6 and there is much tasty food, all of it fresh and continually refilled.",tasty,positive,positive
19,1086415:3,"i am not a vegetarian but, almost all the dishes were great.",great|great,positive,positive
20,1086478:0,"the food here is rather good, but only if you like to wait for it.",good|good|good,positive,positive
21,1086478:1,"i like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",dissapointing,positive,negative
22,1086478:4,"also, specify if you like your food spicy- its rather bland if you don't.",bland|bland,negative,negative
23,1090587:2,add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,great|great|great|great|great|great|great|great|great|great,positive,positive
24,1090587:3,the lava cake dessert was incredible and i recommend it.,incredible|incredible|incredible,positive,positive
25,1118167:2,the pizza was delivered cold and the cheese wasn't even fully melted!,cold|cold,negative,negative
26,1119578:1,the pizza is overpriced and soggy.,soggy|soggy,negative,positive
27,1119578:2,"yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",good|good|fancy|good,negative,positive
28,1123262:0,i think i've had some the best meals of my life at minnow.,best,positive,negative
29,1123262:1,"the seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",great|good|amazing|good|great|great,positive,positive
30,1123262:2,the combination of super-fresh ingredients in the dishes are unusual but really delicious.,delicious|unusual|delicious,positive,positive
31,1125006:1,best pastrami i ever had and great portion without being ridiculous.,great|great,positive,positive
32,1125006:3,my wife had the fried shrimp which are huge and loved it.,fried|fried,positive,positive
33,1125284:2,"the signs, the specials menus, food, and even all the waitstaff are all totally japanese.",japanese|japanese|japanese|japanese,positive,negative
34,1126814:0,"leon is an east village gem: casual but hip, with well prepared basic french bistro fare, good specials, a warm and lively atmosphere.",good|prepared|good,positive,positive
35,1126886:2,"the service is excellent, the decor is great, and the food is delicious and comes in large portions.",great|delicious|delicious,positive,positive
