,id,review,label,pred_single,pred_multiple,terms
0,0,"i am not necessarily fanatical about this place, but it was a fun time for low prices.",VALUE,VALUE,VALUE|VALUE|VALUE|VALUE,rice|place|time|price
1,2,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE,VALUE|FOOD|VALUE|VALUE|VALUE|VALUE,rice|food|price|high|view|going
2,3,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE,VALUE|FOOD|VALUE|VALUE|VALUE|VALUE,rice|food|price|high|view|going
3,4,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE,VALUE|FOOD|VALUE|VALUE|VALUE|VALUE,rice|food|price|high|view|going
4,5,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE,VALUE|FOOD|VALUE|VALUE|VALUE|VALUE,rice|food|price|high|view|going
5,6,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE,VALUE|FOOD|VALUE|VALUE|VALUE|VALUE,rice|food|price|high|view|going
6,7,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE,VALUE|FOOD|VALUE|VALUE|VALUE|VALUE,rice|food|price|high|view|going
7,8,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE,VALUE|FOOD|VALUE|VALUE|VALUE|VALUE,rice|food|price|high|view|going
8,9,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE,VALUE|FOOD|VALUE|VALUE|VALUE|VALUE,rice|food|price|high|view|going
9,10,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE,VALUE|FOOD|VALUE|VALUE|VALUE|VALUE,rice|food|price|high|view|going
10,11,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE,VALUE|FOOD|VALUE|VALUE|VALUE|VALUE,rice|food|price|high|view|going
11,12,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE,VALUE|FOOD|VALUE|VALUE|VALUE|VALUE,rice|food|price|high|view|going
12,13,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE,VALUE|FOOD|VALUE|VALUE|VALUE|VALUE,rice|food|price|high|view|going
13,14,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE,VALUE|FOOD|VALUE|VALUE|VALUE|VALUE,rice|food|price|high|view|going
14,15,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE,VALUE|FOOD|VALUE|VALUE|VALUE|VALUE,rice|food|price|high|view|going
15,16,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE,VALUE|FOOD|VALUE|VALUE|VALUE|VALUE,rice|food|price|high|view|going
16,17,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE,VALUE|FOOD|VALUE|VALUE|VALUE|VALUE,rice|food|price|high|view|going
17,18,bad food and high prices,FOOD|VALUE,VALUE,VALUE|FOOD|VALUE|VALUE,rice|food|price|high
18,19,bad food and high prices,FOOD|VALUE,VALUE,VALUE|FOOD|VALUE|VALUE,rice|food|price|high
19,20,bad food and high prices,FOOD|VALUE,VALUE,VALUE|FOOD|VALUE|VALUE,rice|food|price|high
