,id,review,category,term
0,0,"i am not necessarily fanatical about this place, but it was a fun time for low prices.",VALUE,price|place|time|u|rice|
1,2,the high prices you're going to pay is for the view not for the food.,VALUE,food|high|price|pay|going|view|u|rice|
2,3,the high prices you're going to pay is for the view not for the food.,VALUE,food|high|price|pay|going|view|u|rice|
3,4,the high prices you're going to pay is for the view not for the food.,VALUE,food|high|price|pay|going|view|u|rice|
4,5,the high prices you're going to pay is for the view not for the food.,VALUE,food|high|price|pay|going|view|u|rice|
5,6,the high prices you're going to pay is for the view not for the food.,VALUE,food|high|price|pay|going|view|u|rice|
6,7,the high prices you're going to pay is for the view not for the food.,VALUE,food|high|price|pay|going|view|u|rice|
7,8,the high prices you're going to pay is for the view not for the food.,VALUE,food|high|price|pay|going|view|u|rice|
8,9,the high prices you're going to pay is for the view not for the food.,VALUE,food|high|price|pay|going|view|u|rice|
9,10,the high prices you're going to pay is for the view not for the food.,VALUE,food|high|price|pay|going|view|u|rice|
10,11,the high prices you're going to pay is for the view not for the food.,VALUE,food|high|price|pay|going|view|u|rice|
11,12,the high prices you're going to pay is for the view not for the food.,VALUE,food|high|price|pay|going|view|u|rice|
12,13,the high prices you're going to pay is for the view not for the food.,VALUE,food|high|price|pay|going|view|u|rice|
13,14,the high prices you're going to pay is for the view not for the food.,VALUE,food|high|price|pay|going|view|u|rice|
14,15,the high prices you're going to pay is for the view not for the food.,VALUE,food|high|price|pay|going|view|u|rice|
15,16,the high prices you're going to pay is for the view not for the food.,VALUE,food|high|price|pay|going|view|u|rice|
16,17,the high prices you're going to pay is for the view not for the food.,VALUE,food|high|price|pay|going|view|u|rice|
17,18,bad food and high prices,FOOD|VALUE,food|high|price|bad|rice|
18,19,bad food and high prices,FOOD|VALUE,food|high|price|bad|rice|
19,20,bad food and high prices,FOOD|VALUE,food|high|price|bad|rice|
20,21,bad food and high prices,FOOD|VALUE,food|high|price|bad|rice|
21,22,bad food and high prices,FOOD|VALUE,food|high|price|bad|rice|
22,23,bad food and high prices,FOOD|VALUE,food|high|price|bad|rice|
23,24,bad food and high prices,FOOD|VALUE,food|high|price|bad|rice|
24,25,bad food and high prices,FOOD|VALUE,food|high|price|bad|rice|
25,26,bad food and high prices,FOOD|VALUE,food|high|price|bad|rice|
26,27,bad food and high prices,FOOD|VALUE,food|high|price|bad|rice|
27,28,bad food and high prices,FOOD|VALUE,food|high|price|bad|rice|
28,29,bad food and high prices,FOOD|VALUE,food|high|price|bad|rice|
29,30,bad food and high prices,FOOD|VALUE,food|high|price|bad|rice|
30,31,bad food and high prices,FOOD|VALUE,food|high|price|bad|rice|
31,32,bad food and high prices,FOOD|VALUE,food|high|price|bad|rice|
32,33,prices are fair across the board for both food and bev.,VALUE|VALUE,food|price|rice|
33,34,"price is high but the food is good, so i would come back again.",FOOD|VALUE,food|high|price|would|good|u|rice|
34,35,"great place, great value.",AMBIENCE|VALUE,great|place|u|value|
35,36,"the food is not flavorful, not plentiful and not reasonably price.",FOOD|FOOD|VALUE,food|price|reasonably|flavorful|plentiful|u|rice|
36,37,the atmosphere is relaxed and casual.,AMBIENCE,relaxed|atmosphere|casual|u|
37,38,"great place, great value.",AMBIENCE|VALUE,great|place|u|value|
38,39,"the food is not flavorful, not plentiful and not reasonably price.",FOOD|FOOD|VALUE,food|price|reasonably|flavorful|plentiful|u|rice|
39,40,the atmosphere is relaxed and casual.,AMBIENCE,relaxed|atmosphere|casual|u|
40,41,"great place, great value.",AMBIENCE|VALUE,great|place|u|value|
41,42,"the food is not flavorful, not plentiful and not reasonably price.",FOOD|FOOD|VALUE,food|price|reasonably|flavorful|plentiful|u|rice|
42,43,the atmosphere is relaxed and casual.,AMBIENCE,relaxed|atmosphere|casual|u|
43,44,"great place, great value.",AMBIENCE|VALUE,great|place|u|value|
44,45,"the food is not flavorful, not plentiful and not reasonably price.",FOOD|FOOD|VALUE,food|price|reasonably|flavorful|plentiful|u|rice|
45,46,the atmosphere is relaxed and casual.,AMBIENCE,relaxed|atmosphere|casual|u|
46,47,"great place, great value.",AMBIENCE|VALUE,great|place|u|value|
47,48,"the food is not flavorful, not plentiful and not reasonably price.",FOOD|FOOD|VALUE,food|price|reasonably|flavorful|plentiful|u|rice|
48,49,the atmosphere is relaxed and casual.,AMBIENCE,relaxed|atmosphere|casual|u|
49,50,"great place, great value.",AMBIENCE|VALUE,great|place|u|value|
50,51,"the food is not flavorful, not plentiful and not reasonably price.",FOOD|FOOD|VALUE,food|price|reasonably|flavorful|plentiful|u|rice|
51,52,the atmosphere is relaxed and casual.,AMBIENCE,relaxed|atmosphere|casual|u|
52,53,"great place, great value.",AMBIENCE|VALUE,great|place|u|value|
53,54,"the food is not flavorful, not plentiful and not reasonably price.",FOOD|FOOD|VALUE,food|price|reasonably|flavorful|plentiful|u|rice|
54,55,the atmosphere is relaxed and casual.,AMBIENCE,relaxed|atmosphere|casual|u|
55,56,"great place, great value.",AMBIENCE|VALUE,great|place|u|value|
56,57,"the food is not flavorful, not plentiful and not reasonably price.",FOOD|FOOD|VALUE,food|price|reasonably|flavorful|plentiful|u|rice|
57,58,the atmosphere is relaxed and casual.,AMBIENCE,relaxed|atmosphere|casual|u|
58,59,"great place, great value.",AMBIENCE|VALUE,great|place|u|value|
59,60,"the food is not flavorful, not plentiful and not reasonably price.",FOOD|FOOD|VALUE,food|price|reasonably|flavorful|plentiful|u|rice|
60,61,the atmosphere is relaxed and casual.,AMBIENCE,relaxed|atmosphere|casual|u|
61,62,"great place, great value.",AMBIENCE|VALUE,great|place|u|value|
62,63,"the food is not flavorful, not plentiful and not reasonably price.",FOOD|FOOD|VALUE,food|price|reasonably|flavorful|plentiful|u|rice|
63,64,the atmosphere is relaxed and casual.,AMBIENCE,relaxed|atmosphere|casual|u|
