,Unnamed: 0,reviewID,sentenceID,review,category,polarity,entity,preprocessed_sentence,type_sentence,preprocessed_sentence_lemma,aspect_prediction,opinion_term_prediction,entity_prediction,opinion_prediction
0,0,RL#3,RL#3:1,"I am not necessarily fanatical about this place, but it was a fun time for low prices.",VALUE#PRICES,positive,VALUE,"i am not necessarily fanatical about this place , but it was a fun time for low prices .",compound_sentence,necessarily fanatical place fun time low price,"[['place'], ['time', 'price']]","[['fanatical'], ['fun', 'low']]","['AMBIENCE', 'VALUE']","['negative', 'positive']"
1,35,BzG#2,BzG#2:0,"Great place, great value.","AMBIENCE#GENERAL,VALUE#PRICES","positive,positive","AMBIENCE,VALUE","great place , great value .",phrase,great place great value,"[['place'], ['value']]","[['great'], ['great']]","['AMBIENCE', 'VALUE']","['positive', 'positive']"
2,37,BzG#2,BzG#2:2,The atmosphere is relaxed and casual.,AMBIENCE#GENERAL,positive,AMBIENCE,the atmosphere is relaxed and casual .,simple_sentence,atmosphere relax casual,"[['atmosphere', 'casual']]",[['relax']],['AMBIENCE'],['positive']
3,38,BzG#2,BzG#2:0,"Great place, great value.","AMBIENCE#GENERAL,VALUE#PRICES","positive,positive","AMBIENCE,VALUE","great place , great value .",phrase,great place great value,"[['place'], ['value']]","[['great'], ['great']]","['AMBIENCE', 'VALUE']","['positive', 'positive']"
4,40,BzG#2,BzG#2:2,The atmosphere is relaxed and casual.,AMBIENCE#GENERAL,positive,AMBIENCE,the atmosphere is relaxed and casual .,simple_sentence,atmosphere relax casual,"[['atmosphere', 'casual']]",[['relax']],['AMBIENCE'],['positive']
5,41,BzG#2,BzG#2:0,"Great place, great value.","AMBIENCE#GENERAL,VALUE#PRICES","positive,positive","AMBIENCE,VALUE","great place , great value .",phrase,great place great value,"[['place'], ['value']]","[['great'], ['great']]","['AMBIENCE', 'VALUE']","['positive', 'positive']"
6,43,BzG#2,BzG#2:2,The atmosphere is relaxed and casual.,AMBIENCE#GENERAL,positive,AMBIENCE,the atmosphere is relaxed and casual .,simple_sentence,atmosphere relax casual,"[['atmosphere', 'casual']]",[['relax']],['AMBIENCE'],['positive']
7,44,BzG#2,BzG#2:0,"Great place, great value.","AMBIENCE#GENERAL,VALUE#PRICES","positive,positive","AMBIENCE,VALUE","great place , great value .",phrase,great place great value,"[['place'], ['value']]","[['great'], ['great']]","['AMBIENCE', 'VALUE']","['positive', 'positive']"
8,46,BzG#2,BzG#2:2,The atmosphere is relaxed and casual.,AMBIENCE#GENERAL,positive,AMBIENCE,the atmosphere is relaxed and casual .,simple_sentence,atmosphere relax casual,"[['atmosphere', 'casual']]",[['relax']],['AMBIENCE'],['positive']
9,47,BzG#2,BzG#2:0,"Great place, great value.","AMBIENCE#GENERAL,VALUE#PRICES","positive,positive","AMBIENCE,VALUE","great place , great value .",phrase,great place great value,"[['place'], ['value']]","[['great'], ['great']]","['AMBIENCE', 'VALUE']","['positive', 'positive']"
10,49,BzG#2,BzG#2:2,The atmosphere is relaxed and casual.,AMBIENCE#GENERAL,positive,AMBIENCE,the atmosphere is relaxed and casual .,simple_sentence,atmosphere relax casual,"[['atmosphere', 'casual']]",[['relax']],['AMBIENCE'],['positive']
11,50,BzG#2,BzG#2:0,"Great place, great value.","AMBIENCE#GENERAL,VALUE#PRICES","positive,positive","AMBIENCE,VALUE","great place , great value .",phrase,great place great value,"[['place'], ['value']]","[['great'], ['great']]","['AMBIENCE', 'VALUE']","['positive', 'positive']"
12,52,BzG#2,BzG#2:2,The atmosphere is relaxed and casual.,AMBIENCE#GENERAL,positive,AMBIENCE,the atmosphere is relaxed and casual .,simple_sentence,atmosphere relax casual,"[['atmosphere', 'casual']]",[['relax']],['AMBIENCE'],['positive']
13,53,BzG#2,BzG#2:0,"Great place, great value.","AMBIENCE#GENERAL,VALUE#PRICES","positive,positive","AMBIENCE,VALUE","great place , great value .",phrase,great place great value,"[['place'], ['value']]","[['great'], ['great']]","['AMBIENCE', 'VALUE']","['positive', 'positive']"
14,55,BzG#2,BzG#2:2,The atmosphere is relaxed and casual.,AMBIENCE#GENERAL,positive,AMBIENCE,the atmosphere is relaxed and casual .,simple_sentence,atmosphere relax casual,"[['atmosphere', 'casual']]",[['relax']],['AMBIENCE'],['positive']
15,56,BzG#2,BzG#2:0,"Great place, great value.","AMBIENCE#GENERAL,VALUE#PRICES","positive,positive","AMBIENCE,VALUE","great place , great value .",phrase,great place great value,"[['place'], ['value']]","[['great'], ['great']]","['AMBIENCE', 'VALUE']","['positive', 'positive']"
16,58,BzG#2,BzG#2:2,The atmosphere is relaxed and casual.,AMBIENCE#GENERAL,positive,AMBIENCE,the atmosphere is relaxed and casual .,simple_sentence,atmosphere relax casual,"[['atmosphere', 'casual']]",[['relax']],['AMBIENCE'],['positive']
17,59,BzG#2,BzG#2:0,"Great place, great value.","AMBIENCE#GENERAL,VALUE#PRICES","positive,positive","AMBIENCE,VALUE","great place , great value .",phrase,great place great value,"[['place'], ['value']]","[['great'], ['great']]","['AMBIENCE', 'VALUE']","['positive', 'positive']"
18,61,BzG#2,BzG#2:2,The atmosphere is relaxed and casual.,AMBIENCE#GENERAL,positive,AMBIENCE,the atmosphere is relaxed and casual .,simple_sentence,atmosphere relax casual,"[['atmosphere', 'casual']]",[['relax']],['AMBIENCE'],['positive']
19,62,BzG#2,BzG#2:0,"Great place, great value.","AMBIENCE#GENERAL,VALUE#PRICES","positive,positive","AMBIENCE,VALUE","great place , great value .",phrase,great place great value,"[['place'], ['value']]","[['great'], ['great']]","['AMBIENCE', 'VALUE']","['positive', 'positive']"
20,64,BzG#2,BzG#2:2,The atmosphere is relaxed and casual.,AMBIENCE#GENERAL,positive,AMBIENCE,the atmosphere is relaxed and casual .,simple_sentence,atmosphere relax casual,"[['atmosphere', 'casual']]",[['relax']],['AMBIENCE'],['positive']
21,65,BzG#2,BzG#2:0,"Great place, great value.","AMBIENCE#GENERAL,VALUE#PRICES","positive,positive","AMBIENCE,VALUE","great place , great value .",phrase,great place great value,"[['place'], ['value']]","[['great'], ['great']]","['AMBIENCE', 'VALUE']","['positive', 'positive']"
22,67,BzG#2,BzG#2:2,The atmosphere is relaxed and casual.,AMBIENCE#GENERAL,positive,AMBIENCE,the atmosphere is relaxed and casual .,simple_sentence,atmosphere relax casual,"[['atmosphere', 'casual']]",[['relax']],['AMBIENCE'],['positive']
23,68,BzG#2,BzG#2:0,"Great place, great value.","AMBIENCE#GENERAL,VALUE#PRICES","positive,positive","AMBIENCE,VALUE","great place , great value .",phrase,great place great value,"[['place'], ['value']]","[['great'], ['great']]","['AMBIENCE', 'VALUE']","['positive', 'positive']"
24,70,BzG#2,BzG#2:2,The atmosphere is relaxed and casual.,AMBIENCE#GENERAL,positive,AMBIENCE,the atmosphere is relaxed and casual .,simple_sentence,atmosphere relax casual,"[['atmosphere', 'casual']]",[['relax']],['AMBIENCE'],['positive']
25,71,BzG#2,BzG#2:0,"Great place, great value.","AMBIENCE#GENERAL,VALUE#PRICES","positive,positive","AMBIENCE,VALUE","great place , great value .",phrase,great place great value,"[['place'], ['value']]","[['great'], ['great']]","['AMBIENCE', 'VALUE']","['positive', 'positive']"
26,73,BzG#2,BzG#2:2,The atmosphere is relaxed and casual.,AMBIENCE#GENERAL,positive,AMBIENCE,the atmosphere is relaxed and casual .,simple_sentence,atmosphere relax casual,"[['atmosphere', 'casual']]",[['relax']],['AMBIENCE'],['positive']
27,74,BzG#2,BzG#2:0,"Great place, great value.","AMBIENCE#GENERAL,VALUE#PRICES","positive,positive","AMBIENCE,VALUE","great place , great value .",phrase,great place great value,"[['place'], ['value']]","[['great'], ['great']]","['AMBIENCE', 'VALUE']","['positive', 'positive']"
28,76,BzG#2,BzG#2:2,The atmosphere is relaxed and casual.,AMBIENCE#GENERAL,positive,AMBIENCE,the atmosphere is relaxed and casual .,simple_sentence,atmosphere relax casual,"[['atmosphere', 'casual']]",[['relax']],['AMBIENCE'],['positive']
29,77,BzG#2,BzG#2:0,"Great place, great value.","AMBIENCE#GENERAL,VALUE#PRICES","positive,positive","AMBIENCE,VALUE","great place , great value .",phrase,great place great value,"[['place'], ['value']]","[['great'], ['great']]","['AMBIENCE', 'VALUE']","['positive', 'positive']"
30,79,BzG#2,BzG#2:2,The atmosphere is relaxed and casual.,AMBIENCE#GENERAL,positive,AMBIENCE,the atmosphere is relaxed and casual .,simple_sentence,atmosphere relax casual,"[['atmosphere', 'casual']]",[['relax']],['AMBIENCE'],['positive']
31,80,BzG#2,BzG#2:0,"Great place, great value.","AMBIENCE#GENERAL,VALUE#PRICES","positive,positive","AMBIENCE,VALUE","great place , great value .",phrase,great place great value,"[['place'], ['value']]","[['great'], ['great']]","['AMBIENCE', 'VALUE']","['positive', 'positive']"
