,id,review,opinion,label,predict
0,1004293:1,"we, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.",empty|empty,negative,negative
1,1016296:1,ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,ive|ive,negative,negative
2,1028246:1,"service was devine, oysters where a sensual as they come, and the price can't be beat!!!",sensual,positive,negative
3,1032695:1,"everything is always cooked to perfection, the service is excellent, the decor cool and understated.",excellent,positive,positive
4,1053543:2,"their sake list was extensive, but we were looking for purple haze, which wasn't listed but made for us upon request!",extensive|purple,positive,negative
5,1053543:4,we went around 9:30 on a friday and it had died down a bit by then so the service was great!,great,positive,positive
6,1055910:3,service- friendly and attentive.,friendly|friendly,positive,positive
7,1058221:3,"however, it's the service that leaves a bad taste in my mouth.",bad,negative,negative
8,1058221:4,"i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.",bad,negative,negative
9,1062641:3,service is top notch.,top,positive,positive
10,1074868:4,the food was well prepared and the service impecable.,prepared,positive,negative
11,1086478:0,"the food here is rather good, but only if you like to wait for it.",good,negative,positive
12,1086478:2,"the service varys from day to day- sometimes they're very nice, and sometimes not.",nice,negative,positive
13,1090587:2,add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,great,positive,positive
14,1125284:2,"the signs, the specials menus, food, and even all the waitstaff are all totally japanese.",japanese|japanese,positive,negative
15,1126814:1,"my wife and i always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story.",friendly|friendly,positive,positive
16,1126886:2,"the service is excellent, the decor is great, and the food is delicious and comes in large portions.",excellent,positive,positive
17,1138996:1,"we have been to this place many times, and always have great food, wine, and service.",great,positive,positive
18,1138996:2,"we were worried we would have trouble getting in, but somehow managed to have a short wait.",short,positive,negative
19,1138996:4,"when we sat, we got great and fast service.",fast,positive,positive
20,1138996:5,the people that work there are always so friendly you forget you are in new york sometimes.,friendly,positive,positive
21,1147211:2,the waitress was very patient with us and the food is phenomenal!,patient,positive,positive
22,1147211:3,"service was prompt, friendly and great.",prompt|friendly,positive,positive
23,1153034:0,great pizza and fantastic service.,fantastic,positive,positive
24,1153034:1,"there was a small wait, but shorter than i expected.",small,positive,negative
25,1189674:1,"the food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.",prompt,positive,positive
26,1199480:2,i'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,nice,positive,positive
