,0,aspect,prediction
0,"this is an edited review , now that i have had time to use the device . ",,
1,"while , there are flaws with the machine , the xtra gets five stars because of its affordability . ",affordability!+,
2,it is the most bang-for-the-buck out there . ,bang-for-the-buck!+,
3,"like it 's predecessor , the quickly revised nx , this player boasts a decent size and weight , a relatively-intuitive navigational system that categorizes based on id3 tags , and excellent sound ( widely known to be better than ipod - not surprising considering the number of years creative has been in the audio peripheral business ) . ",size!+|sound!+,predecessor!like|weight!decent|size!decent|system!decent|business!size|nx!size|sound!surprising|player!nx|number!creative
4,"the xtra improves upon the zen nx with a larger , now-blue backlit screen , which is infinitely better . ",screen!+,xtra!improves|screen!now-blue|nx!xtra
5,"further , the xtra doubles the maximum filecount capacity to 16000 mp3 . ",,|xtra!further|capacity!xtra|mp3!further
6,this is especially useful for those who listen mostly to pop music and store all those short ditties . ,,
7,"when compared to the ipod the zen xtra falls short , but only by a bit . ",,xtra!falls|zen!falls|bit!only|ipod!xtra
8,"yes the ipod is smaller , but not $ 200 worth , which is the premium you 'll pay for an equivalent capacity model . ",,|model!equivalent|capacity!equivalent
9,"yes , the ipod looks in tune with the carefully articulated urban-hipster persona thats become popular as of late , but sure-as-hell is n't worth the $ 200 premium ( unless you are just dying to match your music player with that volkswagen beetle and urban outfitters wardrobe ) . ",,sure-as-hell!worth|player!dying|premium!worth
10,"for me , i 'll save that cash for another purchase . ",,
11,"before i decided to get this player , i did my research . ",,
12,"i looked up the ipod , the dell jukebox , and the samsung napster player . ",,|player!samsung|jukebox!samsung|napster!jukebox
13,"i chose this one because from what i read , it was the best deal for the money . ",deal!+,deal!best|money!best
14,another reason i got it is because you can put wma files on it . ,wma file!+,
15,that takes up half the space of mp3 's . ,,
16,that 's important because i have a lot of music . ,,
17,the software is great . ,software!+,software!great
18,"you can sort your music by artist , title , album , or genre , and you can play music based on those categories . ",,
19,"transfering is easy , the software makes everythig pretty easy . ",software!+,everythig!easy|software!everythig
20,"even the battery life is great - it advertises 14 hours , it 's actually a little less but still good . ",battery life!+,life!great|battery!great
21,"only 1 problem , no accessories ... yet . ",accessory!-,
22,"i hope it 's because it 's new and they are not out yet , but being without a remote is hard . ",remote!-,
23,they player 's interface itself is also very easy to use . ,interface!+,interface!easy|player!easy
24,"can 't complain and i recommend it over all the other players , just hope that remote will come out soon . ",,t!complain
25,"get it , it 's woth every penny ! ! ",player!+,
26,i was a little concerned to be the black sheep buying this player instead of the incredibly overpriced apple i-pod . ,,sheep!concerned|apple!overpriced|i-pod!overpriced
27,"i 've had it for a week now , do n't regret the purchase one bit , and i never leave home without it . ",player!+,purchase!regret|bit!purchase
28,"if you have any doubts about this player , well do n't . ",,
29,pros : ,,
30,"software is easy to use ( although redhat software is better , but costs money ) ",software!+,software!easy|redhat!easy|money!software
31,"much cheaper than i-pod good looking player ( beautiful blue back-lit screen ) if you 've read about the player , some have complained about the lack of a viewing hole for the face when the case is on , but this is good because the face does n't get damaged / scratched fast transfer rate ",price!+,screen!beautiful|player!good|face!damaged|hole!damaged|rate!face|transfer!damaged
32,no issues as of yet ,,
33,cons : ,,
34,"you 're going to need to buy new headphones , the stock ones suck ",headphone!-,stock!suck
35,"hopefully , this player will out sell the ridculously over-hyped i-pod . ",,i-pod!over-hyped|player!i-pod
36,"if you want to be a poser and follow the herd , mooooooh , then buy the i-pod . ",,
37,"otherwise , be smart , save the cash . ",,cash!smart
38,for me the sound of the music is what is important . ,,sound!important
39,the zen xtra sounds great with good headphone and well recored mp3s . ,sound!+,headphone!good|xtra!great
40,navigation is a bit tricky and takes getting used to but the included pdf instructions cover the operation pretty well . ,navigation!-,navigation!tricky|operation!well|bit!navigation
41,at 8 ounces it is pretty light but not as light as the ipod . ,weight!+,ipod!pretty
42,the battery is replaceable ( a real plus ) and there is a leather case ( another real plus ) . ,battery!+,battery!replaceable|case!replaceable|plus!replaceable
43,i suppose that you could jog with it but it seems to be made for the enjoyment of music . ,,
44,so far the software for the pc works easily . ,software!+,software!works|pc!works
45,"by the way , it looks nice also . ",looking!+,way!nice
46,this thing kicks mighty apple butt ! ,,butt!mighty|apple!mighty|thing!butt
47,"i would have given this thing 4.5 stars but since i can 't , i 'll be sweet and give it the full 5 stars . ",,t!sweet
48,it 's worth it . ,player!+,
49,"i personally do n't like apple or their business practices ( screwing resellers , customers and employees left and right ) so i shopped around for something else . ",,apple!like|business!apple
50,"after finally stumbling upon this zen nx player , i knew i had found what i was looking for . ",,
51,my two main requirements were longer battery life and lower price : i found both . ,battery life!+,|life!main|price!life
52,this thing lasted well over 14 hours when i played it straight for the first time . ,,|time!first|time!straight
53,"the zen nx is $ 100 cheaper than the ipod of the same size , so you have to wonder just how much apple 's markup is anyway ! ",,nx!cheaper|zen!cheaper|size!same|ipod!same|markup!wonder
54,"the sound is excellent , but a tip : get a real pair of headphones . ",sound!+|headphone!-,sound!excellent|pair!real|tip!sound
55,you wo n't appreciate the quality this thing has to offer unless you are using a good set of cans. ,,quality!appreciate|set!good
56,"the controls are on the side instead of on the front , which i like , because that 's where my thumb is when i hold the thing ! ",control!+,
57,the scroll wheel is a big improvement over the ipod touchpad . ,scroll wheel!+,wheel!improvement|scroll!improvement|touchpad!wheel
58,"it could be a little bit bigger , but it 's easy to get used to . ",size!-,bit!easy
59,"the screen may be a little smaller , but it is very readable and does n't come in the overused blue . ",screen!-,
60,"it does n't have firewire , not a real complaint since most windows users do n't generally have firewire cards themselves . ",firewire!-,
61,"( i would have appreciated having a firewire plug , however ) ",,plug!appreciated
62,"the included leather pouch is a big plus : it actually protects the unit well , something a lot of ' carrying cases ' fail to do with other audio devices . ",leather pouch!+,lot!fail|plus!well|pouch!big|leather!plus|unit!well|something!unit
63,"other plusses : changable battery , loads of presets for environments , decent construction , still quite small and light despite being slightly bigger than an ipod . ",battery!+,battery!plusses|construction!decent|construction!small
64,( did i mention you can actually change the battery ? hello ? apple ? are you listening ? ) ,,
65,i probably would have liked to have a player in something other than silver / metallic ... like the battery adapters on their usb thumbdrive ( muvo nx ) mp3 player models . ,,player!liked|something!other|something!liked
66,"since the front plate is removable to access the battery compartment , aftermarket alternate covers would not be difficult or expensive to make . ",,|plate!removable
67,"overall : small , sounds great , and less expensive than apple 's overpriced ipod ! ",size!+,ipod!overpriced|apple!overpriced
68,( batteries last longer too ! ) ,battery!+,
69,"i shopped around for a month looking for a good mp3 player , and all i heard was how good the i-pod was . ",,player!good|mp3!good|i-pod!good
70,after messing with it at a store i noticed how bad the i-pod was . ,,i-pod!bad
71,"it was marked up increadably high compared to other models ( almost $ 500 for a 30gb ) , and theres was nothing about it that made it worth that much money . ",,|money!much|nothing!high
72,the creative labs zen xtra has all the features the i-pod has and if you get if from amazon your only going to pay $ 300 for this great player . ,player!+|price!+,xtra!creative|zen!creative|player!great|i-pod!xtra
73,"i 've had it for about 2 weeks and it 's the best player i 've seen , and used , ever . ",player!+,player!best
74,"the music is easy to get to ( all of the menus are easy to understand despite what alot of i-pod owners say ) and if you know how to search for an artist by name online , then you can do the same with the zen . ",menu!+,music!easy|music!easy|zen!same
75,"the screen is very easy to read and the blue light is bright enough to read at night , but dim enough so it does n't blind you when you stare too long . ",screen!+,screen!easy|night!easy|light!bright
76,"all in all this a great player that blows the i-pod away , with easy to use and understand features , software that is simple to understand and use , and a great sound ( which is all that matters in a mp3 player ) . ",player!+|software!+,player!great|mp3!great|sound!player|software!sound
77,just get some new headphones and your set . ,,|set!new
78,within 5 minutes i was able to transfer files . ,,
79,it 's a very intuitive program . ,program!+,program!intuitive
80,i had no problems following their installation instructions . ,installation!+,
81,the menus are very easy to navigate . ,menu!+,
82,"the only complaint i have is that when you push in the scroll wheel to select , you have to push straight in or it sticks . ",scroll wheel!-,|wheel!straight
83,the other controls are all very easy to use . ,control!+,
84,"it has several play options , one of the best is an option to shuffle , based on all or a certain playlist . ",play option!+,|playlist!certain|play!several|option!several
85,"the only downside i see is that it does n't look like you can manage playlists from the nomad , it has to be done from the computer . ",playlist!-,nomad!like
86,"unlike the ipod , this is fully windows compatible and can be used right out of the box . ",,ipod!compatible
87,for ipod you have to buy a cable and it is n't compatible with all windows pcs. ,,
88,it also costs a lot less than the ipod . ,price!+,
89,the earbuds that come with it are n't that bad . ,earbud!+,
90,"they 're pretty comfortable , stay in place and deliver a decent audio quality . ",earbud!+,quality!decent
91,this is a good deal for music and data storage . ,deal!+,deal!good|music!good|storage!music
92,"one thing i should note is that i have only had this product for one day , so there are many options i have not explored . ",,|product!only|day!product
93,the main problem with the nomad jukebox zen xtra 30 gb is the software . ,software!-,software!problem|gb!software
94,"on my relatively new computer ( p4 with windows xp and usb 2.0 ) , the os complained about the installation of the drivers . ",,|computer!new|p4!new|xp!computer|usb!xp
95,"despite the instructions insisting that the process was fairly automatic , i had to install the usb drivers and the nomad interface software manually . ",,process!fairly
96,"the interface software itself , which should be user-friendly , was anything but easy-to-use . ",software!-,
97,"with the nomad explorer software , songs should be drag-and-drop . ",,
98,i have not yet tried the cd-ripping program . ,,|program!cd-ripping
99,the player itself has all sorts of problems . ,player!-,
100,"the face-plate , which pops out for the battery , pops open by itself every 10 minutes or so . ",face plate!-,|battery!open
101,"the player hangs up on file transfer every once-in-a-while , prompting a reset . ",file transfer!-,player!hangs|reset!once-in-a-while|transfer!player
102,the scroll button is overly sensitive at times ; not sensitive enough at others . ,scroll!-,button!sensitive|scroll!sensitive
103,depressing the scroll button ( for selecting ) is not always responsive . ,scroll!-,button!depressing|button!responsive|scroll!depressing|selecting!depressing
104,the scroll bar problems make the task of creating playlists more frustrating . ,scroll!-,task!problems
105,"on the positive side , the sound of the player is pretty good , once you have everything configured . ",sound!+,side!positive|player!good|sound!good
106,"i have n't had time to really push this player to the limit , but audio aspects on the nomad are satisfactory , as should be expected from creative labs . ",audio!+,nomad!satisfactory
107,"overall , a very disappointing product . ",player!-,product!disappointing
108,"the setup process for the nomad is infuriating , and the interface with the player is sub-par . ",setup!-,process!infuriating|setup!infuriating|interface!sub-par|nomad!infuriating|player!sub-par
109,the player 's mechanics are also flawed . ,player!-,player!flawed
110,"although the sound-quality is good , it takes more than good sound on a portable-mp 3 player to result in a good product . ",player!-,sound-quality!good|player!portable-mp|product!sound|sound!sound-quality
111,i was trying to decide whether or not i should go with the 40 gb ipod or this 30 gb zen xtra . ,,
112,"when it came down to it , the price on this player is hard to beat . ",price!+,price!hard|player!hard
113,"if you want the other accessories the ipod offer , maybe that 's where you should go .. . ",,|offer!other
114,this is a great investment for someone like me who enjoys music and hates carrying multiple cds . ,,investment!great|someone!great|music!enjoys
115,i just transfered over some 40 cds and have plenty of space left for me . ,,
116,"one beef is the scroll , it does n't work as well as i 'd like . ",scroll!-,scroll!work|beef!work
117,other than that this thing is great ... ,this thing!+,thing!great
118,enjoy ! ,,
119,zennx 's replaceable battery was the deciding factor in my purchase of zennx over ipod . ,battery!+,battery!replaceable|factor!replaceable|zennx!replaceable
120,all rechargeable batteries lose their holding power over time ( around 2 years ) . ,,power!lose|holding!lose|time!power
121,apple 's solution - pay apple another $ 400 + for a new ipod ( less a paltry discount ) . ,,discount!paltry|ipod!paltry
122,"the zennx will keep running for the price of a replacement battery , just like any other battery-powered appliance . ",battery!+,|appliance!other
123,deficiencies with zennx are easily overcome with 3rd-party earphones ( $ 20 + ) and software ( $ 25 ). ,earphone!-,
124,notmad by red chair software is an explorer-based program that enables simple drag-and-drop transfer of music files from pc to zennx . ,,|program!notmad|notmad!red|software!program|transfer!simple|chair!red|pc!transfer
125,"the blue-screen display in the zennx xtra model is an improvement , but the toggle switch is still tricky . ",screen!+,display!improvement|model!improvement|switch!tricky|improvement!blue-screen|toggle!tricky
126,zennx 's capacity / price ratio on the 30g model ( $ 10/gig ) ) trumps ipod 's 30g model ( $ 14/gig ). ,,|model!30g|ratio!30g|zennx!ratio|ipod!30g
127,choosing zennx is a no-brainer when factoring in the cost of a new $ 400 + ipod every few years versus the $ 50 cost of replacing zennx 's rechargeable battery . ,,|battery!rechargeable|cost!new|ipod!new|zennx!rechargeable|no-brainer!zennx
128,zennx hopefully will gain market share and prompt arrogant apple to lower prices and enable consumers to replace the battery . ,,zennx!gain|market!gain|share!gain|apple!gain
129,"update : apple recently announced that for $ 107 , it will replace the battery in ipods shipped to their factory . ",,
130,"lithium ion rechargeable batteries are good for 300-500 rechargings , so battery lifespan will vary according to your usage . ",,lithium!good|ion!good
131,"still , apple continues to squeeze dollars from consumers by not designing the battery to be replaceable . ",,battery!replaceable
132,"i love my new nomad , its great ! ",nomad!+,nomad!love
133,now i dont have to lug around 80 cds if i dont know what i 'm going to want to listen to biking home . ,,
134,"this thing , while looking pretty cool , is not as sexy as the ipod . ",look,thing!sexy|ipod!sexy
135,"for some this might be a problem , but for the price of a 30 gig ipod , you can get a 60gb nomad , the ipod simply pales in comparison . ",price!+,ipod!pales|price!pales|problem!nomad|nomad!ipod|gig!pales|comparison!ipod
136,"the software is very easy to use , and within 30 minutes of opening my box , i was out and about listening to any one of my 80 cds . ",software!+,software!easy
137,"the free ( i didnt know they still did that ) carrying case is really protective , and to me its the only accessory you need ( except good headphones ) . ",case!+,case!protective|accessory!only
138,"on the subject of headphones , this thing seems like a normal mp3 player when you use the headphones they give you in the box , but invest 30 dollars in a nice pair and the sound quality goes up through the roof ! ",headphone!-|sound!+,pair!nice|quality!nice|player!normal|mp3!normal
139,"if you want a sexy , cool , accessory-availible mp3 player , by all means , get an ipod for a hundred dollars more ( or one for the same price that holds 1/3 of the music ) . ",,player!sexy|mp3!sexy|price!same
140,"but if you want a great deal and a great mp3 player , get the nomad . ",deal!+|mp3 player!+,deal!great|player!great|mp3!great
141,best electronic i 've bought since i was born . ,player!+,
142,flat out ,,
143,"i just sold my archos 20gb jukebox recorder after not being satisfied with it 's slow loading & difficult navigation , not to mention it froze quite a bit . ",,loading!slow|navigation!slow|recorder!20gb|jukebox!20gb|bit!froze
